ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779311292862920,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.50,20,10.00,ACC-PC-00000501,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311312894098,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.50,20,10.00,ACC-PC-00000501,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_age_20s
1779311312894098,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.48,20,9.60,ACC-PC-00000502,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311332913510,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.48,20,9.60,ACC-PC-00000502,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_age_20s
1779311332913510,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.48,20,9.60,ACC-PC-00000503,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311342967116,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.48,20,9.60,ACC-PC-00000503,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_displaced_3c
1779311342967116,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.44,20,8.80,ACC-PC-00000504,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311343478963,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.44,20,8.80,ACC-PC-00000504,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_displaced_3c
1779311343478963,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.41,20,8.20,ACC-PC-00000505,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311363574123,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.41,20,8.20,ACC-PC-00000505,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_age_20s
