ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779234422914112,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.89,20,17.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0137
1779234427734204,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.08,20,1.60,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0197
1779234427734204,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.93,20,18.60,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0197
1779234430802656,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.07,16.21,1.1347,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0185
1779234430802656,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.94,16.21,15.2374,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0185
1779234433869407,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.07,20,1.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0185
1779234433869407,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.94,20,18.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0185
1779234436939448,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.07,20,1.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0185
1779234436939448,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.94,20,18.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0185
1779234440005477,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.07,20,1.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0185
1779234440005477,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.94,20,18.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0185
1779234443066252,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.07,20,1.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0185
1779234443066252,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.94,20,18.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0185
1779234446128865,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.06,20,1.20,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0173
1779234446128865,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.95,20,19.00,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0173
1779234449187835,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.06,20,1.20,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0173
1779234449187835,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.95,20,19.00,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0173
1779234452250807,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.06,20,1.20,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0173
1779234452250807,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.95,20,19.00,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0173
1779234455310011,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.05,20,1.00,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0160
1779234455310011,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.96,20,19.20,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0160
1779234458371129,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.05,20,1.00,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0160
1779234458371129,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.96,20,19.20,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0160
1779234461429525,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.05,20,1.00,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0160
1779234461429525,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.96,20,19.20,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0160
1779234464490408,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.05,20,1.00,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0160
1779234464490408,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.96,20,19.20,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0160
1779234467550337,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.05,20,1.00,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0160
