sleeve,asset,tf,gate,n_base,wr_base,dpt_base,sum_pnl,wr_lift_pp,dpt_lift,n_gate,wr_gate,dpt_gate
momo_v2_anywhere,ALL,15m,g_book_slope_steep_against,2114,0.4597918637653737,-3.4896901866355643,-3282.4643793638697,4.507970399370515,0.5822815246657949,1129.0,0.5048715677590788,-2.9074086619697694
momo_v2_anywhere,ALL,15m,g_microprice_skew_with,2114,0.4597918637653737,-3.4896901866355643,-1735.5637396496559,-0.7320380875639854,1.8399147687176405,1052.0,0.4524714828897338,-1.6497754179179238
momo_v2_anywhere,ALL,15m,g_depth_high,2114,0.4597918637653737,-3.4896901866355643,-3774.4232978668983,1.589998365422246,0.6666361119408011,1337.0,0.47569184741959614,-2.823054074694763
momo_v2_anywhere,ALL,15m,g_queue_top_high,2114,0.4597918637653737,-3.4896901866355643,-2240.947532669813,-12.806109453460445,-7.284096028123153,208.0,0.3317307692307692,-10.773786214758717
momo_v2_anywhere,ALL,15m,g_imb_change_with,2114,0.4597918637653737,-3.4896901866355643,-684.4314477277499,1.5617972300200067,-2.120403647198451,122.0,0.47540983606557374,-5.610093833834015
momo_v2_anywhere,ALL,ALL,NONE,7637,0.404347256776221,-7.115039391963319,-54337.55583642387,0.0,0.0,,,
momo_v2_anywhere,ALL,ALL,g_imb5_with,7637,0.404347256776221,-7.115039391963319,-20438.93544226508,-1.9731872160836383,1.376989015134268,3562.0,0.38461538461538464,-5.738050376829051
momo_v2_anywhere,ALL,ALL,g_imb5_strong_with,7637,0.404347256776221,-7.115039391963319,-13241.717193492394,-7.277108387163484,0.1346929536436594,1897.0,0.3315761729045862,-6.98034643831966
momo_v2_anywhere,ALL,ALL,g_microprice_with,7637,0.404347256776221,-7.115039391963319,-16805.50574233669,2.5812378343505307,2.3244163183211617,3508.0,0.4301596351197263,-4.790623073642157
momo_v2_anywhere,ALL,ALL,g_spread_wide_skew,7637,0.404347256776221,-7.115039391963319,-4947.495781628932,31.24401828373055,5.621230279152652,3312.0,0.7167874396135265,-1.4938091128106676
momo_v2_anywhere,ALL,ALL,g_book_slope_steep_against,7637,0.404347256776221,-7.115039391963319,-19665.90456753567,7.31779957490315,2.1489018749088578,3960.0,0.4775252525252525,-4.966137517054461
momo_v2_anywhere,ALL,ALL,g_microprice_skew_with,7637,0.404347256776221,-7.115039391963319,-16752.336562447097,2.5692720379689895,2.33139103032794,3502.0,0.4300399771559109,-4.783648361635379
momo_v2_anywhere,ALL,ALL,g_depth_high,7637,0.404347256776221,-7.115039391963319,-23409.575623416575,4.327386936956684,2.006009356298418,4582.0,0.44762112614578786,-5.109030035664901
momo_v2_anywhere,ALL,ALL,g_queue_top_high,7637,0.404347256776221,-7.115039391963319,-7668.472059086882,-0.14346354169977316,-2.191358737996489,824.0,0.4029126213592233,-9.306398129959808
momo_v2_anywhere,ALL,ALL,g_imb_change_with,7637,0.404347256776221,-7.115039391963319,-2640.5921733563755,3.3024406468132153,1.6928788717243552,487.0,0.43737166324435317,-5.422160520238964
momo_v2_strong,BTC,5m,NONE,426,0.34507042253521125,-9.220820769058435,-3928.069647618893,0.0,0.0,,,
