asset,tf,bet_side,gate,n_base,wr_base,dpt_base,n_gate,wr_gate,dpt_gate,sum_pnl_gate,wr_lift_pp,dpt_lift
ALL,15m,UP,g_microprice_with,29080,0.4798486932599725,-3.1820589737893887,14080,0.49978693181818185,-2.646362554056257,-37260.7847611121,1.9938238558209365,0.5356964197331315
BTC,ALL,UP,g_imb5_strong_with,68395,0.46643760508809123,-3.1452661165601015,15842,0.4008332281277616,-2.658262329083395,-42112.19181733914,-6.560437696032961,0.4870037874767066
ETH,5m,DOWN,g_book_slope_steep_against,49989,0.46396207165576425,-3.965609432339514,17362,0.6345467112083861,-3.5286582075539843,-61264.56379955228,17.058463955262187,0.43695122478552983
ALL,15m,DOWN,g_depth_high,29106,0.4900707757850615,-2.0876010481015803,18687,0.5004013485310643,-1.6573138211983443,-30970.22337673346,1.0330572746002853,0.43028722690323606
BTC,ALL,DOWN,g_imb5_strong_with,68698,0.46903839995341934,-3.001697121853865,15948,0.4040005016302985,-2.5805493795717567,-41154.60150541038,-6.503789832312084,0.42114774228210816
BTC,5m,UP,g_book_slope_steep_against,53107,0.4623119362795865,-3.252152677452991,46482,0.46329762058431223,-2.8682414559398213,-133321.59935499477,0.09856843047257313,0.3839112215131699
ETH,15m,UP,g_microprice_skew_with,13792,0.4788283062645012,-3.6344164122073184,6716,0.4779630732578916,-3.2518589901719497,-21839.484977994813,-0.0865233006609567,0.3825574220353687
ETH,15m,UP,g_microprice_with,13792,0.4788283062645012,-3.6344164122073184,6723,0.4779116465863454,-3.25999608120208,-21916.953653921584,-0.09166596781557956,0.3744203310052385
ALL,ALL,UP,g_imb5_strong_with,132121,0.46486932433148404,-3.4564129525196323,30821,0.40796859284254244,-3.1135318217538925,-95962.16427827672,-5.690073148894159,0.3428811307657398
ALL,5m,DOWN,g_imb5_strong_with,103411,0.4638578100975718,-3.6352296258030106,23644,0.40682625613263407,-3.293530537243817,-77872.23602259281,-5.703155396493775,0.3416990885591935
ALL,15m,UP,g_imb5_with,29080,0.4798486932599725,-3.1820589737893887,14382,0.4474342928660826,-2.884330223242704,-41482.43727067657,-3.2414400393889875,0.2977287505466846
BTC,ALL,UP,g_book_slope_steep_against,68395,0.46643760508809123,-3.1452661165601015,60303,0.4648027461320332,-2.8529223520515576,-172039.77659576508,-0.16348589560580273,0.2923437645085438
ETH,15m,DOWN,g_microprice_skew_with,13830,0.4929139551699205,-2.3309478054680373,6660,0.49384384384384383,-2.039391128814112,-13582.344917901984,0.09298886739233514,0.29155667665392526
ETH,15m,UP,g_book_slope_steep_against,13792,0.4788283062645012,-3.6344164122073184,6305,0.5516256938937352,-3.3470450689862936,-21103.11915995858,7.279738762923399,0.28737134322102476
ETH,15m,DOWN,g_microprice_with,13830,0.4929139551699205,-2.3309478054680373,6672,0.49355515587529974,-2.053625657888158,-13701.79038942979,0.06412007053792634,0.2773221475798793
ALL,5m,DOWN,g_book_slope_steep_against,103411,0.4638578100975718,-3.6352296258030106,64192,0.5084745762711864,-3.35936803410204,-215644.55284507817,4.4616766173614595,0.27586159170097035
ALL,15m,UP,g_depth_high,29080,0.4798486932599725,-3.1820589737893887,18684,0.49909013059302076,-2.9167933204480048,-54497.36639925052,1.9241437333048284,0.26526565334138397
ETH,15m,DOWN,g_imb5_with,13830,0.4929139551699205,-2.3309478054680373,6492,0.4360751694393099,-2.0807077681768518,-13507.954831004121,-5.683878573061057,0.2502400372911855
ETH,ALL,DOWN,g_book_slope_steep_against,63819,0.47023613657374763,-3.611367430747003,23763,0.6159996633421706,-3.38328438572784,-80396.98685805066,14.576352676842298,0.22808304501916288
ALL,15m,UP,g_book_slope_steep_against,29080,0.4798486932599725,-3.1820589737893887,20126,0.49547848554109114,-2.9723390838084502,-59821.29640072887,1.562979228111866,0.2097198899809385
ALL,ALL,DOWN,g_book_slope_steep_against,132517,0.46961521917942606,-3.2953088806716098,84470,0.5079673256777554,-3.088757959142365,-260907.38480875557,3.835210649832932,0.20655092152924492
ETH,ALL,UP,g_imb5_strong_with,63726,0.46318614066472086,-3.7903565210074097,14979,0.41551505440950665,-3.59503120775336,-53849.97246093758,-4.767108625521422,0.19532531325404978
ALL,ALL,DOWN,g_imb5_strong_with,132517,0.46961521917942606,-3.2953088806716098,30035,0.4067587814216747,-3.143803315547564,-94424.1325824711,-6.285643775775135,0.15150556512404556
BTC,15m,DOWN,g_imb5_strong_with,15276,0.4874967268918565,-1.8672890780584996,3098,0.42704970948999355,-1.792539895727597,-5553.288596964096,-6.044701740186298,0.07474918233090255
ETH,5m,DOWN,g_imb5_strong_with,49989,0.46396207165576425,-3.965609432339514,10794,0.41680563275894017,-3.916150001310591,-42270.92311414652,-4.715643889682408,0.04945943102892292
ALL,5m,UP,g_queue_top_high,103041,0.4606418804165332,-3.5338405172897285,13031,0.5311181029851891,-3.4979299726010216,-45581.52547296391,7.047622256865593,0.035910544688706914
BTC,5m,DOWN,g_book_slope_steep_against,53422,0.46376024858672454,-3.326080658168828,46830,0.4617339312406577,-3.2966045066309175,-154379.98904552587,-0.20263173460668416,0.0294761515379105
BTC,ALL,DOWN,g_book_slope_steep_against,68698,0.46903839995341934,-3.001697121853865,60707,0.4656794109410776,-2.973469253145517,-180510.3979507049,-0.33589890123417177,0.028227868708347703
BTC,15m,DOWN,g_book_slope_steep_against,15276,0.4874967268918565,-1.8672890780584996,13877,0.4789940188801614,-1.8830012902773665,-26130.408905179014,-0.8502708011695115,-0.015712212218866872
BTC,15m,UP,g_book_slope_steep_against,15288,0.4807692307692308,-2.773966758283104,13821,0.4698646986469865,-2.8014020143817593,-38718.177240770296,-1.0904532122244293,-0.02743525609865527
ALL,15m,DOWN,g_book_slope_steep_against,29106,0.4900707757850615,-2.0876010481015803,20278,0.5063615741197357,-2.232115196946316,-45262.831963677396,1.6290798334674228,-0.14451414884473568
ETH,ALL,DOWN,g_imb5_strong_with,63819,0.47023613657374763,-3.611367430747003,14087,0.40988145098317597,-3.781467386743858,-53269.531077060725,-6.035468559057167,-0.170099955996855
ETH,15m,UP,g_imb5_with,13792,0.4788283062645012,-3.6344164122073184,6912,0.42607060185185186,-3.8181193357944285,-26390.84084901109,-5.275770441264932,-0.18370292358711016
ALL,ALL,UP,g_queue_top_high,132121,0.46486932433148404,-3.4564129525196323,16543,0.5185879223840899,-3.6746682128737658,-60790.03624557071,5.371859805260587,-0.21825526035413345
BTC,15m,UP,g_queue_top_high,15288,0.4807692307692308,-2.773966758283104,1749,0.49914236706689535,-3.016737531643335,-5276.273942844193,1.8373136297664572,-0.24277077336023112
ETH,15m,DOWN,g_depth_high,13830,0.4929139551699205,-2.3309478054680373,5586,0.49946294307196565,-2.641538029425978,-14755.631432373513,0.6548987902045167,-0.31059022395794056
BTC,5m,DOWN,g_queue_top_high,53422,0.46376024858672454,-3.326080658168828,6885,0.5446623093681917,-3.640155846796609,-25062.473005194654,8.090206078146716,-0.31407518862778083
ALL,15m,DOWN,g_imb5_strong_with,29106,0.4900707757850615,-2.0876010481015803,6391,0.4065091534971053,-2.5898758503956025,-16551.896559878296,-8.356162228795617,-0.5022748022940222
BTC,15m,UP,g_imb5_strong_with,15288,0.4807692307692308,-2.773966758283104,3240,0.43117283950617286,-3.351258883136629,-10858.078781362678,-4.959639126305793,-0.5772921248535248
ETH,15m,DOWN,g_book_slope_steep_against,13830,0.4929139551699205,-2.3309478054680373,6401,0.5656928604905483,-2.9889740756910452,-19132.42305849838,7.277890532062786,-0.658026270223008
ETH,5m,UP,g_depth_high,49934,0.4588657027276004,-3.8334278948322758,14857,0.49942787911422226,-4.534014504163963,-67361.853488364,4.056217638662185,-0.7005866093316873
ETH,ALL,DOWN,g_depth_high,63819,0.47023613657374763,-3.611367430747003,20468,0.49750830564784054,-4.3599628933517005,-89239.7205011226,2.727216907409291,-0.7485954626046976
ETH,ALL,UP,g_depth_high,63726,0.46318614066472086,-3.7903565210074097,20432,0.49877642913077525,-4.568515705401198,-93343.91289275727,3.5590288466054387,-0.7781591843937878
