family,sleeve,filter,n,wr,avg,sum
momo,btc_5m_v2,F7+MARKOV:w20_1m_fixed,197,52.79,2.513,495.16
momo,btc_5m_v2,noF7+MARKOV:w20_1m_fixed,3,0.0,-25.0,-75.0
momo,btc_5m_v2,MARKOV:w20_5m_fixed,150,50.67,-2.074,-311.13
momo,btc_5m_v2,F7+MARKOV:w20_5m_fixed,150,50.67,-2.074,-311.13
momo,btc_5m_v2,noF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,eth_15m_v1,ALL,8,37.5,-6.506,-52.05
momo,eth_15m_v1,no_F7 (baseline),8,37.5,-6.506,-52.05
momo,eth_15m_v1,F7_only,0,0.0,0.0,0.0
momo,eth_15m_v1,MARKOV:w20_1m_voladaptive,8,37.5,-6.506,-52.05
momo,eth_15m_v1,F7+MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0
momo,eth_15m_v1,noF7+MARKOV:w20_1m_voladaptive,8,37.5,-6.506,-52.05
momo,eth_15m_v1,MARKOV:w20_5m_voladaptive,5,0.0,-25.11,-125.55
momo,eth_15m_v1,F7+MARKOV:w20_5m_voladaptive,0,0.0,0.0,0.0
momo,eth_15m_v1,noF7+MARKOV:w20_5m_voladaptive,5,0.0,-25.11,-125.55
momo,eth_15m_v1,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,eth_15m_v1,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,eth_15m_v1,noF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,eth_15m_v1,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,eth_15m_v1,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,eth_15m_v1,noF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,eth_15m_v2,ALL,90,64.44,7.265,653.88
momo,eth_15m_v2,no_F7 (baseline),6,50.0,-1.679,-10.07
momo,eth_15m_v2,F7_only,84,65.48,7.904,663.95
momo,eth_15m_v2,MARKOV:w20_1m_voladaptive,90,64.44,7.265,653.88
momo,eth_15m_v2,F7+MARKOV:w20_1m_voladaptive,84,65.48,7.904,663.95
momo,eth_15m_v2,noF7+MARKOV:w20_1m_voladaptive,6,50.0,-1.679,-10.07
momo,eth_15m_v2,MARKOV:w20_5m_voladaptive,36,77.78,15.534,559.23
momo,eth_15m_v2,F7+MARKOV:w20_5m_voladaptive,33,84.85,19.219,634.23
momo,eth_15m_v2,noF7+MARKOV:w20_5m_voladaptive,3,0.0,-25.0,-75.0
momo,eth_15m_v2,MARKOV:w20_1m_fixed,54,46.3,-0.674,-36.38
momo,eth_15m_v2,F7+MARKOV:w20_1m_fixed,51,49.02,0.757,38.62
momo,eth_15m_v2,noF7+MARKOV:w20_1m_fixed,3,0.0,-25.0,-75.0
momo,eth_15m_v2,MARKOV:w20_5m_fixed,33,75.76,14.807,488.62
momo,eth_15m_v2,F7+MARKOV:w20_5m_fixed,30,83.33,18.787,563.62
momo,eth_15m_v2,noF7+MARKOV:w20_5m_fixed,3,0.0,-25.0,-75.0
momo,eth_5m_v1,ALL,161,54.04,6.207,999.39
momo,eth_5m_v1,no_F7 (baseline),15,40.0,-1.916,-28.74
momo,eth_5m_v1,F7_only,146,55.48,7.042,1028.13
momo,eth_5m_v1,MARKOV:w20_1m_voladaptive,161,54.04,6.207,999.39
momo,eth_5m_v1,F7+MARKOV:w20_1m_voladaptive,146,55.48,7.042,1028.13
momo,eth_5m_v1,noF7+MARKOV:w20_1m_voladaptive,15,40.0,-1.916,-28.74
momo,eth_5m_v1,MARKOV:w20_5m_voladaptive,98,36.73,0.33,32.33
momo,eth_5m_v1,F7+MARKOV:w20_5m_voladaptive,92,35.87,-0.225,-20.74
momo,eth_5m_v1,noF7+MARKOV:w20_5m_voladaptive,6,50.0,8.844,53.06
momo,eth_5m_v1,MARKOV:w20_1m_fixed,110,43.64,2.892,318.1
momo,eth_5m_v1,F7+MARKOV:w20_1m_fixed,107,44.86,3.257,348.55
momo,eth_5m_v1,noF7+MARKOV:w20_1m_fixed,3,0.0,-10.15,-30.45
momo,eth_5m_v1,MARKOV:w20_5m_fixed,6,0.0,-10.15,-60.9
momo,eth_5m_v1,F7+MARKOV:w20_5m_fixed,3,0.0,-10.15,-30.45
momo,eth_5m_v1,noF7+MARKOV:w20_5m_fixed,3,0.0,-10.15,-30.45
momo,eth_5m_v2,ALL,115,2.61,-20.247,-2328.41
momo,eth_5m_v2,no_F7 (baseline),6,0.0,-25.2,-151.2
momo,eth_5m_v2,F7_only,109,2.75,-19.974,-2177.21
momo,eth_5m_v2,MARKOV:w20_1m_voladaptive,85,3.53,-18.569,-1578.41
momo,eth_5m_v2,F7+MARKOV:w20_1m_voladaptive,79,3.8,-18.066,-1427.21
momo,eth_5m_v2,noF7+MARKOV:w20_1m_voladaptive,6,0.0,-25.2,-151.2
momo,eth_5m_v2,MARKOV:w20_5m_voladaptive,54,0.0,-25.361,-1369.5
momo,eth_5m_v2,F7+MARKOV:w20_5m_voladaptive,51,0.0,-25.382,-1294.5
momo,eth_5m_v2,noF7+MARKOV:w20_5m_voladaptive,3,0.0,-25.0,-75.0
momo,eth_5m_v2,MARKOV:w20_1m_fixed,20,0.0,-7.139,-142.78
momo,eth_5m_v2,F7+MARKOV:w20_1m_fixed,20,0.0,-7.139,-142.78
momo,eth_5m_v2,noF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,eth_5m_v2,MARKOV:w20_5m_fixed,27,0.0,-25.0,-675.0
momo,eth_5m_v2,F7+MARKOV:w20_5m_fixed,27,0.0,-25.0,-675.0
momo,eth_5m_v2,noF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v1,ALL,6,0.0,-26.136,-156.82
momo,sol_15m_v1,no_F7 (baseline),3,0.0,-26.361,-79.08
momo,sol_15m_v1,F7_only,3,0.0,-25.911,-77.73
momo,sol_15m_v1,MARKOV:w20_1m_voladaptive,6,0.0,-26.136,-156.82
momo,sol_15m_v1,F7+MARKOV:w20_1m_voladaptive,3,0.0,-25.911,-77.73
momo,sol_15m_v1,noF7+MARKOV:w20_1m_voladaptive,3,0.0,-26.361,-79.08
momo,sol_15m_v1,MARKOV:w20_5m_voladaptive,3,0.0,-25.911,-77.73
momo,sol_15m_v1,F7+MARKOV:w20_5m_voladaptive,3,0.0,-25.911,-77.73
momo,sol_15m_v1,noF7+MARKOV:w20_5m_voladaptive,0,0.0,0.0,0.0
momo,sol_15m_v1,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v1,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v1,noF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v1,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v1,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v1,noF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v2,ALL,9,100.0,20.133,181.2
