fire_us,sleeve_id,signal,condition_id,won,pnl_usd,family,version,policy,is_f7,symbol,tf,regime_w20_1m_voladaptive,markov_pass_w20_1m_voladaptive,regime_w20_5m_voladaptive,markov_pass_w20_5m_voladaptive,regime_w20_1m_fixed,markov_pass_w20_1m_fixed,regime_w20_5m_fixed,markov_pass_w20_5m_fixed
1779308228695858,poly_updown_eth_5m_momo_HEDGE,DOWN,0xf460b329742b46fa8c2881ac05fb39386d49e0bd98d7f18b11348667b17f11aa,True,23.53921192,momo,v1,HEDGE,False,ETH,5m,0,True,2,False,1,False,1,False
1779308228766419,poly_updown_btc_5m_momo_SELL,DOWN,0xe4e5d75e766e96876057ce75298d6d8dc04e1e26625a41ae8d8dbe8ec4b5c504,True,23.51745984,momo,v1,SELL,False,BTC,5m,1,False,2,False,1,False,1,False
1779308228768230,poly_updown_eth_5m_momo_HOLD,DOWN,0xf460b329742b46fa8c2881ac05fb39386d49e0bd98d7f18b11348667b17f11aa,True,23.53921192,momo,v1,HOLD,False,ETH,5m,0,True,2,False,1,False,1,False
1779308228786060,poly_updown_sol_5m_momo_HEDGE,DOWN,0xe87044b7f477c440e981851ced5282fe72defdaf9dfade6fcbed83b38b1af3aa,True,23.863,momo,v1,HEDGE,False,SOL,5m,0,True,1,False,1,False,1,False
1779308229088361,poly_updown_eth_15m_momo_HOLD,DOWN,0x3918f8d91420fe19ef09d6a34dda91936484313ef2a586f7d392b04427f5df47,True,24.5,momo,v1,HOLD,False,ETH,15m,0,True,2,False,1,False,1,False
1779308229090506,poly_updown_sol_15m_momo_HEDGE,DOWN,0x7ea5748f12dcaec963a21eb406285ee69182b8f4f62d5474e284314dbe23a66a,False,-26.36122,momo,v1,HEDGE,False,SOL,15m,0,True,1,False,1,False,1,False
1779308229097375,poly_updown_eth_15m_momo_SELL,DOWN,0x3918f8d91420fe19ef09d6a34dda91936484313ef2a586f7d392b04427f5df47,True,24.5,momo,v1,SELL,False,ETH,15m,0,True,2,False,1,False,1,False
1779308229099762,poly_updown_sol_15m_momo_HOLD,DOWN,0x7ea5748f12dcaec963a21eb406285ee69182b8f4f62d5474e284314dbe23a66a,False,-26.36122,momo,v1,HOLD,False,SOL,15m,0,True,1,False,1,False,1,False
1779308229100178,poly_updown_eth_15m_momo_HEDGE,DOWN,0x3918f8d91420fe19ef09d6a34dda91936484313ef2a586f7d392b04427f5df47,True,24.5,momo,v1,HEDGE,False,ETH,15m,0,True,2,False,1,False,1,False
1779308229103292,poly_updown_sol_15m_momo_SELL,DOWN,0x7ea5748f12dcaec963a21eb406285ee69182b8f4f62d5474e284314dbe23a66a,False,-26.36122,momo,v1,SELL,False,SOL,15m,0,True,1,False,1,False,1,False
1779308401092366,poly_updown_sol_5m_sniper,DOWN,0xd1b1174d8704f2afc071d35d2e42935940f85c96f7e76ed259b7c68d77a37dfb,False,-25.880388,sniper,,,False,SOL,5m,0,True,1,False,1,False,1,False
1779308401095984,poly_updown_sol_5m_sniper_INV,UP,0xd1b1174d8704f2afc071d35d2e42935940f85c96f7e76ed259b7c68d77a37dfb,True,22.67642776,sniper_INV,,,False,SOL,5m,0,False,1,False,1,False,1,False
1779308524663185,poly_updown_btc_5m_momo_SELL,DOWN,0xf3aef1b3b8a92537e2aa8e5ef82f915e7b133eabc30af706bab3213a393c5ef6,False,-24.999996,momo,v1,SELL,False,BTC,5m,1,False,2,False,1,False,1,False
1779308524663871,poly_updown_btc_5m_momo_HEDGE,DOWN,0xf3aef1b3b8a92537e2aa8e5ef82f915e7b133eabc30af706bab3213a393c5ef6,False,-24.999996,momo,v1,HEDGE,False,BTC,5m,1,False,2,False,1,False,1,False
1779308524672447,poly_updown_eth_5m_momo_HEDGE,DOWN,0xfdb2a04171b6dc2219eb24d2c605d5720d9409bde89b9f14628a840e3275303c,False,-25.430422,momo,v1,HEDGE,False,ETH,5m,0,True,2,False,1,False,1,False
1779308524675074,poly_updown_eth_5m_momo_HOLD,DOWN,0xfdb2a04171b6dc2219eb24d2c605d5720d9409bde89b9f14628a840e3275303c,False,-25.430422,momo,v1,HOLD,False,ETH,5m,0,True,2,False,1,False,1,False
1779308524681081,poly_updown_eth_5m_momo_SELL,DOWN,0xfdb2a04171b6dc2219eb24d2c605d5720d9409bde89b9f14628a840e3275303c,False,-25.430422,momo,v1,SELL,False,ETH,5m,0,True,2,False,1,False,1,False
1779308524681220,poly_updown_btc_5m_momo_HOLD,DOWN,0xf3aef1b3b8a92537e2aa8e5ef82f915e7b133eabc30af706bab3213a393c5ef6,False,-24.999996,momo,v1,HOLD,False,BTC,5m,1,False,2,False,1,False,1,False
1779309006349712,poly_updown_sol_15m_sniper,UP,0x140e8b374b6ccbf92a5ff79fbc3e766b33fc4a61764d02bfb3ae5a542994dcb6,True,22.24222014,sniper,,,False,SOL,15m,0,False,1,False,1,False,1,False
1779309906975450,poly_updown_sol_15m_sniper,UP,0x46dba7bbe4a214fbb8c3fd33db3130b2802bbe2aea7823ffec59a8918700b7f7,True,23.667,sniper,,,False,SOL,15m,2,True,1,False,1,False,1,False
1779309906975450,poly_updown_sol_15m_sniper,UP,0x46dba7bbe4a214fbb8c3fd33db3130b2802bbe2aea7823ffec59a8918700b7f7,True,23.667,sniper,,,False,SOL,15m,2,True,1,False,1,False,1,False
1779309912168267,poly_updown_sol_15m_sniper,UP,0x46dba7bbe4a214fbb8c3fd33db3130b2802bbe2aea7823ffec59a8918700b7f7,True,23.667,sniper,,,False,SOL,15m,2,True,1,False,1,False,1,False
1779309912168267,poly_updown_sol_15m_sniper,UP,0x46dba7bbe4a214fbb8c3fd33db3130b2802bbe2aea7823ffec59a8918700b7f7,True,23.667,sniper,,,False,SOL,15m,2,True,1,False,1,False,1,False
1779312611866341,poly_updown_sol_15m_sniper,DOWN,0x1bdfcf28f28a053b4e8a815eda87f59f9a8d50dfdd20a47e6a123ca923def2a8,True,24.47999624,sniper,,,False,SOL,15m,0,True,1,False,1,False,1,False
1779314409106479,poly_updown_btc_15m_sniper,DOWN,0x07caf4245bd117cdff4496d998a4b7deaaae0de13899fa25f681039832aa96c1,False,-25.0,sniper,,,False,BTC,15m,0,True,0,True,1,False,1,False
1779314409106479,poly_updown_btc_15m_sniper,DOWN,0x07caf4245bd117cdff4496d998a4b7deaaae0de13899fa25f681039832aa96c1,False,-25.0,sniper,,,False,BTC,15m,0,True,0,True,1,False,1,False
1779314409106479,poly_updown_btc_15m_sniper,DOWN,0x07caf4245bd117cdff4496d998a4b7deaaae0de13899fa25f681039832aa96c1,False,-25.0,sniper,,,False,BTC,15m,0,True,0,True,1,False,1,False
1779314409106479,poly_updown_btc_15m_sniper,DOWN,0x07caf4245bd117cdff4496d998a4b7deaaae0de13899fa25f681039832aa96c1,False,-25.0,sniper,,,False,BTC,15m,0,True,0,True,1,False,1,False
1779314409164887,poly_updown_sol_15m_sniper,DOWN,0x555c27fc7253bdedf731a8a1bf125dba0e38eab14a12c956ee95f5696dbce938,False,-26.040812,sniper,,,False,SOL,15m,0,True,1,False,1,False,1,False
1779314409164887,poly_updown_sol_15m_sniper,DOWN,0x555c27fc7253bdedf731a8a1bf125dba0e38eab14a12c956ee95f5696dbce938,False,-26.040812,sniper,,,False,SOL,15m,0,True,1,False,1,False,1,False
1779314409164887,poly_updown_sol_15m_sniper,DOWN,0x555c27fc7253bdedf731a8a1bf125dba0e38eab14a12c956ee95f5696dbce938,False,-26.040812,sniper,,,False,SOL,15m,0,True,1,False,1,False,1,False
1779314409164887,poly_updown_sol_15m_sniper,DOWN,0x555c27fc7253bdedf731a8a1bf125dba0e38eab14a12c956ee95f5696dbce938,False,-26.040812,sniper,,,False,SOL,15m,0,True,1,False,1,False,1,False
1779314410818537,poly_updown_sol_15m_sniper,DOWN,0x555c27fc7253bdedf731a8a1bf125dba0e38eab14a12c956ee95f5696dbce938,False,-26.040812,sniper,,,False,SOL,15m,0,True,1,False,1,False,1,False
1779314410818537,poly_updown_sol_15m_sniper,DOWN,0x555c27fc7253bdedf731a8a1bf125dba0e38eab14a12c956ee95f5696dbce938,False,-26.040812,sniper,,,False,SOL,15m,0,True,1,False,1,False,1,False
1779314410818537,poly_updown_sol_15m_sniper,DOWN,0x555c27fc7253bdedf731a8a1bf125dba0e38eab14a12c956ee95f5696dbce938,False,-26.040812,sniper,,,False,SOL,15m,0,True,1,False,1,False,1,False
1779314410818537,poly_updown_sol_15m_sniper,DOWN,0x555c27fc7253bdedf731a8a1bf125dba0e38eab14a12c956ee95f5696dbce938,False,-26.040812,sniper,,,False,SOL,15m,0,True,1,False,1,False,1,False
1779314410843390,poly_updown_btc_15m_sniper,DOWN,0x07caf4245bd117cdff4496d998a4b7deaaae0de13899fa25f681039832aa96c1,False,-25.0,sniper,,,False,BTC,15m,0,True,0,True,1,False,1,False
1779314410843390,poly_updown_btc_15m_sniper,DOWN,0x07caf4245bd117cdff4496d998a4b7deaaae0de13899fa25f681039832aa96c1,False,-25.0,sniper,,,False,BTC,15m,0,True,0,True,1,False,1,False
1779314410843390,poly_updown_btc_15m_sniper,DOWN,0x07caf4245bd117cdff4496d998a4b7deaaae0de13899fa25f681039832aa96c1,False,-25.0,sniper,,,False,BTC,15m,0,True,0,True,1,False,1,False
1779314410843390,poly_updown_btc_15m_sniper,DOWN,0x07caf4245bd117cdff4496d998a4b7deaaae0de13899fa25f681039832aa96c1,False,-25.0,sniper,,,False,BTC,15m,0,True,0,True,1,False,1,False
1779314522524630,poly_updown_eth_5m_momo_HOLD_f7,DOWN,0xd463eb055ed4f5c51661a5eda2bb4721f2b8b49e56ea6378ce8b2582ab8bf134,True,26.18538734,momo,v1,HOLD,True,ETH,5m,0,True,0,True,1,False,1,False
1779314522526106,poly_updown_eth_5m_momo_SELL_f7,DOWN,0xd463eb055ed4f5c51661a5eda2bb4721f2b8b49e56ea6378ce8b2582ab8bf134,True,26.18538734,momo,v1,SELL,True,ETH,5m,0,True,0,True,1,False,1,False
