sleeve,gates,n_train,wr_train,dpt_25_train,sum_train,n_val,wr_val,dpt_25_val,sum_val,n_lockbox,wr_lockbox,dpt_25_lockbox,sum_lockbox,n_full,wr_full,dpt_25_full,sum_full,max_dd_25,loss_streak,sharpe,bootstrap_p_lockbox,proj_32d,proj_full,proj_honest
V6+g_J_btc_eth_vol_both_low+g_L_ETH_grandparent_trend_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_vol_both_low+g_L_ETH_grandparent_trend_with,28,0.6785714285714286,2.511865670725787,70.33223878032204,12,0.5833333333333334,-2.6718218065833526,-32.06186167900023,17,1.0,14.650225861789542,249.05383965042222,57,0.7543859649122807,5.040775732486737,287.324216751744,0.0,0,30.940835899502275,0.0,1226.7597088704665,287.5651261629082,287.5651261629082
V6+g_J_btc_eth_tr_stack_unan_with+g_L_SOL_grandparent_trend_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_tr_stack_unan_with+g_L_SOL_grandparent_trend_with,30,0.6,-0.7432038452589698,-22.296115357769093,7,0.7142857142857143,5.167393824174092,36.171756769218646,24,0.875,11.258468921537547,270.2032541169011,61,0.7213114754098361,4.657031074235256,284.07889552835064,50.0,2,16.236405441803132,0.011,1330.9349730225706,284.31708387258277,284.31708387258277
V7_S1+g_J_btc_eth_tr_stack_unan_with+g_L_ETH_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_tr_stack_unan_with+g_L_ETH_grandparent_adx_strong,12,0.6666666666666666,1.0274698886000795,12.329638663200953,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,30,0.8666666666666667,9.464644181925989,283.93932545777966,0.0,0,28.276995530306053,0.0,1082.7004646658077,284.1773967783099,284.1773967783099
V7_S1+g_J_btc_eth_tr_stack_unan_with+g_L_BTC_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_tr_stack_unan_with+g_L_BTC_grandparent_adx_strong,12,0.6666666666666666,1.0274698886000795,12.329638663200953,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,30,0.8666666666666667,9.464644181925989,283.93932545777966,0.0,0,28.276995530306053,0.0,1082.7004646658077,284.1773967783099,284.1773967783099
V7_S1+g_J_btc_eth_tr_stack_unan_with+g_L_SOL_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_tr_stack_unan_with+g_L_SOL_grandparent_adx_strong,11,0.6363636363636364,0.43462164350738614,4.780838078581247,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,29,0.8620689655172413,9.530707754246894,276.3905248731599,0.0,0,28.276995530306053,0.0,1082.7004646658077,276.62226683821706,276.62226683821706
V7_S1+g_J_btc_eth_tr_stack_unan_with+g_L_BTC_grandparent_slope_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_tr_stack_unan_with+g_L_BTC_grandparent_slope_with,6,0.6666666666666666,-0.8362536077630409,-5.0175216465782455,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,24,0.9166666666666666,11.108006881166688,266.5921651480005,0.0,0,28.276995530306053,0.0,1082.7004646658077,266.81569159576344,266.81569159576344
V7_S1+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_slope_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_slope_with,6,0.6666666666666666,-0.8362536077630409,-5.0175216465782455,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,24,0.9166666666666666,11.108006881166688,266.5921651480005,0.0,0,28.276995530306053,0.0,1082.7004646658077,266.81569159576344,266.81569159576344
V7_S1+g_J_btc_eth_tr_stack_unan_with+g_L_BTC_grandparent_trend_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_tr_stack_unan_with+g_L_BTC_grandparent_trend_with,6,0.6666666666666666,-0.8362536077630409,-5.0175216465782455,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,24,0.9166666666666666,11.108006881166688,266.5921651480005,0.0,0,28.276995530306053,0.0,1082.7004646658077,266.81569159576344,266.81569159576344
V7_S1_ADX_VOLLOW+g_L_BTC_grandparent_slope_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_L_BTC_grandparent_slope_with,6,0.6666666666666666,-0.8362536077630409,-5.0175216465782455,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,24,0.9166666666666666,11.108006881166688,266.5921651480005,0.0,0,28.276995530306053,0.0,1082.7004646658077,266.81569159576344,266.81569159576344
V7_S1_ADX_VOLLOW+g_L_BTC_grandparent_trend_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_L_BTC_grandparent_trend_with,6,0.6666666666666666,-0.8362536077630409,-5.0175216465782455,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,24,0.9166666666666666,11.108006881166688,266.5921651480005,0.0,0,28.276995530306053,0.0,1082.7004646658077,266.81569159576344,266.81569159576344
V7_S1+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_trend_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_trend_with,6,0.6666666666666666,-0.8362536077630409,-5.0175216465782455,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,24,0.9166666666666666,11.108006881166688,266.5921651480005,0.0,0,28.276995530306053,0.0,1082.7004646658077,266.81569159576344,266.81569159576344
