sleeve,n_total,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,wr_full,dpt_full,sum_full,dd_lockbox,loss_streak_lockbox,dd_full,loss_streak_full,sharpe_lockbox,bootstrap_p_lockbox,bootstrap_p_full,min_split_dpt,stable_3split,composite,proj_28d_const25
V6+g_BTC_tr_stack_with+g_BTC_adx_strong,54,24,0.7916666666666666,6.6285742110054295,159.08578106413032,9,0.5555555555555556,-1.4085557274011316,-12.677001546610184,21,0.8571428571428571,9.419958485161755,197.81912818839686,0.7777777777777778,6.374590883442907,344.22790770591695,50.0,2,75.0,3,13.244784674081655,0.033,0.035,-1.4085557274011316,False,43.167672801595295,295.3601591518072
V6+g_ETH_tr_stack_with+g_BTC_adx_strong,55,25,0.76,6.072183548567632,151.8045887141908,9,0.5555555555555556,-1.4085557274011316,-12.677001546610184,21,0.8571428571428571,9.419958485161755,197.81912818839686,0.7636363636363637,6.126303915563225,336.9467153559774,50.0,2,75.0,3,13.244784674081655,0.033,0.036,-1.4085557274011316,False,43.167672801595295,289.11262929397134
V6+g_BTC_tr_stack_with+g_ETH_tr_stack_with+g_BTC_adx_strong,51,21,0.7619047619047619,6.201405648106698,130.22951861024066,9,0.5555555555555556,-1.4085557274011316,-12.677001546610184,21,0.8571428571428571,9.419958485161755,197.81912818839686,0.7647058823529411,6.183757750039751,315.3716452520273,50.0,2,75.0,3,13.244784674081655,0.033,0.043,-1.4085557274011316,False,43.167672801595295,270.60042851954074
V6+g_ETH_vol_low,147,77,0.6883116883116883,2.3502826082865265,180.97176083806252,27,0.6296296296296297,-0.5686255550652075,-15.352889986760601,43,0.8604651162790697,9.225084193073416,396.6786203021569,0.7278911564625851,3.8251530010439376,562.2974911534589,100.0,4,216.76792432485726,6,18.81135564986653,0.003,0.044,-0.5686255550652075,False,60.49292247758905,482.47185297838865
V6+g_ETH_vol_low_vwap_lt80,147,77,0.6883116883116883,2.3502826082865265,180.97176083806252,27,0.6296296296296297,-0.5686255550652075,-15.352889986760601,43,0.8604651162790697,9.225084193073416,396.6786203021569,0.7278911564625851,3.8251530010439376,562.2974911534589,100.0,4,216.76792432485726,6,18.81135564986653,0.003,0.044,-0.5686255550652075,False,60.49292247758905,482.47185297838865
V6+g_ETH_vol_low_no_vwap,147,77,0.6883116883116883,2.3502826082865265,180.97176083806252,27,0.6296296296296297,-0.5686255550652075,-15.352889986760601,43,0.8604651162790697,9.225084193073416,396.6786203021569,0.7278911564625851,3.8251530010439376,562.2974911534589,100.0,4,216.76792432485726,6,18.81135564986653,0.003,0.044,-0.5686255550652075,False,60.49292247758905,482.47185297838865
V6+g_BTC_vol_low+g_ETH_vol_low,139,73,0.6986301369863014,2.7951894215000954,204.04882776950697,25,0.6,-2.157015707566037,-53.925392689150925,41,0.8536585365853658,8.999983838791449,368.9993373904494,0.7266187050359713,3.7346962048259393,519.1227724708056,100.0,4,199.35597822835024,6,18.943609224244238,0.003,0.048,-2.157015707566037,False,57.62801465466946,445.42636219750335
V6+g_BTC_tr_stack_with,112,56,0.625,0.3171421981079351,17.759963094044366,23,0.5217391304347826,-4.719797590697293,-108.55534458603773,33,0.8484848484848485,8.949572864042297,295.3359045133958,0.6696428571428571,1.8262546698339506,204.54052302140246,50.0,2,253.1547788968658,5,15.904496857973573,0.005,0.241,-4.719797590697293,False,51.41138197724774,175.50326420427203
V6+g_BTC_tr_stack_with+g_ETH_tr_stack_with,106,51,0.5882352941176471,-0.7940744452982837,-40.49779671021247,22,0.5454545454545454,-3.7979702084562605,-83.55534458603773,33,0.8484848484848485,8.949572864042297,295.3359045133958,0.660377358490566,1.6158751246900533,171.28276321714566,50.0,2,277.5922267081164,5,15.904496857973573,0.005,0.253,-3.7979702084562605,False,51.41138197724774,146.96688755113345
V6+g_ETH_tr_stack_with,116,60,0.6166666666666667,0.1785946671066823,10.715680026400937,23,0.5217391304347826,-4.719797590697294,-108.55534458603776,33,0.8484848484848485,8.949572864042297,295.3359045133958,0.6637931034482759,1.702553792704819,197.49623995375902,50.0,2,245.70935898138805,5,15.904496857973573,0.005,0.253,-4.719797590697294,False,51.41138197724774,169.45901119226156
