sleeve_id,gate,dpt_lockbox,dpt_train,dpt_val,n_lockbox,n_train,n_val,wr_lockbox,wr_train,wr_val,base_dpt_lockbox,base_dpt_train,base_dpt_val,dpt_lift_train,dpt_lift_val,dpt_lift_lockbox
11_eth_15m_off120_240,g_as_unstable_skip,-1.8993541968378465,0.2562962047490366,2.668976103226763,66,143,88,0.6212121212121212,0.7552447552447552,0.8068181818181818,-1.6487721164089797,-0.6396138185931384,2.9376789759739093,0.895910023342175,-0.2687028727471463,-0.25058208042886676
11_eth_15m_off120_240,g_hy_cb_with_dir,-4.210436177902192,-0.3105824536350628,2.5495801548525137,196,792,65,0.5459183673469388,0.6540404040404041,0.8153846153846154,-1.6487721164089797,-0.6396138185931384,2.9376789759739093,0.32903136495807556,-0.3880988211213956,-2.5616640614932127
11_eth_15m_off120_240,none,-1.6487721164089797,-0.6396138185931384,2.9376789759739093,372,867,135,0.6048387096774194,0.6447520184544406,0.8222222222222222,-1.6487721164089797,-0.6396138185931384,2.9376789759739093,0.0,0.0,0.0
12_eth_15m_off60_120,g_as_norm_lt_05,3.1014689441127357,-0.12807174437353747,-1.933350851886789,24,23,7,0.7083333333333334,0.6956521739130435,0.7142857142857143,5.561878069403579,-0.5588638426841316,5.26221221549009,0.4307920983105941,-7.195563067376879,-2.4604091252908433
12_eth_15m_off60_120,g_as_norm_lt_15,3.7207337616809406,2.1044549781860713,3.370377557366894,32,50,34,0.75,0.74,0.7941176470588235,5.561878069403579,-0.5588638426841316,5.26221221549009,2.6633188208702028,-1.8918346581231957,-1.8411443077226384
12_eth_15m_off60_120,g_as_stable,3.391612291009949,2.074925173394467,1.5307054508407545,30,40,26,0.7333333333333333,0.75,0.7692307692307693,5.561878069403579,-0.5588638426841316,5.26221221549009,2.6337890160785986,-3.7315067646493354,-2.17026577839363
12_eth_15m_off60_120,g_as_stable_AND_hy_with,5.30897788422301,1.7220556346198612,2.3880777591958355,18,38,13,0.7777777777777778,0.7368421052631579,0.7692307692307693,5.561878069403579,-0.5588638426841316,5.26221221549009,2.2809194773039927,-2.874134456294254,-0.252900185180569
12_eth_15m_off60_120,g_as_unstable_skip,3.7207337616809406,1.6101441812205635,3.368280310256202,32,58,40,0.75,0.7241379310344828,0.775,5.561878069403579,-0.5588638426841316,5.26221221549009,2.169008023904695,-1.8939319052338877,-1.8411443077226384
12_eth_15m_off60_120,g_hy_cb_with_dir,5.043992503884355,-0.6027345084044683,4.577826878979783,55,219,34,0.7636363636363637,0.6484018264840182,0.8235294117647058,5.561878069403579,-0.5588638426841316,5.26221221549009,-0.04387066572033671,-0.6843853365103065,-0.517885565519224
12_eth_15m_off60_120,none,5.561878069403579,-0.5588638426841316,5.26221221549009,98,251,58,0.7755102040816326,0.6334661354581673,0.8275862068965517,5.561878069403579,-0.5588638426841316,5.26221221549009,0.0,0.0,0.0
13_pool_15m_offge480,g_as_norm_lt_05,-1.677419907800774,0.5981806962620244,3.173669202722846,90,444,258,0.5333333333333333,0.8513513513513513,0.8992248062015504,0.631146977981188,-2.722697623019822,1.3916271466477583,3.3208783192818467,1.7820420560750876,-2.3085668857819623
13_pool_15m_offge480,g_as_norm_lt_15,-0.9261590807290747,1.0451878166360047,2.2273687851040465,125,636,365,0.576,0.8474842767295597,0.8794520547945206,0.631146977981188,-2.722697623019822,1.3916271466477583,3.767885439655827,0.8357416384562881,-1.5573060587102627
13_pool_15m_offge480,g_as_stable,-0.510418537580537,1.1579051037611188,2.2740697248357873,116,574,330,0.5689655172413793,0.8536585365853658,0.8818181818181818,0.631146977981188,-2.722697623019822,1.3916271466477583,3.880602726780941,0.882442578188029,-1.141565515561725
13_pool_15m_offge480,g_as_stable_AND_hy_with,-7.176266068442648,1.5046630875373632,1.2267922888362093,60,487,202,0.5333333333333333,0.8459958932238193,0.8712871287128713,0.631146977981188,-2.722697623019822,1.3916271466477583,4.2273607105571855,-0.16483485781154905,-7.807413046423836
13_pool_15m_offge480,g_as_unstable_skip,-1.3341103343087124,0.9794967273976769,1.817162550964721,131,663,381,0.5725190839694656,0.8461538461538461,0.868766404199475,0.631146977981188,-2.722697623019822,1.3916271466477583,3.702194350417499,0.4255354043169626,-1.9652573122899004
13_pool_15m_offge480,g_hy_cb_with_dir,-6.238863784677372,-0.3941001356572084,0.5101071663397065,335,1186,251,0.44776119402985076,0.7057335581787522,0.852589641434263,0.631146977981188,-2.722697623019822,1.3916271466477583,2.3285974873626136,-0.8815199803080518,-6.87001076265856
13_pool_15m_offge480,none,0.631146977981188,-2.722697623019822,1.3916271466477583,665,1935,418,0.48270676691729325,0.6098191214470284,0.8636363636363636,0.631146977981188,-2.722697623019822,1.3916271466477583,0.0,0.0,0.0
14_sol_5m_drz_res_down,g_as_norm_lt_05,-7.69822266057176,0.023097625206199367,-0.520267293547175,737,421,512,0.43012211668928085,0.9216152019002375,0.861328125,-5.349210613070769,-5.603922503860202,-0.7037269636214922,5.627020129066402,0.18345967007431718,-2.3490120475009917
14_sol_5m_drz_res_down,g_as_norm_lt_15,-3.965356313989197,-0.5314426233356192,-0.5509979296429173,1495,982,1179,0.4809364548494983,0.8676171079429735,0.825275657336726,-5.349210613070769,-5.603922503860202,-0.7037269636214922,5.072479880524583,0.15272903397857496,1.3838542990815714
14_sol_5m_drz_res_down,g_as_stable,-4.138234199710201,-0.47693345957296096,-0.3389634048709597,1307,796,967,0.47819433817903595,0.8793969849246231,0.8397104446742503,-5.349210613070769,-5.603922503860202,-0.7037269636214922,5.1269890442872414,0.3647635587505325,1.2109764133605676
14_sol_5m_drz_res_down,g_as_stable_AND_hy_with,,-0.5402176890588882,-1.035277806779072,0,642,270,,0.8785046728971962,0.825925925925926,-5.349210613070769,-5.603922503860202,-0.7037269636214922,5.063704814801314,-0.33155084315757977,
