sleeve_id,gate,split,n,wr,dpt,sum,dpt_ci95_lo,dpt_ci95_hi
05_btc_5m_off120_sms_liq,none,val,87,0.7701149425287356,1.1817288559695514,102.81041046935097,-2.233236526434192,5.628562986316312
05_btc_5m_off120_sms_liq,none,lockbox,237,0.4978902953586498,-4.299466233336347,-1018.9734973007144,-7.7702190057247575,-0.07838842773830729
05_btc_5m_off120_sms_liq,g_as_stable,train,59,0.7457627118644068,-2.122637114928439,-125.2355897807779,-5.488539064260641,1.4460757438605132
05_btc_5m_off120_sms_liq,g_as_stable,val,27,0.8148148148148148,1.1830429303083871,31.94215911832645,-5.085582101583731,6.600986489107401
05_btc_5m_off120_sms_liq,g_as_stable,lockbox,52,0.5,-2.853460230244435,-148.37993197271064,-9.361562946970714,5.790933739319352
05_btc_5m_off120_sms_liq,g_as_norm_lt_05,train,27,0.8518518518518519,1.5645045196959524,42.24162203179071,-2.58803924850424,5.505010648994745
05_btc_5m_off120_sms_liq,g_as_norm_lt_05,val,7,0.5714285714285714,-8.325638515988132,-58.27946961191692,,
05_btc_5m_off120_sms_liq,g_as_norm_lt_05,lockbox,24,0.5416666666666666,4.3461997227945135,104.30879334706833,-9.787712584739575,16.754721201981035
05_btc_5m_off120_sms_liq,g_as_unstable_skip,train,87,0.735632183908046,-2.2181806327343665,-192.98171504788988,-5.030717465585389,1.373711014475885
05_btc_5m_off120_sms_liq,g_as_unstable_skip,val,44,0.8409090909090909,1.9783033549905327,87.04534761958344,-2.629646046846435,6.331722716131985
05_btc_5m_off120_sms_liq,g_as_unstable_skip,lockbox,62,0.5161290322580645,-0.5896391319478493,-36.55762618076666,-7.640453936464331,7.363469646208199
05_btc_5m_off120_sms_liq,g_as_norm_lt_15,train,72,0.75,-2.3596703079705197,-169.89626217387743,-5.7885658116654115,0.7162792137543383
05_btc_5m_off120_sms_liq,g_as_norm_lt_15,val,36,0.8055555555555556,1.5141805516757993,54.51049986032878,-3.209077483420566,6.476618761942207
05_btc_5m_off120_sms_liq,g_as_norm_lt_15,lockbox,59,0.5254237288135594,0.08941876529773868,5.275707152566582,-8.040963166342697,8.20006323426816
05_btc_5m_off120_sms_liq,g_hy_cb_with_dir,train,306,0.7026143790849673,-0.5935667731314551,-181.63143257822526,-2.4202313295414974,1.7240058860613796
05_btc_5m_off120_sms_liq,g_hy_cb_with_dir,val,53,0.7924528301886793,2.715027139634236,143.8964384006145,-3.1253078100551117,9.049728850034535
05_btc_5m_off120_sms_liq,g_hy_cb_with_dir,lockbox,116,0.49137931034482757,-5.940100750399386,-689.0516870463288,-10.593238086372043,-1.700849132369396
05_btc_5m_off120_sms_liq,g_as_stable_AND_hy_with,train,53,0.7735849056603774,-1.1020338593592394,-58.40779454603968,-4.66089168208724,2.8150457289615125
