sleeve_id,slug,direction,placed_fire_us,live_vwap,live_shares,live_outcome,live_won,live_pnl,canon_outcome,bt_vwap,bt_shares,bt_pnl,fill_status,book_dt_us
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779974100,DOWN,1779974160000000,0.62,8.064516129032258,Down,True,3.0032258064516126,Down,0.6200000047683716,8.064516067008695,3.0032257456685207,OK,28815000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779975300,DOWN,1779975390000000,0.72,6.944444444444445,Down,True,1.905555555555556,Down,0.7200000286102295,6.944444168497026,1.9055552851270854,OK,251000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,eth-updown-5m-1779975300,UP,1779975360000000,0.55,9.09090909090909,Down,False,-5.0,Down,0.550000011920929,9.090908893868948,-5.0,OK,791000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,eth-updown-5m-1779975300,UP,1779975360000000,0.55,9.09090909090909,Down,False,-5.0,Down,0.550000011920929,9.090908893868948,-5.0,OK,791000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,eth-updown-5m-1779976200,UP,1779976260000000,0.95,5.2631578947368425,Up,True,0.2578947368421055,Up,0.9499999880790709,5.263157960780771,0.2578948015651556,OK,600000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,eth-updown-5m-1779976200,UP,1779976260000000,0.95,5.2631578947368425,Up,True,0.2578947368421055,Up,0.9499999880790709,5.263157960780771,0.2578948015651556,OK,600000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779976800,DOWN,1779976890000000,0.4751896189344786,10.522115384615386,Down,True,5.411673076923077,Down,0.475189614823898,10.522115475635902,5.411673166123183,OK,28240000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,eth-updown-5m-1779976800,UP,1779976860000000,0.59,8.474576271186441,Down,False,-5.0,Down,0.5899999737739562,8.474576647889183,-5.0,OK,2088000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,eth-updown-5m-1779976800,UP,1779976860000000,0.59,8.474576271186441,Down,False,-5.0,Down,0.5899999737739562,8.474576647889183,-5.0,OK,2088000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,eth-updown-5m-1779977100,DOWN,1779977160000000,0.93,5.376344086021505,Up,False,-5.0,Up,0.9300000071525573,5.3763440446724635,-5.0,OK,388000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,eth-updown-5m-1779977400,DOWN,1779977460000000,0.92,5.434782608695652,Up,False,-5.0,Up,0.9200000166893004,5.434782510105741,-5.0,OK,556000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,eth-updown-5m-1779977400,DOWN,1779977460000000,0.92,5.434782608695652,Up,False,-5.0,Up,0.9200000166893004,5.434782510105741,-5.0,OK,556000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,eth-updown-5m-1779978000,DOWN,1779978060000000,0.84,5.9523809523809526,Down,True,0.9333333333333336,Down,0.8399999737739563,5.952381138223105,0.9333335154586427,OK,311000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,eth-updown-5m-1779978000,DOWN,1779978060000000,0.84,5.9523809523809526,Down,True,0.9333333333333336,Down,0.8399999737739563,5.952381138223105,0.9333335154586427,OK,311000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,eth-updown-5m-1779978900,UP,1779978960000000,0.7014424026872159,7.128169014084508,Up,True,2.085605633802817,Up,0.7014423896831435,7.128169146233957,2.085605763309278,OK,309000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,eth-updown-5m-1779978900,UP,1779978960000000,0.7014424026872159,7.128169014084508,Up,True,2.085605633802817,Up,0.7014423896831435,7.128169146233957,2.085605763309278,OK,309000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779978900,DOWN,1779978990000000,0.5841584158415842,8.559322033898304,Up,False,-5.0,Up,0.5841583953910148,8.559322333548213,-5.0,OK,1377000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,eth-updown-5m-1779979500,UP,1779979560000000,0.6,8.333333333333334,Up,True,3.266666666666667,Up,0.6000000238418579,8.333333002196431,3.2666663421525026,OK,387000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,eth-updown-5m-1779979500,UP,1779979560000000,0.6,8.333333333333334,Up,True,3.266666666666667,Up,0.6000000238418579,8.333333002196431,3.2666663421525026,OK,387000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779979800,UP,1779979890000000,0.75,6.666666666666667,Up,True,1.6333333333333333,Up,0.75,6.666666666666667,1.6333333333333335,OK,2651000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779980400,UP,1779980460000000,0.53,9.433962264150942,Down,False,-5.0,Down,0.5299999713897705,9.433962773411018,-5.0,OK,18000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779982200,DOWN,1779982290000000,0.79,6.329113924050633,Down,True,1.30253164556962,Down,0.5600000023841858,8.928571390558263,3.8499999627470975,OK,57856000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779983100,UP,1779983160000000,0.62,8.064516129032258,Down,False,-5.0,Down,0.5237153926711635,9.547170218728816,-5.0,OK,28027000.0
