combo,symbol,n_trades,buy_hold_x,final_eq_x,win_rate,expectancy,profit_factor,sharpe,max_dd,outperform,median_hold_h,calmar,cagr
F4_funding_band__E0_24h_fixed,BTCUSDT,514,2.670764124372448,1.2356441290858,0.49221789883268485,0.0007936456319280064,1.087708055612248,0.37535426909545766,-0.5792411497940985,0.4626556564129902,24.0,0.12644499583077348,0.07324214477072721
F4_funding_band__E1_48h_fixed,BTCUSDT,333,2.670764124372448,1.3591183612591053,0.5195195195195195,0.0015245457033038828,1.1284802297049905,0.4559241223755836,-0.6214814097131028,0.5088874561614305,48.0,0.17367933518012432,0.10793847806577817
F4_funding_band__E2_trail_5pct,BTCUSDT,220,2.670764124372448,2.0065384268635538,0.4818181818181818,0.004421826375818679,1.2647589128526782,0.7826929043120084,-0.45027036203398696,0.7512975064149598,96.0,0.581715244297108,0.261929133650348
F4_funding_band__E3_tp_or_24h,BTCUSDT,522,2.670764124372448,0.9526864157064235,0.4904214559386973,0.00026527325799407365,1.0290731441403185,0.12893432636623334,-0.6082954265531405,0.35670930540534995,24.0,-0.02640367099996326,-0.016061232313491436
F4_funding_band__E4_zcross,BTCUSDT,827,2.670764124372448,0.5849799056249064,0.37122128174123337,-0.0006143524096046128,0.7984361714643889,-1.2362314763250928,-0.4350716419318136,0.21903091339537883,2.0,-0.37692587701615815,-0.16398976020000877
F4_funding_band__E5_vol_scaled,BTCUSDT,470,2.670764124372448,1.6768537052417043,0.4978723404255319,0.0014627882457864444,1.1704513418135585,0.6799250469179026,-0.36906390014784307,0.6278554103446766,24.0,0.5107160536713541,0.18848685863606507
F5_n_of_m__E0_24h_fixed,BTCUSDT,905,2.670764124372448,1.1445437825219629,0.487292817679558,0.00044624036774324627,1.0537511270225266,0.31066705172689457,-0.560050855764647,0.42854543839242915,24.0,0.08237166023641206,0.04613231880615731
F5_n_of_m__E1_48h_fixed,BTCUSDT,495,2.670764124372448,2.049524581495339,0.4888888888888889,0.0020216408910955735,1.185619664143696,0.7586380878516336,-0.4922794926650632,0.7673925835651688,48.0,0.5502900559310983,0.2708965095523903
F5_n_of_m__E2_trail_5pct,BTCUSDT,306,2.670764124372448,1.5966928212997207,0.4411764705882353,0.002447406151490409,1.156072571539552,0.5631431334981073,-0.5057637726521127,0.5978411971049286,96.0,0.33453765715031963,0.1691970275745447
F5_n_of_m__E3_tp_or_24h,BTCUSDT,918,2.670764124372448,1.0608792183920905,0.4891067538126362,0.00034529122265197326,1.0421763748042718,0.24980205111786158,-0.5680485659384329,0.3972193608229504,24.0,0.03509968104496078,0.019938323482486364
