combo,symbol,n_trades,win_rate,expectancy,profit_factor,sharpe,max_dd,buy_hold_x,final_eq_x,outperform,median_hold_h,calmar
X_btc_extreme__S_zmag__E_volscaled__R_dd_pause,ETHUSDT,27,0.6296296296296297,0.01750210636882821,3.0976083502071456,0.9579908718044445,-0.11129878039173147,1.200688988338978,1.5434722771808247,1.2854888253085839,21.0,1.478205921212745
X_btc_extreme__S_zmag__E_tp_3__R_none,ETHUSDT,129,0.5426356589147286,0.0011292037570655902,1.0760384298875134,0.18569048220219522,-0.44521205829200095,1.200688988338978,1.0459633041736573,0.8711359180703683,24.0,0.035701440165803684
X_btc_extreme__S_zmag__E_tp_3__R_3loss_pause,ETHUSDT,32,0.53125,0.010546295463474166,2.3371136949163787,0.9705921051248595,-0.07589078743051808,1.200688988338978,1.3746322613142536,1.1448695496207617,24.0,1.556579923240742
X_btc_extreme__S_zmag__E_tp_3__R_dd_pause,ETHUSDT,36,0.5277777777777778,0.008394498609925916,1.997725636007755,0.8473194648822754,-0.10684769038611772,1.200688988338978,1.3257172532280423,1.1041304335288586,24.0,0.9733795636364122
X_btc_extreme__S_zmag__E_tp_5__R_none,ETHUSDT,118,0.5169491525423728,0.0023369352446545666,1.1523708245277555,0.35811417503787674,-0.41936337961046155,1.200688988338978,1.1836561142152755,0.9858140831729743,24.0,0.14534718022516935
X_btc_extreme__S_zmag__E_tp_5__R_3loss_pause,ETHUSDT,29,0.5517241379310345,0.013705876944854685,2.8938712249709946,1.0765801357226163,-0.07589078743051811,1.200688988338978,1.4575042331468033,1.213889897635441,24.0,1.8623721798501087
X_btc_extreme__S_zmag__E_tp_5__R_dd_pause,ETHUSDT,33,0.5454545454545454,0.010975482622028656,2.3910768923904073,0.9593855831516035,-0.10684769038611765,1.200688988338978,1.4056403031660676,1.1706947567751225,24.0,1.1878307577780742
X_btc_extreme__S_zmag__E_tp_7__R_none,ETHUSDT,116,0.5172413793103449,0.0029879284648065283,1.194735671294936,0.44055340396806636,-0.3907882804220456,1.200688988338978,1.2641454904194995,1.0528500741630908,24.0,0.21938171367090573
X_btc_extreme__S_zmag__E_tp_7__R_3loss_pause,ETHUSDT,28,0.5714285714285714,0.016369345133586174,3.60823729289625,1.2114045584598443,-0.07589078743051815,1.200688988338978,1.5470257068052904,1.2884483174493266,24.0,2.180272921998124
X_btc_extreme__S_zmag__E_tp_7__R_dd_pause,ETHUSDT,32,0.5625,0.01322069246458039,2.8701040053086713,1.0943445596022827,-0.10684769038611737,1.200688988338978,1.4919762386038034,1.2426000846961955,24.0,1.410773596580083
X_btc_extreme__S_zmag__E_trail_3__R_none,ETHUSDT,84,0.4523809523809524,0.009904069448468663,1.634756660495408,0.9172960787224325,-0.27711267813837764,1.200688988338978,1.9865303616027732,1.65449202990603,29.0,0.9828215101556406
