label_cell,X,Y,Z,side,n_events,indicator,mean,median,std
medium,0.03,24,0.01,bear,3251,z_dom_stables,-0.08728484773651536,-0.22360679773892417,0.623534701445028
medium,0.03,24,0.01,bear,3251,z_top_lsr_count,0.04832479372313515,0.09169903086534034,1.5032584622744867
medium,0.03,24,0.01,bear,3251,z_top_lsr_sum,0.04171695790014244,0.06338649809857023,1.3848241382915603
medium,0.03,24,0.01,bear,3251,z_taker_ratio,0.024886844707029673,-0.17263614712886455,1.0065934696192296
medium,0.03,24,0.01,bear,3251,brigalS,0.10948992957095056,0.22027281971456913,2.9254952300197394
medium,0.03,24,0.01,bear,3251,oilsr,0.02547305453620228,0.05517016693893306,2.128447294103964
medium,0.03,24,0.01,bear,3251,cross_institutional_lead,0.39375814246814966,-0.025364698503774097,3.3247716441138198
medium,0.03,24,0.01,bear,3251,cross_leverage_heat,2629.1488985238825,-0.8711302488727481,33129.59018775389
medium,0.03,24,0.01,bear,3251,cross_risk_off,-0.04403608102589252,0.018832276545166837,0.6135630167611009
medium,0.03,24,0.01,bear,3251,cross_real_money,-5258.902036263388,1.1723588179554714,66258.89068717955
tight,0.05,48,0.015,bull,2722,z_lsr,-0.09600128038083207,-0.1925752276230423,1.4753728770250858
tight,0.05,48,0.015,bull,2722,z_fund,0.028064267419018924,0.2236067977497925,0.6460345691149965
tight,0.05,48,0.015,bull,2722,z_oi,0.057206110420629515,0.18298780074069,1.4305788645651563
tight,0.05,48,0.015,bull,2722,z_oi_silent,0.05598222272918937,-0.40824397532468343,1.1570328744494993
tight,0.05,48,0.015,bull,2722,z_cb_premium,0.014697052512270083,0.7211104233183383,1.008160674253632
tight,0.05,48,0.015,bull,2722,z_dom_stables,0.08161812163422134,0.22360679772548994,0.6346172739565686
tight,0.05,48,0.015,bull,2722,z_top_lsr_count,-0.047973042972273894,-0.15118008366682387,1.5095769860369048
tight,0.05,48,0.015,bull,2722,z_top_lsr_sum,-0.02484671033707314,-0.08000861292221134,1.406469437892579
tight,0.05,48,0.015,bull,2722,z_taker_ratio,-0.008348702157897648,-0.20333462290430993,0.9780854442310611
tight,0.05,48,0.015,bull,2722,brigalS,-0.20357315947096186,-0.379058668588009,2.9518228893255065
tight,0.05,48,0.015,bull,2722,oilsr,0.15199148664458495,0.16639296476301313,2.2138715424599287
tight,0.05,48,0.015,bull,2722,cross_institutional_lead,0.6483474135122397,0.13259232599630943,2.9426751610290145
tight,0.05,48,0.015,bull,2722,cross_leverage_heat,3.6669049461438217,-1.007790549671109,15.926217649236523
tight,0.05,48,0.015,bull,2722,cross_risk_off,-0.11010504326785661,-0.05968539917769933,0.60352875050699
tight,0.05,48,0.015,bull,2722,cross_real_money,-8.041848062923195,2.1208867640850424,30.600201198134215
tight,0.05,48,0.015,bear,2634,z_lsr,0.0736094923163988,0.11404204502146284,1.4741636472212252
tight,0.05,48,0.015,bear,2634,z_fund,-0.02286297411334145,-0.223606797749985,0.6574745159937577
tight,0.05,48,0.015,bear,2634,z_oi,0.057098365914071046,0.07158665631091854,1.4352448870530974
tight,0.05,48,0.015,bear,2634,z_oi_silent,0.03612415381825768,-0.40824397763905934,1.1560185210156597
tight,0.05,48,0.015,bear,2634,z_cb_premium,-0.02239818850557848,-0.799384715406585,1.0066270276142593
tight,0.05,48,0.015,bear,2634,z_dom_stables,-0.1669088254740436,-0.22360679774550504,0.6126019822132844
tight,0.05,48,0.015,bear,2634,z_top_lsr_count,0.06995672401801509,0.1518371567407359,1.5004047596131649
tight,0.05,48,0.015,bear,2634,z_top_lsr_sum,0.030211206210047623,0.043398277964262086,1.3701961988166345
tight,0.05,48,0.015,bear,2634,z_taker_ratio,0.0065696440741954045,-0.20648747853933008,1.0179474848823469
tight,0.05,48,0.015,bear,2634,brigalS,0.13530047841603676,0.2344782794668081,2.947508969261641
tight,0.05,48,0.015,bear,2634,oilsr,-0.01651112640232774,-0.01961353380501335,2.120904511444152
tight,0.05,48,0.015,bear,2634,cross_institutional_lead,0.4984245049613566,0.2723317548131744,3.4241386270398713
tight,0.05,48,0.015,bear,2634,cross_leverage_heat,29.053739168957375,-1.8463914353809907,992.5104574048806
tight,0.05,48,0.015,bear,2634,cross_risk_off,-0.06747213255490979,-0.0768042878232647,0.6575040015186844
tight,0.05,48,0.015,bear,2634,cross_real_money,-58.749417408664826,3.818399101384607,1984.9073400036207
