sleeve,coin,variant,gate,entry_ts,exit_ts,window,side,ret_pct,realized,reason,bars,funding_cost,regime
CCI_ETH,ETH,V41,FUND_Z,2026-03-05 04:00:00+00:00,2026-03-13 12:00:00+00:00,IS,SHORT,-2.249848126348141,-845.8503823157464,SL,50,-2.232316991424383,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2026-03-27 04:00:00+00:00,2026-03-27 08:00:00+00:00,IS,LONG,-3.1230038912713365,-1147.7294626604064,SL,1,-0.7799232625332602,LowVol
CCI_ETH,ETH,V41,FUND_Z,2026-04-01 04:00:00+00:00,2026-04-07 20:00:00+00:00,IS,SHORT,-3.1044556106922556,-1105.7093109583043,SL,40,-13.762308367506714,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2026-04-20 04:00:00+00:00,2026-04-29 16:00:00+00:00,IS,LONG,-2.7139491033308296,-936.4622691369458,SL,57,5.620419190887702,LowVol
CCI_ETH,ETH,V41,FUND_Z,2026-05-11 04:00:00+00:00,2026-05-22 20:00:00+00:00,POST,SHORT,15.196835891253519,5117.801763014735,TIME,70,-107.70035260133372,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2026-06-01 20:00:00+00:00,2026-06-02 00:00:00+00:00,POST,LONG,-3.177952313093821,-1232.6879085999403,SL,1,5.8127069696724565,LowVol
CCI_ETH,ETH,V41,FUND_Z,2026-06-16 04:00:00+00:00,2026-06-22 12:00:00+00:00,POST,SHORT,1.2496692581639137,470.1121123964023,SL,38,-62.8628004941602,LowVol
CCI_ETH,ETH,V41,FUND_Z,2026-06-24 04:00:00+00:00,2026-06-24 16:00:00+00:00,POST,LONG,-3.2692693919176063,-1245.274951131898,SL,3,-1.278386832471753,LowVol
CCI_ETH,ETH,V41,FUND_Z,2026-06-30 08:00:00+00:00,2026-07-01 16:00:00+00:00,POST,SHORT,-3.2400033385096707,-1194.2309600830324,SL,8,-13.904008801761957,LowVol
CCI_ETH,ETH,V41,FUND_Z,2026-07-15 08:00:00+00:00,2026-07-15 12:00:00+00:00,POST,SHORT,-3.2345286175672943,-1153.8138262139112,SL,1,-7.065404367067641,MedLowVol
STF_SOL,SOL,baseline,FUND_Z,2024-03-07 16:00:00+00:00,2024-03-17 16:00:00+00:00,IS,LONG,10.443577690969564,1035.138261634404,TIME,60,88.27920599014521,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-03-25 16:00:00+00:00,2024-03-27 16:00:00+00:00,IS,LONG,-3.0571932923671765,-334.24941067826336,SL,12,13.647488263934447,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-04-25 12:00:00+00:00,2024-05-03 20:00:00+00:00,IS,SHORT,0.09962184711222824,10.571537715049393,SL,50,-12.70387990546376,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-05-08 12:00:00+00:00,2024-05-09 20:00:00+00:00,IS,SHORT,-3.070119758060659,-326.1422682484957,SL,8,-0.874680246742778,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-05-13 04:00:00+00:00,2024-05-13 08:00:00+00:00,IS,SHORT,-3.0733386121895827,-316.4801574093578,SL,1,-0.6313308306022729,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-05-15 20:00:00+00:00,2024-05-25 20:00:00+00:00,IS,LONG,5.13862028991549,511.319963751197,TIME,60,30.590960913029996,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-06-05 00:00:00+00:00,2024-06-07 16:00:00+00:00,IS,LONG,-3.1162303317105984,-325.56687173084146,SL,16,14.391628533829437,MedVol
