rule,asset,tf,fire_offset_s,n,wr,dpt,sum_pnl
MP-C,ALL,5m,105,4932,0.5283860502838605,-1.3284635473283861,-6551.982215423601
MP-C,ALL,ALL,105,4932,0.5283860502838605,-1.3284635473283861,-6551.982215423601
MP-C,SOL,5m,30,4205,0.5117717003567182,-1.3301898879940037,-5593.448479014785
MP-C,SOL,ALL,30,4205,0.5117717003567182,-1.3301898879940037,-5593.448479014785
MP-A,ALL,5m,105,5488,0.5253279883381924,-1.332956989139786,-7315.267956399146
MP-A,ALL,ALL,105,5488,0.5253279883381924,-1.332956989139786,-7315.267956399146
MP-D,ETH,5m,180,1196,0.5284280936454849,-1.3354006462984886,-1597.1391729729924
MP-E,BTC,ALL,60,7883,0.47583407332233923,-1.335466817528098,-10527.484922573996
MP-B,ALL,ALL,105,5486,0.525154939846883,-1.3365811468760485,-7332.484171762002
MP-B,ALL,5m,105,5486,0.525154939846883,-1.3365811468760485,-7332.484171762002
MP-D,BTC,15m,60,394,0.48223350253807107,-1.3395511323511848,-527.7831461463668
MP-D,BTC,ALL,300,132,0.5,-1.3432460128478279,-177.30847369591328
MP-D,BTC,ALL,ALL,10722,0.517160977429584,-1.344489130970206,-14415.61246226255
MP-C,SOL,15m,120,1318,0.4939301972685888,-1.3759114649395405,-1813.4513107903144
MP-A,ALL,ALL,120,24884,0.5230670310239511,-1.3893804471799938,-34573.343047626964
MP-B,ALL,ALL,120,24878,0.5230323981027414,-1.3911433323337,-34608.863821797786
MP-C,BTC,ALL,ALL,90353,0.5149026595685811,-1.391520852962681,-125728.08362773711
MP-C,ETH,5m,15,1546,0.4961190168175938,-1.3940595606633617,-2155.216080785557
MP-C,ETH,ALL,15,1546,0.4961190168175938,-1.3940595606633617,-2155.216080785557
MP-C,ALL,5m,120,16579,0.5329030701489836,-1.3947801770893695,-23124.060555964657
MP-E,ETH,ALL,60,7170,0.4750348675034867,-1.4120262032184214,-10124.227877076082
MP-E,ETH,ALL,360,1943,0.5187853834276891,-1.4187711845742723,-2756.672411627811
MP-E,ETH,15m,360,1943,0.5187853834276891,-1.4187711845742723,-2756.672411627811
MP-D,ETH,5m,60,1085,0.49216589861751153,-1.4208595471972512,-1541.6326087090174
MP-D,ETH,ALL,180,1231,0.5247766043866775,-1.4308230866019307,-1761.3432196069766
MP-A,BTC,ALL,360,2418,0.5388751033912325,-1.435088027759697,-3470.042851122947
MP-A,BTC,15m,360,2418,0.5388751033912325,-1.435088027759697,-3470.042851122947
MP-C,BTC,5m,105,1799,0.5264035575319622,-1.4408174563996774,-2592.03060406302
MP-C,BTC,ALL,105,1799,0.5264035575319622,-1.4408174563996774,-2592.03060406302
MP-E,ALL,15m,60,5009,0.48592533439808344,-1.4418737094539706,-7222.345410654939
MP-A,SOL,5m,60,4937,0.5086084666801701,-1.4420710259139866,-7119.504654937352
MP-B,BTC,ALL,360,2417,0.5386843194042201,-1.4433286337619597,-3488.5253078026567
MP-B,BTC,15m,360,2417,0.5386843194042201,-1.4433286337619597,-3488.5253078026567
MP-E,ALL,15m,120,5078,0.4913351713272942,-1.4476353485501812,-7351.09229993782
MP-C,BTC,5m,ALL,71638,0.5113068483207236,-1.4581151784990196,-104456.45515731277
MP-E,ALL,ALL,60,20311,0.4810693712766481,-1.4610201604278326,-29674.78047844971
MP-B,SOL,5m,60,4935,0.5086119554204661,-1.4613671240626094,-7211.846757248977
MP-E,BTC,5m,285,1112,0.6070143884892086,-1.4623427235130586,-1626.1251085465212
MP-E,BTC,ALL,285,1112,0.6070143884892086,-1.4623427235130586,-1626.1251085465212
MP-E,ALL,5m,60,15302,0.47947980656123385,-1.467287613893267,-22452.43506779477
MP-A,SOL,ALL,60,6428,0.5062227753578096,-1.46806211713988,-9436.703288975148
MP-D,BTC,5m,ALL,6990,0.5175965665236052,-1.473119069177528,-10297.10229355092
MP-A,SOL,15m,120,1445,0.49480968858131485,-1.4782122265857296,-2136.0166674163793
MP-B,SOL,15m,120,1445,0.49480968858131485,-1.4782122265857296,-2136.0166674163793
MP-B,SOL,ALL,60,6425,0.506147859922179,-1.4837948907135565,-9533.382172834601
MP-E,BTC,ALL,30,5834,0.47000342817963664,-1.4866737844422266,-8673.25485843595
MP-E,BTC,5m,30,5834,0.47000342817963664,-1.4866737844422266,-8673.25485843595
MP-B,BTC,5m,ALL,80475,0.5084311898105002,-1.4897920105854305,-119891.01205186252
MP-D,ALL,ALL,135,646,0.5154798761609907,-1.491707232409563,-963.6428721365777
MP-D,ALL,5m,135,646,0.5154798761609907,-1.491707232409563,-963.6428721365777
MP-A,BTC,5m,ALL,80508,0.5083718388234709,-1.4920872737572715,-120124.96223565041
MP-C,BTC,15m,600,1939,0.556472408457968,-1.4937656153181322,-2896.4115281018585
MP-C,BTC,ALL,600,1939,0.556472408457968,-1.4937656153181322,-2896.4115281018585
MP-E,BTC,15m,120,2035,0.4722358722358722,-1.5018871014112884,-3056.340251371972
MP-A,BTC,ALL,105,1991,0.5228528377699648,-1.5094219828600919,-3005.259167874443
MP-A,BTC,5m,105,1991,0.5228528377699648,-1.5094219828600919,-3005.259167874443
MP-E,BTC,15m,420,555,0.45765765765765765,-1.5116624879970555,-838.9726808383658
MP-E,BTC,ALL,420,555,0.45765765765765765,-1.5116624879970555,-838.9726808383658
MP-B,BTC,ALL,105,1989,0.5223730517848165,-1.519595466685419,-3022.4753832372985
MP-B,BTC,5m,105,1989,0.5223730517848165,-1.519595466685419,-3022.4753832372985
MP-E,ETH,5m,60,5354,0.46806126260739633,-1.5198067948422742,-8137.045579585536
MP-B,ETH,15m,240,2243,0.4917521176995096,-1.524656190505649,-3419.8038353041707
MP-A,ETH,15m,240,2243,0.4917521176995096,-1.524656190505649,-3419.8038353041707
MP-D,BTC,ALL,240,926,0.5291576673866091,-1.5275771934792142,-1414.5364811617524
MP-D,ETH,15m,120,207,0.5072463768115942,-1.5310955281904581,-316.93677433542484
MP-B,ALL,5m,120,18810,0.5276448697501329,-1.5311998371286601,-28801.8689363901
MP-A,ALL,5m,120,18813,0.5276138840163717,-1.5328329537345928,-28837.186358608895
MP-B,BTC,ALL,ALL,102445,0.5109375762604325,-1.547092020588137,-158491.84204915172
MP-E,ETH,5m,285,965,0.6217616580310881,-1.5471231119389601,-1492.9738030210965
MP-E,ETH,ALL,285,965,0.6217616580310881,-1.5471231119389601,-1492.9738030210965
MP-A,BTC,ALL,ALL,102483,0.5109042475337373,-1.5479601902474052,-158639.60417712483
MP-C,SOL,5m,60,4415,0.5069082672706682,-1.5486264525579128,-6837.185788043185
MP-A,SOL,ALL,30,4665,0.5069667738478028,-1.5503128068605239,-7232.209244004343
MP-A,SOL,5m,30,4665,0.5069667738478028,-1.5503128068605239,-7232.209244004343
MP-A,SOL,15m,60,1491,0.4983232729711603,-1.5541238323526467,-2317.198634037796
MP-B,SOL,15m,60,1490,0.49798657718120803,-1.5580774601245793,-2321.535415585623
MP-D,ETH,5m,75,316,0.5063291139240507,-1.5592426261888452,-492.7206698756751
MP-D,ETH,ALL,75,316,0.5063291139240507,-1.5592426261888452,-492.7206698756751
MP-B,SOL,5m,30,4663,0.5067553077417971,-1.5609961088331,-7278.9248554887445
MP-B,SOL,ALL,30,4663,0.5067553077417971,-1.5609961088331,-7278.9248554887445
MP-B,BTC,5m,255,1585,0.4921135646687697,-1.5806220848444814,-2505.286004478503
MP-B,BTC,ALL,255,1585,0.4921135646687697,-1.5806220848444814,-2505.286004478503
MP-A,BTC,ALL,255,1585,0.4921135646687697,-1.5806220848444814,-2505.286004478503
MP-A,BTC,5m,255,1585,0.4921135646687697,-1.5806220848444814,-2505.286004478503
MP-D,ALL,ALL,60,3100,0.4974193548387097,-1.5826349125222132,-4906.168228818861
MP-A,SOL,ALL,45,1694,0.5029515938606848,-1.5885147560784076,-2690.9439967968224
MP-B,SOL,ALL,45,1694,0.5029515938606848,-1.5885147560784076,-2690.9439967968224
MP-A,SOL,5m,45,1694,0.5029515938606848,-1.5885147560784076,-2690.9439967968224
MP-B,SOL,5m,45,1694,0.5029515938606848,-1.5885147560784076,-2690.9439967968224
MP-C,SOL,5m,45,1520,0.5026315789473684,-1.5901591791893297,-2417.041952367781
MP-C,SOL,ALL,45,1520,0.5026315789473684,-1.5901591791893297,-2417.041952367781
MP-E,BTC,ALL,75,1712,0.48656542056074764,-1.6009311926789596,-2740.794201866379
MP-E,BTC,5m,75,1712,0.48656542056074764,-1.6009311926789596,-2740.794201866379
MP-C,SOL,ALL,60,5750,0.5041739130434783,-1.606318153830126,-9236.329384523226
