source,strategy_id,hypothesis,asset,tf,n_trades,win_rate,dpt_usd,sharpe,max_dd_usd,p_value,perm_p,boot_lo,gates_passed,n_gates_total,notes,n_gates_passed,rank_score
,BTC_15m_y_next_w0_lgb,N8_meta_classifier_lgb,BTC,15m,6821.0,0.5301743659420289,,0.940235961307931,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.543,2,1.5735692946412643
,N5.2_sweep_nan_to_SOL,N5,SOL,,10.0,0.4,1.0166038827129469,2.313871516728893,,0.6557817087179427,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.5,2,1.5638715167288928
,ETH_15m_y_next_3_w1_lgb,N8_meta_classifier_lgb,ETH,15m,8530.0,0.5242288213627992,,0.9299825958003098,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.535,2,1.5633159291336431
,SOL_4h_y_next_w1_lgb,N8_meta_classifier_lgb,SOL,4h,963.0,0.5220994475138122,,0.9173777549006916,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.538,2,1.550711088234025
,N3|ETH|h72h|z1.0,N3,ETH,72h_hold,525.0,0.5485714285714286,0.7625166821305716,0.9504566763830906,,0.0290000651206572,0.0839160839160839,-0.0252643407379095,"G1,G2,G3",5,OK,3,1.5504566763830907
,ETH_4h_y_next_3_w3_lgb,N8_meta_classifier_lgb,ETH,4h,930.0,0.5238532110091743,,0.915999739150254,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.532,2,1.5493330724835874
,ETH_15m_y_next_3_w0_lgb,N8_meta_classifier_lgb,ETH,15m,7795.0,0.5255321557971014,,0.9038081861590468,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.538,2,1.53714151949238
,N2-cross_to_neg|HYPE|h8h|z2.0,N2-cross_to_neg,HYPE,8h_hold,151.0,0.5165562913907285,0.3570995142937818,1.035691057793498,,0.7449138782509725,0.2017982017982018,-0.0961635983377627,"G2,G3",5,OK,2,1.535691057793498
,ETH_1h_y_next_w3_lgb,N8_meta_classifier_lgb,ETH,1h,2558.0,0.5208333333333334,,0.8942408660544524,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.534,2,1.5275741993877858
,N3|BTC|h4h|z2.0,N3,BTC,4h_hold,99.0,0.5151515151515151,0.1788668721490819,1.026319647787842,,0.8408215252256422,0.2457542457542457,-0.1293611571642176,"G2,G3",5,OK,2,1.526319647787842
,ETH_4h_choch_pure_hold5,N_sms_port,ETH,4h,62.0,0.532258064516129,0.495367096195902,1.089155146336044,-79.83735021553838,0.7035366713552733,,-1.0049580372169988,G2,4,,1,1.514155146336044
,ETH_4h_pure_sms_atr_trail,N_sms_port,ETH,4h,552.0,0.4565217391304347,0.8655935642599196,0.9615050548130514,-583.6039652803847,0.04535347345057,,-0.0979398046125392,"G1,G2",4,,2,1.5115050548130513
,ETH_1h_y_next_w1_lgb,N8_meta_classifier_lgb,ETH,1h,2793.0,0.5290055248618785,,0.8717805302690435,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.536,2,1.5051138636023769
,ETH_4h_y_next_3_w1_lgb,N8_meta_classifier_lgb,ETH,4h,900.0,0.5313075506445673,,0.868373724123356,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.542,2,1.5017070574566893
,BTC_15m_y_next_w3_lgb,N8_meta_classifier_lgb,BTC,15m,4508.0,0.535084706959707,,0.8454619712918621,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.543,2,1.4787953046251954
,ETH_1h_y_next_3_w0_lgb,N8_meta_classifier_lgb,ETH,1h,3148.0,0.5251358695652174,,0.8356517927923752,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.539,2,1.4689851261257085
,ETH_15m_y_next_w2_lgb,N8_meta_classifier_lgb,ETH,15m,8910.0,0.5235507246376812,,0.8312186549030867,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.535,2,1.46455198823642
,SOL_4h_pure_sms_hold10,N_sms_port,SOL,4h,610.0,0.5442622950819672,0.7886602529105582,0.8900407303603247,-327.5939077853411,0.0317959456268737,,-0.1231592818469435,"G1,G2",4,,2,1.4400407303603247
,SOL_4h_y_next_3_w1_lgb,N8_meta_classifier_lgb,SOL,4h,972.0,0.5239410681399632,,0.8044749511109215,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.533,2,1.4378082844442548
,ETH_4h_y_next_3_w2_lgb,N8_meta_classifier_lgb,ETH,4h,958.0,0.5253623188405797,,0.8036967354107024,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.558,2,1.4370300687440358
,ETH_5m_y_next_3_w1_lgb,N8_meta_classifier_lgb,ETH,5m,20048.0,0.5208144625603864,,0.8007271002923929,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.531,2,1.4340604336257263
,N2-cross_to_neg|ETH|h8h|z2.0,N2-cross_to_neg,ETH,8h_hold,169.0,0.514792899408284,0.308605788720625,0.9293112888721368,,0.7584219886210963,0.2117882117882117,-0.089976878088158,"G2,G3",5,OK,2,1.4293112888721369
,ETH_5m_y_next_3_w2_lgb,N8_meta_classifier_lgb,ETH,5m,11414.0,0.527263708169573,,0.7875790229348077,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.538,2,1.4209123562681412
,BTC_1h_y_next_w3_lgb,N8_meta_classifier_lgb,BTC,1h,2442.0,0.5267857142857143,,0.7591134949090512,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.529,2,1.3924468282423845
,ETH_1h_y_next_w2_lgb,N8_meta_classifier_lgb,ETH,1h,2946.0,0.5176630434782609,,0.7402020065603986,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.533,2,1.373535339893732
,BTC_5m_y_next_3_w2_lgb,N8_meta_classifier_lgb,BTC,5m,9696.0,0.5246499026977525,,0.7204070576679983,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.536,2,1.3537403910013317
,ETH_1m_liq_long_250k_5m_reversion,N1,ETH,1m,9.0,0.6667,0.9931,2.221,-17.06,0.50781,,,G2,4,liq_long_>=$250k_5m_reversion,1,1.346
,ETH_1m_liq_long_100k_5m_reversion,N1,ETH,1m,9.0,0.6667,0.9931,2.221,-17.06,0.50781,,,G2,4,liq_long_>=$100k_5m_reversion,1,1.346
,BTC_15m_y_next_w1_lgb,N8_meta_classifier_lgb,BTC,15m,9185.0,0.5219267955801105,,0.7081509999314474,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.526,2,1.3414843332647808
,ETH_1h_y_next_3_w1_lgb,N8_meta_classifier_lgb,ETH,1h,3150.0,0.5177255985267035,,0.7044840587148475,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.528,2,1.3378173920481808
,BTC_5m_y_next_3_w0_lgb,N8_meta_classifier_lgb,BTC,5m,15717.0,0.5160758133824432,,0.6933558908609956,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.527,2,1.3266892241943289
,SOL_15m_y_next_w2_lgb,N8_meta_classifier_lgb,SOL,15m,4122.0,0.5153419384057971,,0.6852575416614937,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.528,2,1.318590874994827
,ETH_5m_y_next_w1_lgb,N8_meta_classifier_lgb,ETH,5m,13254.0,0.5189462560386473,,0.6762767719153934,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.530,2,1.3096101052487268
,BTC_15m_y_next_3_w3_lgb,N8_meta_classifier_lgb,BTC,15m,5553.0,0.5213508872352605,,0.6759231675120202,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.531,2,1.3092565008453536
,BTC_4h_pure_sms_hold10,N_sms_port,BTC,4h,607.0,0.5485996705107083,0.3445666943166238,0.7494188497453403,-257.4043719033035,0.0184918351933748,,-0.1518993693832171,"G1,G2",4,,2,1.2994188497453403
,SOL_15m_y_next_3_w0_lgb,N8_meta_classifier_lgb,SOL,15m,7544.0,0.5153419384057971,,0.6523785460015546,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.526,2,1.285711879334888
,ETH_5m_y_next_w2_lgb,N8_meta_classifier_lgb,ETH,5m,6540.0,0.5223023504273504,,0.6435722806802469,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.534,2,1.2769056140135802
,SOL_15m_y_next_3_w2_lgb,N8_meta_classifier_lgb,SOL,15m,5500.0,0.5189651268115942,,0.6415223804854262,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.528,2,1.2748557138187595
,N5.2_sweep_nan_to_SOL,N5,SOL,,115.0,0.3826086956521739,0.2088649054969415,0.7240103721330798,,0.6257139546837744,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.2,2,1.2740103721330798
,SOL_15m_y_next_w0_lgb,N8_meta_classifier_lgb,SOL,15m,5209.0,0.5179461050724637,,0.6343424847688826,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.526,2,1.2676758181022159
,SOL_4h_pure_sms_hold3,N_sms_port,SOL,4h,610.0,0.5327868852459017,0.4082837730499157,0.8370764136566802,-171.37348384340925,0.1142475270000659,,-0.1049020510001611,G2,4,,1,1.2620764136566802
,SOL_4h_sms_ranging_hold3,N_sms_port,SOL,4h,495.0,0.5252525252525253,0.4021692198008197,0.8342384897901831,-171.37348384340925,0.2806996125913767,,-0.1683094894024963,G2,4,,1,1.2592384897901832
,SOL_4h_y_next_3_w2_lgb,N8_meta_classifier_lgb,SOL,4h,852.0,0.5253623188405797,,0.6224624368139203,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.527,2,1.2557957701472537
,ETH_5m_y_next_w0_lgb,N8_meta_classifier_lgb,ETH,5m,8069.0,0.5201427255985267,,0.6142610212729103,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.528,2,1.2475943546062436
,N5.2_sweep_nan_to_SOL,N5,SOL,,26.0,0.5384615384615384,0.6899700082186973,0.9801400756587496,,0.7555042593813652,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.3,2,1.2301400756587495
,ETH_1h_y_next_3_w3_lgb,N8_meta_classifier_lgb,ETH,1h,2884.0,0.5178653229500687,,0.572998493687624,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.526,2,1.2063318270209573
,BTC_1h_y_next_3_w3_lgb,N8_meta_classifier_lgb,BTC,1h,2864.0,0.5155748969308291,,0.5660024608123427,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.525,2,1.1993357941456761
,BTC_4h_y_next_w2_lgb,N8_meta_classifier_lgb,BTC,4h,1015.0,0.5208333333333334,,0.555200552850687,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.531,2,1.1885338861840204
,BTC_4h_y_next_3_w0_lgb,N8_meta_classifier_lgb,BTC,4h,977.0,0.5262681159420289,,0.7191367540924682,,,,,G_pos_sharpe,3,auc=0.502,1,1.1858034207591348
,N3|BTC|h72h|z1.0,N3,BTC,72h_hold,525.0,0.5504761904761905,0.408702475349421,0.5767553816364518,,0.023149040196417,0.2117882117882117,-0.0482873273325807,"G1,G2,G3",5,OK,3,1.1767553816364518
,ETH_4h_sms_ranging_hold3,N_sms_port,ETH,4h,427.0,0.5761124121779859,0.2954407900500926,0.62637871415092,-192.9114423683036,0.0019195013448729,,-0.2896297571652587,"G1,G2",4,,2,1.1763787141509199
,SOL_1h_y_next_3_w1_lgb,N8_meta_classifier_lgb,SOL,1h,3466.0,0.5156537753222836,,0.5403391740670875,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.515,2,1.1736725074004208
,SOL_4h_pure_sms_atr_trail,N_sms_port,SOL,4h,610.0,0.4721311475409836,0.700870744699536,0.7333945931808585,-459.7108125299594,0.1814597096323103,,-0.2864471123907581,G2,4,,1,1.1583945931808586
,SOL_4h_markov_sized,N9_cyclops_N4_markov_sizing,SOL,4h,10.0,0.5,2.349007055034806,2.152958197133678,-42.41388540676251,,,,n/a,0,lev=2.0,0,1.1529581971336782
,SOL_4h_markov_gate,N9_cyclops_N4_markov_sizing,SOL,4h,10.0,0.5,2.349007055034806,2.152958197133678,-42.41388540676251,,,,n/a,0,lev=2.0,0,1.1529581971336782
,SOL_4h_baseline_lev2,N9_cyclops_N4_markov_sizing,SOL,4h,10.0,0.5,2.349007055034806,2.152958197133678,-42.41388540676251,,,,n/a,0,lev=2.0,0,1.1529581971336782
,SOL_1h_y_next_3_w2_lgb,N8_meta_classifier_lgb,SOL,1h,2628.0,0.5122282608695652,,0.4941846629118417,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.520,2,1.1275179962451751
,N2-C_neg|ETH|h24h|z2.0,N2-C_neg,ETH,24h_hold,36.0,0.5833333333333334,0.4359773717093405,0.9231960951099464,,0.4050322461407632,0.3766233766233766,-0.2681435288500662,"G2,G3",5,OK,2,1.1231960951099464
,N2-B|ETH|h8h|z1.5,N2-B,ETH,8h_hold,50.0,0.48,0.1938664256350472,0.6227106342536429,,0.887724827340783,0.3966033966033966,-0.2464088794446181,"G2,G3",5,OK,2,1.122710634253643
,ETH_4h_y_next_3_w0_lgb,N8_meta_classifier_lgb,ETH,4h,937.0,0.5226449275362319,,0.4840714343792655,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.531,2,1.117404767712599
,SOL_15m_y_next_w3_lgb,N8_meta_classifier_lgb,SOL,15m,3704.0,0.5208333333333334,,0.481707218755505,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.528,2,1.1150405520888382
,SOL_5m_y_next_3_w1_lgb,N8_meta_classifier_lgb,SOL,5m,7328.0,0.5161722524154589,,0.4803384675309016,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.525,2,1.113671800864235
,SOL_1h_y_next_w1_lgb,N8_meta_classifier_lgb,SOL,1h,3157.0,0.5163443830570903,,0.4760320877021745,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.524,2,1.1093654210355077
,N3|ETH|h4h|z1.5,N3,ETH,4h_hold,218.0,0.5137614678899083,0.15108468901976,0.7023096427642027,,0.7349658822561246,0.2587412587412587,-0.0880251527041457,G2,5,OK,1,1.1023096427642027
,SOL_1h_y_next_w2_lgb,N8_meta_classifier_lgb,SOL,1h,2306.0,0.5194746376811594,,0.457851323730092,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.523,2,1.0911846570634254
,N2-C_neg|ETH|h72h|z1.5,N2-C_neg,ETH,72h_hold,50.0,0.44,0.5758908874144156,0.6755667420606266,,0.4798876616983278,0.3816183816183816,-0.2688645593456352,G2,5,OK,1,1.0755667420606265
,SOL_1h_y_next_w3_lgb,N8_meta_classifier_lgb,SOL,1h,2376.0,0.5045787545787546,,0.4337909609327745,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.511,2,1.0671242942661079
,BTC_15m_y_next_3_w1_lgb,N8_meta_classifier_lgb,BTC,15m,11166.0,0.5117403314917127,,0.4309514327368219,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.519,2,1.0642847660701553
,SOL_1m_liq_long_250k_5m_reversion,N1,SOL,1m,7.0,0.5714,0.9827,1.939,-16.18,1.0,,,G2,4,liq_long_>=$250k_5m_reversion,1,1.064
,SOL_15m_markov_sized,N9_cyclops_N4_markov_sizing,SOL,15m,166.0,0.5120481927710844,0.2274259124616802,0.7595441411162203,-58.5343920154001,,,,n/a,0,lev=1.921686746987952,0,1.0595441411162203
,SOL_4h_sms_session_asia_hold3,N_sms_port,SOL,4h,260.0,0.5,0.3419649440319409,0.6334183331583734,-143.81244658766136,1.0,,-0.5303814152708269,G2,4,,1,1.0584183331583734
,ETH_4h_y_next_w2_lgb,N8_meta_classifier_lgb,ETH,4h,923.0,0.5108695652173914,,0.4247506507066464,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.530,2,1.0580839840399798
,BTC_5m_y_next_w2_lgb,N8_meta_classifier_lgb,BTC,5m,4956.0,0.5168269230769231,,0.4019777733101493,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.526,2,1.0353111066434826
,N2-cross_to_pos|SOL|h72h|z2.0,N2-cross_to_pos,SOL,72h_hold,178.0,0.4943820224719101,0.4139557050548498,0.5341646999741179,,0.9402799587020464,0.3216783216783216,-0.1128239729199331,"G2,G3",5,OK,2,1.0341646999741179
,SOL_15m_y_next_w1_lgb,N8_meta_classifier_lgb,SOL,15m,6997.0,0.5098987108655617,,0.3989204344360811,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.520,2,1.0322537677694144
,SOL_1h_y_next_w0_lgb,N8_meta_classifier_lgb,SOL,1h,2780.0,0.521286231884058,,0.3988256042526926,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.521,2,1.0321589375860258
,BTC_4h_y_next_w1_lgb,N8_meta_classifier_lgb,BTC,4h,915.0,0.5184162062615101,,0.3982460172290567,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.519,2,1.03157935056239
,SOL_1h_y_next_3_w0_lgb,N8_meta_classifier_lgb,SOL,1h,3289.0,0.5120018115942029,,0.3874949945682991,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.524,2,1.0208283279016324
,BTC_4h_y_next_w0_lgb,N8_meta_classifier_lgb,BTC,4h,887.0,0.5126811594202898,,0.3690618009626006,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.518,2,1.0023951342959339
,SOL_5m_y_next_3_w2_lgb,N8_meta_classifier_lgb,SOL,5m,6641.0,0.5154348074941809,,0.3634138939437572,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.524,2,0.9967472272770905
,SOL_15m_markov_gate,N9_cyclops_N4_markov_sizing,SOL,15m,166.0,0.5120481927710844,0.2140566982749948,0.6940120281307431,-64.64145296027459,,,,n/a,0,lev=2.0,0,0.9940120281307432
,SOL_15m_baseline_lev2,N9_cyclops_N4_markov_sizing,SOL,15m,166.0,0.5120481927710844,0.2140566982749948,0.6940120281307431,-64.64145296027459,,,,n/a,0,lev=2.0,0,0.9940120281307432
,BTC_5m_y_next_3_w1_lgb,N8_meta_classifier_lgb,BTC,5m,35814.0,0.5104732789855072,,0.3462546318791045,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.519,2,0.9795879652124377
,SOL_5m_y_next_w2_lgb,N8_meta_classifier_lgb,SOL,5m,2390.0,0.5135454822954822,,0.3461484817877541,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.520,2,0.9794818151210873
,N2-cross_to_pos|SOL|h24h|z2.0,N2-cross_to_pos,SOL,24h_hold,178.0,0.4831460674157303,0.2653618452289298,0.475309839030663,,0.707947851762438,0.3446553446553446,-0.1169146887342614,"G2,G3",5,OK,2,0.9753098390306629
,ETH_4h_y_next_w3_lgb,N8_meta_classifier_lgb,ETH,4h,891.0,0.4990842490842491,,0.3380398017390245,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.513,2,0.9713731350723578
,SOL_15m_y_next_3_w1_lgb,N8_meta_classifier_lgb,SOL,15m,11291.0,0.5088627992633518,,0.3366768571266928,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.516,2,0.9700101904600262
,SOL_1h_y_next_3_w3_lgb,N8_meta_classifier_lgb,SOL,1h,2649.0,0.5057260650480989,,0.3314900075718222,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.519,2,0.9648233409051554
,BTC_5m_y_next_w0_lgb,N8_meta_classifier_lgb,BTC,5m,21535.0,0.5088052486187845,,0.3113444893411787,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.514,2,0.9446778226745121
,SOL_5m_y_next_w0_lgb,N8_meta_classifier_lgb,SOL,5m,10938.0,0.5127378759975445,,0.3058681191021628,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.514,2,0.9392014524354961
,ETH_4h_y_next_w0_lgb,N8_meta_classifier_lgb,ETH,4h,828.0,0.5081521739130435,,0.2989166113268456,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.516,2,0.9322499446601789
,ETH_4h_y_next_w1_lgb,N8_meta_classifier_lgb,ETH,4h,844.0,0.5064456721915286,,0.2985131118150083,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.511,2,0.9318464451483417
,BTC_5m_y_next_w1_lgb,N8_meta_classifier_lgb,BTC,5m,27388.0,0.5117564915458938,,0.2984040366914085,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.513,2,0.9317373700247418
,SOL_4h_sms_session_londNy_hold3,N_sms_port,SOL,4h,420.0,0.5357142857142857,0.2237112515358792,0.4999818880580762,-128.10074116401657,0.1569699365247443,,-0.3317002358938949,G2,4,,1,0.9249818880580762
,N5.2_sweep_nan_to_SOL,N5,SOL,,10.0,0.5,1.020200045867095,1.6719679186262308,,0.7467136080499213,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.5,2,0.9219679186262308
,BTC_15m_y_next_3_w2_lgb,N8_meta_classifier_lgb,BTC,15m,12322.0,0.5053781702898551,,0.2862644241529213,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.516,2,0.9195977574862546
,SOL_5m_y_next_w1_lgb,N8_meta_classifier_lgb,SOL,5m,2785.0,0.5147003321256038,,0.2836034730672979,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.521,2,0.9169368064006311
,SOL_1m_cascade_5m_reversion,N1,SOL,1m,15.0,0.5333,1.0394,1.776,-48.99,1.0,,,G2,4,cascade_5+_60s_5m_reversion,1,0.901
,SOL_5m_y_next_3_w0_lgb,N8_meta_classifier_lgb,SOL,5m,25919.0,0.5121431860036832,,0.2647747057458295,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.514,2,0.8981080390791629
,N2-B|HYPE|h8h|z2.0,N2-B,HYPE,8h_hold,90.0,0.4888888888888889,0.1851611845735104,0.4919191137715604,,0.9161288770112904,0.3776223776223776,-0.1838022333777292,G2,5,OK,1,0.8919191137715603
,BTC_4h_pure_sms_atr_trail,N_sms_port,BTC,4h,607.0,0.457990115321252,0.1791064062727844,0.3392511949089552,-395.14743471816416,0.0423252425083922,,-0.3774551657461074,"G1,G2",4,,2,0.8892511949089552
,N2-B|SOL|h4h|z1.5,N2-B,SOL,4h_hold,33.0,0.4848484848484848,0.2278984952542846,0.6822237665119625,,1.0,0.4095904095904096,-0.3114087859603081,"G2,G3",5,OK,2,0.8822237665119625
,BTC_4h_sms_ranging_hold3,N_sms_port,BTC,4h,493.0,0.5415821501014199,0.1174891974773382,0.3990443281007672,-120.92617506935872,0.0715148649393744,,-0.2159029181280693,G2,4,,1,0.8240443281007672
,BTC_1h_y_next_w2_lgb,N8_meta_classifier_lgb,BTC,1h,3789.0,0.5036231884057971,,0.1824105543395986,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.520,2,0.8157438876729319
,SOL_15m_y_next_3_w3_lgb,N8_meta_classifier_lgb,SOL,15m,5152.0,0.509559244419004,,0.1673362445453746,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.510,2,0.8006695778787078
,BTC_1h_y_next_w1_lgb,N8_meta_classifier_lgb,BTC,1h,3762.0,0.5052946593001841,,0.1413727443390718,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.533,2,0.7747060776724051
,SOL_4h_y_next_w3_lgb,N8_meta_classifier_lgb,SOL,4h,795.0,0.51007326007326,,0.1192657335229279,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.514,2,0.7525990668562612
,N2-C_neg|SOL|h1h|z1.5,N2-C_neg,SOL,1h_hold,33.0,0.4848484848484848,0.084106075531376,0.5480350715798662,,1.0,0.4325674325674326,-0.3743793075271321,"G2,G3",5,OK,2,0.7480350715798663
,N3|ETH|h4h|z2.0,N3,ETH,4h_hold,89.0,0.5168539325842697,0.0743550677250241,0.3369162144790998,,0.8322577540225791,0.4245754245754246,-0.1778873134930921,G2,5,OK,1,0.7369162144790997
,BTC_15m_y_next_w2_lgb,N8_meta_classifier_lgb,BTC,15m,8084.0,0.5084918478260869,,0.2604096583405863,,,,,G_pos_sharpe,3,auc=0.509,1,0.7270763250072529
,N2-cross_to_neg|BTC|h72h|z2.0,N2-cross_to_neg,BTC,72h_hold,182.0,0.5164835164835165,0.2053492770655815,0.3267958094534992,,0.711027171025957,0.3776223776223776,-0.126109790965226,G2,5,OK,1,0.7267958094534992
,N3|BTC|h72h|z2.0,N3,BTC,72h_hold,99.0,0.5858585858585859,0.1728961585094222,0.225246017678595,,0.1073515865331888,0.4235764235764235,-0.16653763517087,"G2,G3",5,OK,2,0.7252460176785951
,ETH_4h_pure_sms_signal_flip,N_sms_port,ETH,4h,91.0,0.6483516483516484,0.2372992572250608,0.1744243864829097,-236.9403430961412,0.0061055210745247,,-3.5374830803261594,"G1,G2",4,,2,0.7244243864829096
,N2-C_neg|ETH|h4h|z2.0,N2-C_neg,ETH,4h_hold,36.0,0.4444444444444444,0.1016867907907419,0.4680865429016077,,0.617719317029696,0.4565434565434565,-0.4084705004936223,"G2,G3",5,OK,2,0.6680865429016077
,BTC_4h_sms_session_londNy_hold3,N_sms_port,BTC,4h,434.0,0.5529953917050692,0.0243607707837426,0.0935381699587903,-73.09584352426049,0.0306494330583756,,-0.294512655449428,"G1,G2",4,,2,0.6435381699587903
,N3|BTC|h4h|z1.0,N3,BTC,4h_hold,533.0,0.4446529080675422,0.0065464151100938,0.0356719271122939,,0.0119250814316701,0.4565434565434565,-0.0860207333916383,"G1,G2,G3",5,OK,3,0.6356719271122939
,N2-B|BTC|h24h|z2.0,N2-B,BTC,24h_hold,38.0,0.4473684210526316,0.2180863946895059,0.5353452385917952,,0.6271025701571489,0.4385614385614386,-0.3092642895978242,G2,5,OK,1,0.6353452385917951
,SOL_4h_pure_sms_hold5,N_sms_port,SOL,4h,610.0,0.5081967213114754,0.1310917339180187,0.1978631570053688,-281.192124935127,0.7155921431854931,,-0.5818161912030433,G2,4,,1,0.6228631570053689
,BTC_1h_markov_sized,N9_cyclops_N4_markov_sizing,BTC,1h,98.0,0.4897959183673469,0.0919998473273889,0.3048966065325055,-32.122040835247695,,,,n/a,0,lev=1.9387755102040816,0,0.6048966065325054
,SOL_4h_y_next_w2_lgb,N8_meta_classifier_lgb,SOL,4h,799.0,0.5027173913043478,,0.1183184432284602,,,,,G_pos_sharpe,3,auc=0.495,1,0.5849851098951269
,N2-B|ETH|h24h|z1.5,N2-B,ETH,24h_hold,50.0,0.52,0.0906106175631808,0.1690228267453243,,0.887724827340783,0.4825174825174825,-0.2650742340092085,G2,5,OK,1,0.5690228267453243
,N3|SOL|h4h|z1.0,N3,SOL,4h_hold,613.0,0.4714518760195758,0.0356908750563351,0.168648158597587,,0.1696242232445221,0.4135864135864135,-0.0689958827169594,G2,5,OK,1,0.568648158597587
,N5.2_sweep_nan_to_SOL,N5,SOL,,26.0,0.4230769230769231,0.0303553340098797,0.312087233455189,,0.920949462309147,,,"G_pos_sharpe,G_pos_pnl",4,DOWN/0.3,2,0.562087233455189
,BTC_1h_baseline_lev2,N9_cyclops_N4_markov_sizing,BTC,1h,98.0,0.4897959183673469,0.076622773850244,0.2529614085326471,-32.122040835247695,,,,n/a,0,lev=2.0,0,0.5529614085326471
,BTC_1h_markov_gate,N9_cyclops_N4_markov_sizing,BTC,1h,98.0,0.4897959183673469,0.076622773850244,0.2529614085326471,-32.122040835247695,,,,n/a,0,lev=2.0,0,0.5529614085326471
,N2-B|HYPE|h1h|z1.5,N2-B,HYPE,1h_hold,116.0,0.4482758620689655,0.0093362958667138,0.0497026024996225,,0.3070896636491836,0.4875124875124875,-0.1850406188760333,"G2,G3",5,OK,2,0.5497026024996226
,N2-A|SOL|h8h|z1.5,N2-A,SOL,8h_hold,27.0,0.5185185185185185,0.0967731872163158,0.3240313655978191,,1.0,0.4555444555444555,-0.3705238268725315,"G2,G3",5,OK,2,0.524031365597819
,BTC_4h_pure_sms_hold5,N_sms_port,BTC,4h,607.0,0.4925864909390445,0.0262829233874372,0.0705354212407429,-236.11204190153157,0.7454308429556286,,-0.377424495858109,G2,4,,1,0.4955354212407429
