n,wr,dpt,tot_pnl,n_wins,n_losses,market,tod,stack,wr_all,dpt_all,n_all,wr_lift_pp,dpt_lift,tod_share
49139,0.5643175481796536,-2.754069589101937,-135332.22553888007,27730,21409,SOL_5m,ALL,S1_rf_only,0.5643175481796536,-2.754069589101937,49139,0.0,0.0,1.0
13699,0.5616468355354406,-2.912941035994255,-39904.3792520853,7694,6005,SOL_5m,asia_morning,S1_rf_only,0.5643175481796536,-2.754069589101937,49139,-0.2670712644213036,-0.15887144689231825,0.27878060196585197
13020,0.5717357910906298,-2.4670526856693415,-32121.025967414826,7444,5576,SOL_5m,european_morning,S1_rf_only,0.5643175481796536,-2.754069589101937,49139,0.7418242910976147,0.28701690343259534,0.2649626569527259
11520,0.5641493055555555,-3.0787218225346464,-35466.87539559913,6499,5021,SOL_5m,us_afternoon,S1_rf_only,0.5643175481796536,-2.754069589101937,49139,-0.016824262409809165,-0.32465223343270955,0.23443700523006167
10900,0.5589908256880733,-2.5541233875028277,-27839.944923780822,6093,4807,SOL_5m,us_evening,S1_rf_only,0.5643175481796536,-2.754069589101937,49139,-0.5326722491580282,0.19994620159910914,0.22181973585136042
32381,0.7102313084833699,-0.502917830086243,-16284.982256022635,22998,9383,SOL_5m,ALL,S2_rf+ema200,0.7102313084833699,-0.502917830086243,32381,0.0,0.0,1.0
8921,0.717408362291223,-0.5008194063529007,-4467.809924074227,6400,2521,SOL_5m,asia_morning,S2_rf+ema200,0.7102313084833699,-0.502917830086243,32381,0.7177053807853051,0.0020984237333423472,0.27550106543960967
8737,0.7096257296554882,-0.36616531881677494,-3199.186390502163,6200,2537,SOL_5m,european_morning,S2_rf+ema200,0.7102313084833699,-0.502917830086243,32381,-0.060557882788170314,0.13675251126946808,0.2698187208548223
7579,0.7169811320754716,-0.36053984045349224,-2732.531450797018,5434,2145,SOL_5m,us_afternoon,S2_rf+ema200,0.7102313084833699,-0.502917830086243,32381,0.6749823592101745,0.14237798963275078,0.23405700873969304
7144,0.6948488241881299,-0.8238318156003959,-5885.454490649228,4964,2180,SOL_5m,us_evening,S2_rf+ema200,0.7102313084833699,-0.502917830086243,32381,-1.5382484295240029,-0.32091398551415284,0.22062320496587506
30838,0.7161294506777353,-0.46850040040382046,-14447.615347653016,22084,8754,SOL_5m,ALL,S3_rf+ema200+ribbon,0.7161294506777353,-0.46850040040382046,30838,0.0,0.0,1.0
8517,0.7237290125631091,-0.47003732274200416,-4003.3078777936494,6164,2353,SOL_5m,asia_morning,S3_rf+ema200+ribbon,0.7161294506777353,-0.46850040040382046,30838,0.7599561885373807,-0.0015369223381836994,0.27618522601984563
8336,0.7152111324376199,-0.31607169877960645,-2634.7736810267993,5962,2374,SOL_5m,european_morning,S3_rf+ema200+ribbon,0.7161294506777353,-0.46850040040382046,30838,-0.09183182401153456,0.152428701624214,0.27031584408846226
7236,0.7233278054173576,-0.2587253627836409,-1872.1367251024253,5234,2002,SOL_5m,us_afternoon,S3_rf+ema200+ribbon,0.7161294506777353,-0.46850040040382046,30838,0.7198354739622381,0.20977503762017957,0.2346455671574032
6749,0.6999555489702178,-0.879744712361852,-5937.397063730139,4724,2025,SOL_5m,us_evening,S3_rf+ema200+ribbon,0.7161294506777353,-0.46850040040382046,30838,-1.6173901707517424,-0.41124431195803157,0.21885336273428888
23451,0.7246172871092917,-0.39423734707404656,-9245.260026233465,16993,6458,SOL_5m,ALL,S4_rf+ema200+mfi,0.7246172871092917,-0.39423734707404656,23451,0.0,0.0,1.0
6564,0.7352224253503961,-0.17394033652257376,-1141.7443689341742,4826,1738,SOL_5m,asia_morning,S4_rf+ema200+mfi,0.7246172871092917,-0.39423734707404656,23451,1.0605138241104317,0.2202970105514728,0.2799027760010234
6271,0.7215755062988359,-0.3288485883464037,-2062.2094975202976,4525,1746,SOL_5m,european_morning,S4_rf+ema200+mfi,0.7246172871092917,-0.39423734707404656,23451,-0.30417808104558075,0.06538875872764288,0.2674086392904354
5514,0.7315923104824085,-0.30846542018807865,-1700.8783269170658,4034,1480,SOL_5m,us_afternoon,S4_rf+ema200+mfi,0.7246172871092917,-0.39423734707404656,23451,0.6975023373116729,0.08577192688596791,0.23512856594601508
5102,0.7071736573892591,-0.8507306610862265,-4340.4278328619275,3608,1494,SOL_5m,us_evening,S4_rf+ema200+mfi,0.7246172871092917,-0.39423734707404656,23451,-1.744362972003266,-0.45649331401217996,0.21756001876252612
25250,0.7485940594059406,-0.19579410523327137,-4943.801157140102,18902,6348,SOL_5m,ALL,S5_rf+ema200+ema800,0.7485940594059406,-0.19579410523327137,25250,0.0,0.0,1.0
6921,0.7613061696286664,-0.12773715312939296,-884.0688368085287,5269,1652,SOL_5m,asia_morning,S5_rf+ema200+ema800,0.7485940594059406,-0.19579410523327137,25250,1.271211022272578,0.06805695210387841,0.2740990099009901
