market,label,n,wr,dpt,tot_pnl,wr_lift_pp,dpt_lift,pct_universe
ETH_15m,rf+1h_grandparent,4147,0.5210995900651073,-0.6260971953784025,-2596.4250692342353,3.5513184360358387,2.361975577778719,0.10486522024983563
ETH_15m,rf+15m+1h_grandparent,343,0.5364431486880467,8.015520252605013,2749.3234466435197,5.085674298329773,11.003593025762134,0.008673443584686188
ETH_15m,rf+slope_1h,9489,0.5081673516703551,-2.741892453457656,-26017.817490859696,2.2580945965606167,0.2461803196994654,0.23994841450462753
ETH_15m,rf+slope_15m+slope_1h,3898,0.48383786557208824,-2.9977175006804733,-11685.102817652485,-0.1748540132660681,-0.009644727523351992,0.0985687553734891
ETH_15m,diag_1h_label_distribution_at_fires,39546,,,0.0,,,1.0
ETH_15m,  diag_1h_label=trending_up,6192,,,0.0,,,0.1565771506599909
ETH_15m,  diag_1h_label=trending_dn,11596,,,0.0,,,0.29322813938198555
ETH_15m,  diag_1h_label=ranging,21758,,,0.0,,,0.5501947099580236
ETH_15m,  diag_1h_label=missing,0,,,0.0,,,0.0
SOL_15m,baseline_all,34886,0.48833342888264636,-3.8310340452448752,-133649.45370241272,0.0,0.0,1.0
SOL_15m,g_5m_trend_with,2389,0.4960234407701967,-2.8136500124460033,-6721.809879733502,0.7690011887550363,1.017384032798872,0.068480192627415
SOL_15m,g_15m_trend_with,1783,0.4795288839035334,-1.8239206657500875,-3252.050547032406,-0.8804544979112983,2.007113379494788,0.0511093275239351
SOL_15m,g_1h_trend_with,6915,0.44815618221258136,-5.4741882595836024,-37854.01181502061,-4.0177246670065,-1.6431542143387272,0.1982170498194118
SOL_15m,s_5m_slope_with,14435,0.5566331832351923,-2.547308452374616,-36770.397510027586,6.8299754352545925,1.2837255928702591,0.41377629994840337
SOL_15m,s_15m_slope_with,14635,0.4814485821660403,-3.972335132702981,-58135.12466710813,-0.6884846716606052,-0.141301087458106,0.41950925872842976
SOL_15m,s_1h_slope_with,17352,0.4699170124481328,-4.677473333221782,-81163.51727806436,-1.8416416434513583,-0.8464392879769065,0.497391503755088
SOL_15m,cascade_15m+1h_trend_with,630,0.4587301587301587,-3.6969706819388097,-2329.0915296214503,-2.960327015248765,0.1340633633060655,0.018058820157083072
SOL_15m,cascade_5m+15m_trend_with,554,0.4620938628158845,-3.783437743886636,-2096.0245101131964,-2.6239566066761864,0.047596301358239224,0.01588029582067305
SOL_15m,cascade_5m+15m+1h_trend_with,184,0.3804347826086957,-7.07678333076407,-1302.128132860589,-10.789864627395069,-3.245749285519195,0.005274322077624262
SOL_15m,cascade_15m+1h_slope_with,7520,0.4654255319148936,-4.57859963375208,-34431.06924581564,-2.290789696775275,-0.7475655885072046,0.21555925012899158
SOL_15m,cascade_5m+15m+1h_slope_with,6348,0.5116572148708255,-3.1969268573231915,-20294.09169028762,2.3323785988179138,0.6341071879216837,0.18196411167803703
SOL_15m,rf+1h_grandparent,3198,0.48686679174484054,-4.9265668510003255,-15755.160789499041,-0.14666371378058152,-1.0955328057554503,0.09167001089262168
SOL_15m,rf+15m+1h_grandparent,317,0.4921135646687697,-3.337111371305555,-1057.8643047038609,0.3780135786123351,0.4939226739393203,0.0090867396663418
SOL_15m,rf+slope_1h,8396,0.5138161029061458,-3.6943522353199922,-31017.781367746655,2.548267402349941,0.136681809924883,0.2406696095855071
SOL_15m,rf+slope_15m+slope_1h,3478,0.5163887291546866,-3.3336969937020453,-11594.598144095713,2.805530027204023,0.4973370515428299,0.0996961531846586
SOL_15m,diag_1h_label_distribution_at_fires,34886,,,0.0,,,1.0
SOL_15m,  diag_1h_label=trending_up,5494,,,0.0,,,0.15748437768732443
SOL_15m,  diag_1h_label=trending_dn,8336,,,0.0,,,0.23894972195149916
SOL_15m,  diag_1h_label=ranging,21056,,,0.0,,,0.6035659003611764
SOL_15m,  diag_1h_label=missing,0,,,0.0,,,0.0
