,BB_AVAX_4h,BB_BTC_4h,BB_DOGE_4h,BB_ETH_4h,BB_LINK_4h,BB_SOL_4h,BB_SUI_4h,BB_TON_4h,BB_XRP_4h,CCI_AVAX_4h,CCI_BTC_4h,CCI_DOGE_4h,CCI_ETH_4h,CCI_LINK_4h,CCI_SOL_4h,CCI_SUI_4h,CCI_TON_4h,HTFD_AVAX_4h,HTFD_BTC_4h,HTFD_DOGE_4h,HTFD_ETH_4h,HTFD_LINK_4h,HTFD_SOL_4h,HTFD_SUI_4h,LATBB_AVAX_4h,LATBB_BTC_4h,LATBB_ETH_4h,LATBB_INJ_4h_via_LINK,LATBB_LINK_4h,LATBB_SOL_4h,LATBB_SUI_4h,REGSW_BTC_4h,REGSW_ETH_4h,STF_AVAX_4h,STF_BTC_4h,STF_DOGE_4h,STF_ETH_4h,STF_LINK_4h,STF_SOL_4h,STF_SUI_4h,STF_TON_4h,TGMT_AVAX_4h,TGMT_BTC_4h,TGMT_ETH_4h,TGMT_LINK_4h,TTM_AVAX_4h,TTM_BTC_4h,TTM_DOGE_4h,TTM_ETH_4h,TTM_LINK_4h,TTM_SOL_4h,TTM_SUI_4h,VWZ_AVAX_4h,VWZ_BTC_4h,VWZ_DOGE_4h,VWZ_ETH_4h,VWZ_INJ_4h,VWZ_LINK_4h,VWZ_SOL_4h
TTM_ETH_4h,0.162,0.343,0.209,0.434,0.222,0.199,0.162,0.06,0.17,0.061,0.082,-0.005,-0.026,0.074,0.071,0.024,-0.068,0.194,0.33,0.161,0.449,0.252,0.231,0.18,0.072,0.001,-0.077,0.085,0.085,0.009,0.047,0.195,0.209,0.133,0.266,0.115,0.318,0.167,0.163,0.119,0.034,0.087,0.176,0.112,0.057,0.081,0.404,0.131,1.0,0.387,0.165,0.124,-0.073,-0.105,-0.001,-0.049,-0.135,-0.135,-0.038
TTM_LINK_4h,0.375,0.319,0.384,0.308,0.474,0.285,0.353,0.316,0.268,-0.037,0.012,-0.012,0.006,-0.018,-0.012,0.033,-0.049,0.369,0.333,0.261,0.332,0.511,0.29,0.339,0.046,-0.015,0.03,-0.103,-0.103,-0.042,0.022,0.212,0.217,0.191,0.211,0.184,0.262,0.325,0.117,0.195,0.338,0.19,0.116,0.109,-0.007,0.241,0.359,0.285,0.387,1.0,0.313,0.184,-0.024,-0.053,-0.026,0.069,-0.078,-0.078,-0.095
TTM_SOL_4h,0.401,0.234,0.274,0.161,0.347,0.421,0.285,0.282,0.248,0.078,-0.01,0.013,0.063,0.076,0.056,0.037,-0.06,0.38,0.239,0.219,0.181,0.35,0.442,0.29,0.105,-0.011,0.027,-0.06,-0.06,0.026,0.065,0.16,0.128,0.147,0.116,0.027,0.054,0.156,0.177,0.195,0.233,0.083,-0.007,-0.05,0.016,0.201,0.256,0.22,0.165,0.313,1.0,0.171,0.028,0.068,-0.091,0.032,-0.063,-0.063,0.101
TTM_SUI_4h,0.187,0.18,0.246,0.108,0.162,0.097,0.334,0.088,0.189,0.087,0.036,-0.093,0.003,-0.027,-0.064,0.06,-0.052,0.227,0.19,0.255,0.124,0.158,0.138,0.32,0.127,-0.05,-0.057,-0.009,-0.009,-0.041,0.069,0.09,0.098,0.105,0.095,0.155,0.108,0.108,0.104,0.195,0.057,-0.045,-0.087,-0.046,-0.083,0.232,0.186,0.209,0.124,0.184,0.171,1.0,-0.038,0.083,-0.015,0.017,-0.08,-0.08,-0.041
VWZ_AVAX_4h,-0.037,-0.006,-0.024,-0.031,-0.035,-0.001,-0.047,0.002,-0.015,0.175,-0.053,0.034,0.057,0.047,0.038,-0.012,0.06,-0.018,0.004,-0.0,-0.022,-0.007,-0.003,-0.047,0.179,-0.066,-0.08,0.063,0.063,0.001,0.086,-0.036,-0.043,-0.005,-0.005,-0.022,-0.007,0.005,0.051,-0.018,-0.012,-0.077,-0.096,-0.043,-0.053,0.159,0.013,0.043,-0.073,-0.024,0.028,-0.038,1.0,0.04,0.024,0.402,0.445,0.445,-0.0
VWZ_BTC_4h,-0.004,-0.081,-0.007,-0.087,0.008,-0.031,0.004,0.007,-0.014,0.02,-0.097,0.052,0.04,-0.047,-0.079,-0.026,0.065,-0.0,-0.076,0.004,-0.091,-0.052,-0.035,0.012,0.146,-0.085,0.021,-0.078,-0.078,0.053,0.048,-0.05,-0.001,0.026,-0.09,-0.044,-0.071,-0.046,-0.021,-0.005,-0.002,-0.042,-0.207,-0.043,-0.058,0.081,-0.02,0.046,-0.105,-0.053,0.068,0.083,0.04,1.0,0.081,-0.004,0.0,0.0,0.094
VWZ_DOGE_4h,-0.057,-0.029,-0.077,-0.016,-0.042,-0.017,-0.042,-0.063,0.0,-0.165,0.017,0.226,-0.089,-0.105,-0.111,-0.066,0.086,-0.037,-0.094,-0.101,-0.022,0.017,-0.008,-0.026,-0.084,0.077,0.032,-0.091,-0.091,-0.026,-0.077,0.033,0.015,-0.073,-0.045,-0.086,-0.038,-0.018,0.021,-0.035,-0.043,-0.07,0.006,-0.125,-0.033,-0.024,0.006,-0.014,-0.001,-0.026,-0.091,-0.015,0.024,0.081,1.0,0.192,-0.0,-0.0,0.061
VWZ_ETH_4h,-0.03,0.008,0.034,-0.029,0.023,0.013,0.019,0.013,0.056,0.124,0.123,0.008,-0.016,0.165,0.053,0.069,-0.008,-0.001,0.057,0.012,-0.032,0.024,-0.011,0.006,-0.011,-0.023,-0.107,-0.03,-0.03,0.079,0.147,0.015,-0.036,0.028,0.103,0.046,0.012,0.057,0.005,-0.052,0.027,0.063,-0.014,-0.121,-0.034,0.085,0.045,0.087,-0.049,0.069,0.032,0.017,0.402,-0.004,0.192,1.0,0.338,0.338,-0.1
VWZ_INJ_4h,-0.035,-0.022,-0.028,-0.051,-0.051,-0.028,-0.036,-0.013,-0.04,0.1,-0.046,0.053,-0.052,0.154,0.013,0.038,0.107,-0.028,-0.023,-0.016,-0.016,-0.033,-0.024,-0.028,0.099,0.095,-0.161,0.218,0.218,-0.05,0.154,0.052,-0.088,-0.063,-0.045,-0.029,0.005,-0.006,0.01,-0.041,-0.022,-0.107,-0.094,-0.064,-0.054,0.066,-0.051,0.007,-0.135,-0.078,-0.063,-0.08,0.445,0.0,-0.0,0.338,1.0,1.0,-0.0
VWZ_LINK_4h,-0.035,-0.022,-0.028,-0.051,-0.051,-0.028,-0.036,-0.013,-0.04,0.1,-0.046,0.053,-0.052,0.154,0.013,0.038,0.107,-0.028,-0.023,-0.016,-0.016,-0.033,-0.024,-0.028,0.099,0.095,-0.161,0.218,0.218,-0.05,0.154,0.052,-0.088,-0.063,-0.045,-0.029,0.005,-0.006,0.01,-0.041,-0.022,-0.107,-0.094,-0.064,-0.054,0.066,-0.051,0.007,-0.135,-0.078,-0.063,-0.08,0.445,0.0,-0.0,0.338,1.0,1.0,-0.0
VWZ_SOL_4h,0.006,-0.04,-0.167,-0.033,-0.108,-0.051,-0.085,0.008,-0.047,-0.18,-0.108,-0.004,0.096,-0.047,-0.011,-0.061,0.002,0.002,-0.116,-0.143,-0.073,-0.045,-0.003,-0.034,0.024,-0.037,-0.018,-0.048,-0.048,0.109,-0.009,-0.017,0.049,-0.077,-0.114,-0.219,-0.128,-0.123,0.0,-0.075,-0.043,-0.077,-0.085,-0.045,0.003,0.028,-0.012,-0.076,-0.038,-0.095,0.101,-0.041,-0.0,0.094,0.061,-0.1,-0.0,-0.0,1.0
