tf,mode,s_now,tau_s,reason,signal,strike,symbol,cvd_30s,cvd_60s,fair_up,fee_usd,fill_qty,macd_hist,fill_price,kelly_mult,kelly_rule,entry_phase,fill_status,rvol_30_300,condition_id,fair_edge_bp,qty_intended,vwap_dev_bps,strategy_mode,predicted_edge_pp,kelly_notional_usd,predicted_cost_bps,_at
5m,paper,85.57,180.0,order_placed,DOWN,85.73,SOL,-177314.69230999998,-127253.60700999999,0.1515928589833503,3.4903604736,200.0000,-0.0032965732026626546,0.52624,4.0,S4,t_plus_120,filled,1.520600803089431,0xa0f8a5ccfd4b74381d1bb34061bf84b73f85a52d54a933e0084c6ac34cb41954,-3584.071410166497,25,-24.95219881036809,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 16:37:08.204359+02
5m,paper,2110.8,180.0,order_placed,DOWN,2113.65,ETH,-1083117.993739,-1529292.268904,0.25595356903289346,2.625,150.0000,-0.06195824696371177,0.5,3.0,S4,t_plus_120,filled,0.8439142074236504,0xd1009e51a94cb6f316c627a8e259305cfd84bde2e11e12eda9415215fca658dc,-2640.4643096710656,25,-50.717295810500815,vwap_kelly_ensemble,3.0,75.0,400.0,2026-05-26 16:42:08.47197+02
5m,paper,77132.0,180.0,order_placed,UP,76978.01,BTC,370770.09330089996,892135.5154874001,0.8574570803970529,3.4298217251665677,196.0784,-2.2382399079059,0.5106277285004365600698496112,4.0,S4,t_plus_120,filled,1.007720438845997,0x0f4e6030ab9a5dd363dced9792e4c4aec55a8af1d0db27ca035079f5bfc3dbe3,3474.570803970529,25,32.043674629062224,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 16:52:05.919597+02
5m,paper,85.48,180.0,order_placed,UP,85.17,SOL,124295.23737999999,350625.01726000005,0.9328209725107253,3.4111194514171475,196.0784,-0.005656518676197174,0.5384127981460477033676325388,4.0,S4,t_plus_120,filled,1.706150593838335,0x686e701db8428c2959c95574ed27a6ef4fbbbaa74efd02f5ebc20e9151f963dc,4228.209725107253,25,44.46389752216934,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 16:52:05.92503+02
5m,paper,2116.55,180.0,order_placed,UP,2111.62,ETH,140722.79861899998,337773.243931,0.831372453371036,3.346976953857112,192.3076,-0.07551062155473731,0.5369771137490145995270077730,4.0,S4,t_plus_120,filled,1.198264999903816,0x9c4bd1e48c82d486afc6e19ecf0ae8b201ac86a66f5aea2a7a0aa8fe3d1c7186,3113.7245337103604,25,25.00600431214029,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 16:52:05.951492+02
5m,paper,2108.22,180.0,order_placed,UP,2105.79,ETH,207144.56137,223307.643537,0.8892763464843317,3.286103179726649,188.6792,0.02756103914833008,0.5345685586964540871489809158,4.0,S4,t_plus_120,filled,1.6791278130305345,0x3c9fbfae452a6f23ccc9b35efe51444166bc3f96f1a37140adb5cff4ee93f81e,3592.7634648433173,25,7.323480223079526,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 17:12:10.444233+02
5m,paper,85.21,180.0,order_placed,UP,85.09,SOL,13311.337199999998,8689.454259999999,0.8788152177739323,3.2804516208818355,188.6792,0.0005201072921823865,0.5402850976684234404216257012,4.0,S4,t_plus_120,filled,1.2365027477875932,0xd7b3f9ff9706eec3b42076308058f63ec41ed60cdcbfefbeb4d6caf7be4b30a4,3488.152177739323,25,8.623586999709545,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 17:12:10.46438+02
5m,paper,85.2,180.0,order_placed,DOWN,85.29,SOL,-26060.34354,-7591.527919999994,0.20364135475028577,2.6205514270833334,150.0000,-0.0009807955911375031,0.5205833333333333333333333333,3.0,S4,t_plus_120,filled,1.1689426851664761,0x0d6fecc769273fe7324ef71838fd41eb22028c66a7c20fe0ed36c844dfe233f8,-3063.5864524971425,25,-8.453545073328433,vwap_kelly_ensemble,3.0,75.0,400.0,2026-05-26 17:17:08.826452+02
5m,paper,84.99,180.0,order_placed,DOWN,85.17,SOL,-121144.53686000001,-148158.30278,0.052726054559261104,3.4935345186,200.0000,0.004303625590059068,0.52149,4.0,S4,t_plus_120,filled,1.8219663770916663,0x99905f2ff65721caca8f53ddbf4063cd77b1983583c791d35abad48b5d4b5676,-4572.739454407389,25,-22.093485962124674,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 17:22:05.159882+02
5m,paper,76736.93,180.0,order_placed,DOWN,76857.96,BTC,-624508.3277682,-728367.2246742,0.015928548046106827,3.5,200.0000,3.327082514199377,0.5,4.0,S4,t_plus_120,filled,2.8839317952585257,0x83ac43f43d5a7ef9edd31eb1c939a1fb0b5a24033cf9f81abb9e776f7e5a5f41,-5240.714519538931,25,-13.109543889051054,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 17:22:05.161293+02
