slug,c_dn,c_up,s_dn,s_up,paired,pf,pvs,win,win_sh,win_cost,win_px,gross,fee,net
btc-updown-15m-1782723600,14.585900000000002,203.035,135.01,237.44,135.01,0.5686068059299191,0.9631359369082374,Up,237.44,203.035,0.8551002358490566,19.81909999999999,2.059380653007076,17.759719346992917
btc-updown-15m-1782724500,314.9045960008168,229.95459500104735,571.599428,363.143963,363.143963,0.6353119776040084,1.1841509165964508,Down,571.599428,314.9045960008168,0.5509183189749742,26.740236998135856,9.89925197341874,16.840985024717114
btc-updown-15m-1782725400,162.8889,303.1222969990099,490.01,510.171173,490.01,0.9604815519437434,0.9265775683156697,Up,510.171173,303.1222969990099,0.5941580258573526,44.15997600099007,8.611382599451247,35.548593401538824
btc-updown-15m-1782726300,186.9667,379.9245,441.59,553.79,441.59,0.7973961248848842,1.109438673993585,Up,553.79,379.9245,0.6860443489409344,-13.101200000000063,8.3495610625553,-21.45076106255536
btc-updown-15m-1782727200,6.0517,265.3967,236.09,322.41,236.09,0.7322663689091529,0.8487982457091439,Up,322.41,265.3967,0.8231652244037095,50.96160000000003,3.285195612194722,47.67640438780531
btc-updown-15m-1782728100,245.6512,120.5944,407.45,233.76,233.76,0.5737145662044423,1.1187888075188255,Down,407.45,245.6512,0.6028990060130077,41.20440000000002,6.82838349858682,34.376016501413204
btc-updown-15m-1782729000,284.62,14.708,333.0,181.45,181.45,0.5448948948948948,0.9357728574537613,Down,333.0,284.62,0.8547147147147147,33.67199999999997,2.894576852852853,30.777423147147115
btc-updown-15m-1782729900,314.71199700061055,39.098,406.64529,244.67,244.67,0.6016791685943295,0.933721554346624,Down,406.64529,314.71199700061055,0.7739226415252727,52.835292999389424,4.980447987354305,47.85484501203512
btc-updown-15m-1782730800,229.4904,10.5,294.56,75.0,75.0,0.25461705594785444,0.9190956002172732,Down,294.56,229.4904,0.7790956002172732,54.56960000000001,3.5486807347528524,51.02091926524716
btc-updown-15m-1782731700,218.8969,407.0901,441.33,654.3,441.33,0.6745071068317285,1.1181702253888,Up,654.3,407.0901,0.6221765245300321,28.312999999999988,10.766573748799175,17.546426251200813
btc-updown-15m-1782732600,123.060497,97.36559600089655,203.4403,240.574823,203.4403,0.8456425217862469,1.0096179819702344,Down,203.4403,123.060497,0.6048973433483926,-16.985793000896535,3.4035070505497016,-20.389300051446238
btc-updown-15m-1782733500,126.63269899863634,272.8295,312.782856,427.13,312.782856,0.7322895980146559,1.0436086812896674,Up,427.13,272.8295,0.638750497506614,27.66780100136367,6.89916647983635,20.76863452152732
btc-updown-15m-1782734400,126.1844,189.02990099667298,272.76,315.52849,272.76,0.864454426920371,1.061710422117955,Up,315.52849,189.02990099667298,0.5990898032588847,0.3141890033269874,5.304881035897079,-4.990692032570092
btc-updown-15m-1782735300,190.61999899983564,32.7341,291.068492,152.37,152.37,0.5234850359550425,0.8697303736311552,Down,291.068492,190.61999899983564,0.6548974012612662,67.71439300016436,4.604841991849269,63.109551008315094
btc-updown-15m-1782736200,0.0,10.166,0.0,257.4,0.0,0.0,,Down,0.0,0.0,,-10.166,0.0,-10.166
btc-updown-15m-1782737100,358.639599,362.85339799999997,668.8671410000001,662.121188,662.121188,0.9899143602869854,1.0842061849524531,Down,668.8671410000001,358.639599,0.5361895913496518,-52.625855999999885,11.643854527927092,-64.26971052792697
