fid,slug,outcome,ts,price,size,bid0,ask0,snap_us,age_s,cls,ticks_vs_bid
486,eth-updown-15m-1782961200,Up,1782961355,0.66,9.99,0.65,0.67,1782961352452000.0,2.548,INSIDE_spread,1.0
493,sol-updown-15m-1782960300,Up,1782961115,0.23,12.8,0.22,0.25,1782961112401000.0,2.599,INSIDE_spread,1.0
494,btc-updown-15m-1782960300,Up,1782961112,0.94,43.0,0.96,0.97,1782961111863000.0,0.137,MAKER_at_bid,-2.0
495,eth-updown-15m-1782960300,Up,1782961112,0.11,21.0,0.13,0.14,1782961111823000.0,0.177,MAKER_at_bid,-2.0
496,btc-updown-15m-1782960300,Up,1782961103,0.93,28.0,0.92,0.93,1782961102993000.0,0.007,TAKER_at_ask,1.0
497,btc-updown-15m-1782960300,Up,1782961100,0.92,11.57,0.92,0.93,1782961099112000.0,0.888,MAKER_at_bid,0.0
498,eth-updown-15m-1782960300,Down,1782961096,0.89,32.0,0.9,0.91,1782961094317000.0,1.683,MAKER_at_bid,-1.0
501,eth-updown-15m-1782960300,Down,1782961079,0.81,10.0,0.86,0.87,1782961077205000.0,1.795,MAKER_at_bid,-5.0
502,eth-updown-15m-1782960300,Down,1782961063,0.66,10.02,0.71,0.73,1782961062251000.0,0.749,MAKER_at_bid,-5.0
503,eth-updown-15m-1782960300,Up,1782961058,0.3550684607,10.138887,0.34,0.38,1782961056433000.0,1.567,INSIDE_spread,2.0
504,eth-updown-15m-1782960300,Up,1782961049,0.16,5.0,0.2,0.21,1782961048422000.0,0.578,MAKER_at_bid,-4.0
505,eth-updown-15m-1782960300,Up,1782961046,0.12,28.0,0.12,0.14,1782961044294000.0,1.706,MAKER_at_bid,0.0
506,btc-updown-15m-1782960300,Down,1782961042,0.14,22.0,0.17,0.18,1782961041913000.0,0.087,MAKER_at_bid,-3.0
508,btc-updown-15m-1782960300,Down,1782961012,0.21,10.0,0.2,0.22,1782961009891000.0,2.109,INSIDE_spread,1.0
509,btc-updown-15m-1782960300,Up,1782961003,0.74,18.0,0.77,0.78,1782961000759000.0,2.241,MAKER_at_bid,-3.0
511,btc-updown-15m-1782960300,Down,1782960983,0.34,21.0,0.3,0.32,1782960982864000.0,0.136,TAKER_at_ask,4.0
512,btc-updown-15m-1782960300,Down,1782960982,0.22,49.0,0.32,0.33,1782960981952000.0,0.048,MAKER_at_bid,-10.0
515,btc-updown-15m-1782960300,Down,1782960944,0.58,5.26,0.5,0.51,1782960943996000.0,0.004,TAKER_at_ask,8.0
516,btc-updown-15m-1782960300,Down,1782960941,0.52,26.65,0.57,0.58,1782960940834000.0,0.166,MAKER_at_bid,-5.0
517,btc-updown-15m-1782960300,Down,1782960940,0.52,16.0,0.5,0.51,1782960939825000.0,0.175,TAKER_at_ask,2.0
518,btc-updown-15m-1782960300,Up,1782960919,0.5,29.0,0.5,0.51,1782960918281000.0,0.719,MAKER_at_bid,0.0
519,btc-updown-15m-1782960300,Up,1782960919,0.49,15.0,0.5,0.51,1782960918281000.0,0.719,MAKER_at_bid,-1.0
520,eth-updown-15m-1782960300,Up,1782960919,0.2,41.0,0.25,0.26,1782960916365000.0,2.635,MAKER_at_bid,-5.0
521,btc-updown-15m-1782960300,Up,1782960916,0.43,30.0,0.48,0.49,1782960915912000.0,0.088,MAKER_at_bid,-5.0
522,btc-updown-15m-1782960300,Up,1782960913,0.39,19.48,0.4,0.41,1782960911497000.0,1.503,MAKER_at_bid,-1.0
523,btc-updown-15m-1782960300,Up,1782960896,0.37,19.0,0.4,0.41,1782960895694000.0,0.306,MAKER_at_bid,-3.0
524,btc-updown-15m-1782960300,Up,1782960883,0.3905325444,138.58,0.39,0.4,1782960882116000.0,0.884,INSIDE_spread,0.0
525,btc-updown-15m-1782960300,Up,1782960863,0.31,50.0,0.3,0.31,1782960860779000.0,2.221,TAKER_at_ask,1.0
526,btc-updown-15m-1782960300,Up,1782960860,0.31,19.0,0.3,0.31,1782960858280000.0,1.72,TAKER_at_ask,1.0
527,btc-updown-15m-1782960300,Up,1782960859,0.3,9.0,0.3,0.31,1782960858280000.0,0.72,MAKER_at_bid,0.0
528,btc-updown-15m-1782960300,Down,1782960830,0.75,17.03,0.76,0.78,1782960829397000.0,0.603,MAKER_at_bid,-1.0
529,btc-updown-15m-1782960300,Down,1782960824,0.74,22.0,0.73,0.74,1782960821752000.0,2.248,TAKER_at_ask,1.0
530,btc-updown-15m-1782960300,Down,1782960823,0.73,10.0,0.73,0.74,1782960821752000.0,1.248,MAKER_at_bid,0.0
531,sol-updown-5m-1782960600,Down,1782960802,0.7373782021,21.359457,0.76,0.77,1782960800784000.0,1.216,MAKER_at_bid,-2.0
532,eth-updown-15m-1782960300,Up,1782960791,0.23,6.4,0.2,0.21,1782960790403000.0,0.597,TAKER_at_ask,3.0
533,btc-updown-15m-1782960300,Up,1782960787,0.32,80.0,0.31,0.32,1782960785376000.0,1.624,TAKER_at_ask,1.0
534,btc-updown-5m-1782960600,Up,1782960779,0.5,156.0,0.48,0.49,1782960778983000.0,0.017,TAKER_at_ask,2.0
535,btc-updown-5m-1782960600,Up,1782960773,0.5,33.0,0.47,0.48,1782960772905000.0,0.095,TAKER_at_ask,3.0
536,btc-updown-15m-1782960300,Up,1782960773,0.33,12.62,0.33,0.34,1782960771759000.0,1.241,MAKER_at_bid,0.0
537,eth-updown-15m-1782960300,Up,1782960773,0.24,8.0,0.22,0.25,1782960772795000.0,0.205,INSIDE_spread,2.0
538,eth-updown-5m-1782960600,Up,1782960761,0.42,16.0,0.41,0.47,1782960759277000.0,1.723,INSIDE_spread,1.0
539,eth-updown-15m-1782960300,Down,1782960755,0.75,5.0,0.76,0.77,1782960753422000.0,1.578,MAKER_at_bid,-1.0
540,eth-updown-15m-1782960300,Down,1782960739,0.68,1.99,0.71,0.72,1782960737303000.0,1.697,MAKER_at_bid,-3.0
541,btc-updown-15m-1782960300,Down,1782960739,0.66,26.0,0.69,0.7,1782960738396000.0,0.604,MAKER_at_bid,-3.0
543,eth-updown-5m-1782960600,Up,1782960727,0.63,21.0,0.63,0.64,1782960725324000.0,1.676,MAKER_at_bid,0.0
544,sol-updown-5m-1782960600,Up,1782960722,0.52,18.0,0.53,0.54,1782960720963000.0,1.037,MAKER_at_bid,-1.0
545,btc-updown-5m-1782960600,Down,1782960722,0.4269064623,32.32558,0.46,0.47,1782960721953000.0,0.047,MAKER_at_bid,-3.0
546,eth-updown-5m-1782960600,Down,1782960719,0.4,15.0,0.42,0.43,1782960718962000.0,0.038,MAKER_at_bid,-2.0
547,sol-updown-5m-1782960600,Up,1782960712,0.5224177131,13.188678,0.52,0.54,1782960710753000.0,1.247,INSIDE_spread,0.0
548,btc-updown-5m-1782960600,Up,1782960712,0.41,35.0,0.45,0.46,1782960710834000.0,1.166,MAKER_at_bid,-4.0
549,btc-updown-5m-1782960600,Down,1782960710,0.57,24.0,0.54,0.55,1782960709549000.0,0.451,TAKER_at_ask,3.0
550,btc-updown-15m-1782960300,Down,1782960710,0.67,20.0,0.66,0.67,1782960708182000.0,1.818,TAKER_at_ask,1.0
551,btc-updown-15m-1782960300,Down,1782960710,0.67,21.0,0.66,0.67,1782960708182000.0,1.818,TAKER_at_ask,1.0
552,eth-updown-5m-1782960600,Down,1782960707,0.44,5.0,0.46,0.47,1782960705472000.0,1.528,MAKER_at_bid,-2.0
553,btc-updown-5m-1782960600,Down,1782960707,0.57,112.0,0.53,0.54,1782960706993000.0,0.007,TAKER_at_ask,4.0
554,sol-updown-5m-1782960600,Up,1782960707,0.521682243,12.84,0.5,0.54,1782960704799000.0,2.201,INSIDE_spread,2.0
555,btc-updown-15m-1782960300,Down,1782960706,0.6699999962,62.925372,0.66,0.67,1782960704530000.0,1.47,TAKER_at_ask,1.0
556,sol-updown-5m-1782960600,Up,1782960706,0.495,10.0,0.5,0.54,1782960704799000.0,1.201,MAKER_at_bid,-1.0
557,btc-updown-5m-1782960600,Down,1782960704,0.52,10.0,0.56,0.57,1782960703875000.0,0.125,MAKER_at_bid,-4.0
558,btc-updown-5m-1782960600,Down,1782960701,0.52,24.0,0.51,0.52,1782960700895000.0,0.105,TAKER_at_ask,1.0
559,eth-updown-5m-1782960600,Down,1782960701,0.3902216253,59.56,0.44,0.45,1782960700347000.0,0.653,MAKER_at_bid,-5.0
560,sol-updown-5m-1782960600,Up,1782960701,0.5948006221,29.2535,0.57,0.59,1782960700469000.0,0.531,TAKER_at_ask,2.0
561,btc-updown-5m-1782960600,Down,1782960701,0.51,91.34,0.51,0.52,1782960700895000.0,0.105,MAKER_at_bid,0.0
562,btc-updown-5m-1782960600,Up,1782960673,0.3,17.0,0.21,0.22,1782960672700000.0,0.3,TAKER_at_ask,9.0
563,eth-updown-5m-1782960600,Up,1782960673,0.220653789,26.92,0.2,0.21,1782960671717000.0,1.283,TAKER_at_ask,2.0
564,eth-updown-5m-1782960600,Up,1782960665,0.43,14.23,0.31,0.32,1782960664204000.0,0.796,TAKER_at_ask,12.0
