fid,slug,outcome,ts,price,size
223,btc-updown-15m-1783961100,Down,1783961437,0.6,25.89
224,btc-updown-15m-1783961100,Up,1783961405,0.54,30.0
225,btc-updown-5m-1783961100,Up,1783961384,0.92,50.0
226,btc-updown-15m-1783961100,Up,1783961351,0.54,30.0
227,btc-updown-5m-1783961100,Down,1783961338,0.4,50.0
228,btc-updown-5m-1783961100,Down,1783961329,0.53,10.54
229,btc-updown-5m-1783961100,Down,1783961326,0.56,45.0
230,btc-updown-5m-1783961100,Down,1783961324,0.6899999948,40.579709
231,btc-updown-5m-1783961100,Down,1783961324,0.7,50.0
232,btc-updown-5m-1783961100,Up,1783961320,0.4599999944,28.804346
233,btc-updown-5m-1783961100,Down,1783961314,0.42,50.0
234,btc-updown-5m-1783961100,Up,1783961309,0.7447086488,51.026664
235,btc-updown-5m-1783961100,Down,1783961282,0.15,50.0
236,btc-updown-15m-1783961100,Up,1783961281,0.64,3.25
237,btc-updown-5m-1783961100,Up,1783961251,0.74,50.0
238,btc-updown-5m-1783961100,Up,1783961243,0.58,19.0
239,btc-updown-15m-1783961100,Up,1783961182,0.63,4.0
240,btc-updown-5m-1783961100,Up,1783961170,0.58,35.27
241,btc-updown-15m-1783961100,Down,1783961161,0.38,27.46
242,btc-updown-15m-1783960200,Up,1783961086,0.91,30.0
243,btc-updown-15m-1783960200,Down,1783961084,0.07,30.0
244,btc-updown-15m-1783960200,Down,1783961084,0.07,30.0
245,btc-updown-15m-1783960200,Up,1783961077,0.84,30.0
246,btc-updown-15m-1783960200,Up,1783961075,0.83,3.79
247,btc-updown-15m-1783960200,Down,1783961075,0.18,30.0
248,btc-updown-15m-1783960200,Up,1783961074,0.83,30.0
249,btc-updown-15m-1783960200,Down,1783961057,0.07,30.0
250,btc-updown-15m-1783960200,Down,1783961057,0.07,30.0
251,btc-updown-15m-1783960200,Up,1783961042,0.87,30.0
252,btc-updown-15m-1783960200,Up,1783961038,0.87,30.0
253,btc-updown-15m-1783960200,Up,1783961038,0.87,30.0
254,btc-updown-15m-1783960200,Up,1783961030,0.82,30.0
255,btc-updown-15m-1783960200,Up,1783961030,0.82,30.0
256,btc-updown-15m-1783960200,Up,1783961024,0.89,30.0
257,btc-updown-15m-1783960200,Up,1783961006,0.83,12.0
258,btc-updown-15m-1783960200,Down,1783961003,0.17,12.23
259,btc-updown-15m-1783960200,Down,1783961003,0.17,25.0
260,btc-updown-15m-1783960200,Up,1783961002,0.82,0.12
261,btc-updown-5m-1783960800,Up,1783960955,0.85,50.0
262,btc-updown-5m-1783960800,Up,1783960955,0.84,0.53
263,btc-updown-15m-1783960200,Up,1783960954,0.47,11.1
264,btc-updown-15m-1783960200,Down,1783960948,0.54,30.0
265,btc-updown-15m-1783960200,Up,1783960927,0.58,30.0
266,btc-updown-15m-1783960200,Up,1783960901,0.49,12.0
267,btc-updown-15m-1783960200,Up,1783960900,0.48,30.0
268,btc-updown-15m-1783960200,Down,1783960894,0.51,30.0
269,btc-updown-5m-1783960800,Up,1783960889,0.77,50.0
270,btc-updown-15m-1783960200,Up,1783960873,0.26,13.0
271,btc-updown-15m-1783960200,Down,1783960870,0.74,30.0
272,btc-updown-15m-1783960200,Up,1783960867,0.26,10.0
273,btc-updown-15m-1783960200,Up,1783960867,0.26,30.0
274,btc-updown-15m-1783960200,Up,1783960820,0.37,30.0
275,btc-updown-5m-1783960500,Up,1783960780,0.2,50.0
276,btc-updown-5m-1783960500,Up,1783960774,0.16,45.0
277,btc-updown-5m-1783960500,Up,1783960774,0.16,50.0
278,btc-updown-15m-1783960200,Down,1783960759,0.88,30.0
279,btc-updown-15m-1783960200,Down,1783960756,0.88,30.0
280,btc-updown-5m-1783960500,Down,1783960753,0.86,50.0
281,btc-updown-5m-1783960500,Down,1783960753,0.8299999983,51.807223
282,btc-updown-15m-1783960200,Down,1783960634,0.89,9.75
283,btc-updown-5m-1783960500,Down,1783960631,0.76,50.0
284,btc-updown-15m-1783960200,Up,1783960517,0.24,10.0
285,btc-updown-5m-1783960200,Up,1783960448,0.06,45.05
286,btc-updown-5m-1783960200,Up,1783960448,0.06,50.0
287,btc-updown-15m-1783960200,Down,1783960444,0.59,12.0
288,btc-updown-15m-1783960200,Up,1783960222,0.43,17.0
289,btc-updown-5m-1783959900,Down,1783960163,0.05,50.0
290,btc-updown-5m-1783959900,Down,1783960163,0.05,50.0
291,btc-updown-5m-1783959900,Up,1783960126,0.75,50.0
292,btc-updown-5m-1783959900,Up,1783960084,0.72,50.0
293,btc-updown-5m-1783959900,Up,1783960082,0.72,50.0
294,btc-updown-15m-1783959300,Down,1783959710,0.97,30.0
295,btc-updown-15m-1783959300,Up,1783959500,0.15,30.0
296,btc-updown-5m-1783959300,Up,1783959436,0.05,50.0
297,btc-updown-5m-1783959300,Up,1783959434,0.05,50.0
298,btc-updown-5m-1783959300,Down,1783959376,0.8,50.0
299,btc-updown-15m-1783959300,Down,1783959376,0.65,30.0
300,btc-updown-5m-1783959000,Down,1783959256,0.88,8.83
301,btc-updown-15m-1783958400,Down,1783959196,0.94,12.0
302,btc-updown-5m-1783959000,Up,1783959167,0.55,50.0
303,btc-updown-15m-1783958400,Up,1783959167,0.1,8.0
304,btc-updown-15m-1783958400,Down,1783959164,0.9,30.0
305,btc-updown-15m-1783958400,Down,1783959161,0.9,30.0
306,btc-updown-15m-1783958400,Down,1783959158,0.88,8.58
307,btc-updown-15m-1783958400,Down,1783959158,0.88,30.0
308,btc-updown-15m-1783958400,Down,1783959157,0.8899999974,30.337072
309,btc-updown-15m-1783958400,Down,1783959157,0.89,30.0
310,btc-updown-15m-1783958400,Down,1783959157,0.88,30.0
311,btc-updown-5m-1783959000,Up,1783959155,0.32,50.0
312,btc-updown-15m-1783958400,Down,1783959143,0.89,7.0
313,btc-updown-15m-1783958400,Down,1783959128,0.89,30.0
314,btc-updown-15m-1783958400,Up,1783959122,0.11,30.0
315,btc-updown-15m-1783958400,Up,1783959122,0.11,30.0
316,btc-updown-15m-1783958400,Up,1783959121,0.11,30.0
317,btc-updown-15m-1783958400,Down,1783959103,0.75,30.0
318,btc-updown-5m-1783959000,Up,1783959092,0.67,35.0
319,btc-updown-15m-1783958400,Up,1783959073,0.18,30.0
320,btc-updown-15m-1783958400,Up,1783959073,0.18,30.0
321,btc-updown-15m-1783958400,Up,1783959041,0.24,30.0
322,btc-updown-15m-1783958400,Up,1783959020,0.19,6.88
323,btc-updown-15m-1783958400,Up,1783958998,0.17,18.0
324,btc-updown-15m-1783958400,Up,1783958996,0.17,30.0
325,btc-updown-15m-1783958400,Down,1783958978,0.78,30.0
326,btc-updown-5m-1783958700,Up,1783958972,0.03,50.0
327,btc-updown-5m-1783958700,Down,1783958965,0.9,51.11111
328,btc-updown-5m-1783958700,Down,1783958965,0.9,51.11111
329,btc-updown-15m-1783958400,Up,1783958947,0.19,30.0
330,btc-updown-5m-1783958700,Down,1783958929,0.91,35.0
331,btc-updown-5m-1783958700,Down,1783958911,0.9,40.8
332,btc-updown-15m-1783958400,Down,1783958900,0.74,30.0
333,btc-updown-15m-1783958400,Down,1783958900,0.74,30.0
334,btc-updown-15m-1783958400,Down,1783958891,0.76,30.0
335,btc-updown-15m-1783958400,Down,1783958891,0.76,30.0
336,btc-updown-5m-1783958700,Down,1783958885,0.88,50.0
337,btc-updown-15m-1783958400,Up,1783958800,0.24,30.0
338,btc-updown-15m-1783958400,Down,1783958753,0.6,30.0
339,btc-updown-15m-1783958400,Down,1783958738,0.57,20.0
340,btc-updown-15m-1783958400,Up,1783958723,0.55,11.0
341,btc-updown-15m-1783958400,Down,1783958690,0.5,10.2
342,btc-updown-15m-1783958400,Up,1783958687,0.49,30.0
343,btc-updown-5m-1783958400,Up,1783958674,0.5599999952,41.42857
344,btc-updown-5m-1783958400,Up,1783958674,0.5689210058,50.973683
345,btc-updown-5m-1783958400,Up,1783958668,0.74,10.0
346,btc-updown-5m-1783958400,Down,1783958666,0.5,50.0
347,btc-updown-5m-1783958400,Down,1783958665,0.49,29.51
348,btc-updown-5m-1783958400,Down,1783958614,0.72,50.0
349,btc-updown-5m-1783958400,Down,1783958614,0.72,50.0
350,btc-updown-5m-1783958100,Down,1783958386,0.45,45.0
351,btc-updown-5m-1783958100,Down,1783958386,0.45,50.0
352,btc-updown-5m-1783958100,Up,1783958377,0.78,50.0
353,btc-updown-5m-1783958100,Up,1783958377,0.78,35.0
354,btc-updown-5m-1783958100,Up,1783958375,0.77,13.53
355,btc-updown-15m-1783957500,Down,1783958333,0.94,5.0
356,btc-updown-15m-1783957500,Down,1783958330,0.93,15.0
357,btc-updown-5m-1783958100,Up,1783958327,0.71,50.0
358,btc-updown-5m-1783958100,Up,1783958327,0.71,50.0
359,btc-updown-15m-1783957500,Down,1783958327,0.93,30.0
360,btc-updown-15m-1783957500,Up,1783958323,0.06,30.0
361,btc-updown-15m-1783957500,Up,1783958323,0.06,30.0
362,btc-updown-15m-1783957500,Up,1783958311,0.04,18.0
363,btc-updown-15m-1783957500,Down,1783958300,0.93,30.0
364,btc-updown-15m-1783957500,Down,1783958300,0.93,30.0
365,btc-updown-15m-1783957500,Down,1783958294,0.96,30.0
366,btc-updown-15m-1783957500,Down,1783958245,0.92,30.0
367,btc-updown-15m-1783957500,Down,1783958228,0.83,30.0
368,btc-updown-15m-1783957500,Up,1783958216,0.14,30.0
369,btc-updown-15m-1783957500,Down,1783958215,0.85,10.37
370,btc-updown-15m-1783957500,Up,1783958189,0.14,7.76
371,btc-updown-15m-1783957500,Up,1783958180,0.12,30.0
372,btc-updown-15m-1783957500,Down,1783958152,0.83,30.0
373,btc-updown-15m-1783957500,Up,1783958125,0.17,30.0
374,btc-updown-15m-1783957500,Up,1783958125,0.16,11.68
375,btc-updown-15m-1783957500,Down,1783958108,0.81,20.0
376,btc-updown-15m-1783957500,Down,1783958108,0.81,20.0
