sleeve_idx,asset_pool,offset_bin,r4_gate_stack,r5_combo,train_n,train_WR,train_dpt,train_sum,val_n,val_WR,val_dpt,val_sum,lockbox_n,lockbox_WR,lockbox_dpt,lockbox_sum,lockbox_p,dpt_lift_vs_base,wr_lift_vs_base,sum_lift_vs_base,n_kept_pct,val_pass,lockbox_pass,deployable
17,POOL,480-600,g_trend_slope_with,g_mp_no_extreme&g_mp_with&g_hawkes_imbalance_strong_with,161,0.9316770186335404,5.22410686082875,841.0812045934288,86,0.9418604651162791,3.8458222381805727,330.74071248352925,20,0.95,10.334542481473969,206.69084962947937,0.012,5.8897945938955925,0.19353448275862062,-1855.6721702068874,0.04310344827586207,True,True,True
24,SOL,120-240,g_trend_slope_with&g_vwap_ge_30,g_mp_no_extreme&g_lm_low_stat,81,0.8518518518518519,5.071967994277568,410.829407536483,39,0.8717948717948718,5.872280679056415,229.01894648320018,24,0.9166666666666666,8.55598618869895,205.3436685287748,0.004,-1.4972792027531323,0.12612612612612606,-1282.5396094061334,0.16216216216216217,True,True,True
24,SOL,120-240,g_trend_slope_with&g_vwap_ge_30,g_mp_no_extreme&g_lm_low_stat&g_lm_extreme_against,81,0.8518518518518519,5.071967994277568,410.829407536483,39,0.8717948717948718,5.872280679056415,229.01894648320018,24,0.9166666666666666,8.55598618869895,205.3436685287748,0.004,-1.4972792027531323,0.12612612612612606,-1282.5396094061334,0.16216216216216217,True,True,True
20,SOL,120-240,g_trend_slope_with,g_mp_no_extreme&g_lm_low_stat,81,0.8518518518518519,5.071967994277568,410.829407536483,39,0.8717948717948718,5.872280679056415,229.01894648320018,24,0.9166666666666666,8.55598618869895,205.3436685287748,0.004,-2.7651022107019614,0.13095238095238093,-1538.1039449789657,0.15584415584415584,True,True,True
20,SOL,120-240,g_trend_slope_with,g_mp_no_extreme&g_lm_low_stat&g_lm_extreme_against,81,0.8518518518518519,5.071967994277568,410.829407536483,39,0.8717948717948718,5.872280679056415,229.01894648320018,24,0.9166666666666666,8.55598618869895,205.3436685287748,0.004,-2.7651022107019614,0.13095238095238093,-1538.1039449789657,0.15584415584415584,True,True,True
2,POOL,120-240,g_di_with&g_trend_slope_with,g_mp_strong_with&g_lm_extreme_against,41,0.9512195121951219,6.462444132719714,264.96020944150825,37,0.8918918918918919,2.7453370856909807,101.57747217056628,32,0.84375,6.365677224755235,203.7016711921675,0.028,-4.079444068132119,0.07623407643312097,-3076.0664147744615,0.10191082802547771,True,True,True
2,POOL,120-240,g_di_with&g_trend_slope_with,g_mp_strong_with,41,0.9512195121951219,6.462444132719714,264.96020944150825,37,0.8918918918918919,2.7453370856909807,101.57747217056628,32,0.84375,6.365677224755235,203.7016711921675,0.028,-4.079444068132119,0.07623407643312097,-3076.0664147744615,0.10191082802547771,True,True,True
2,POOL,120-240,g_di_with&g_trend_slope_with,g_mp_with&g_mp_strong_with,41,0.9512195121951219,6.462444132719714,264.96020944150825,37,0.8918918918918919,2.7453370856909807,101.57747217056628,32,0.84375,6.365677224755235,203.7016711921675,0.028,-4.079444068132119,0.07623407643312097,-3076.0664147744615,0.10191082802547771,True,True,True
2,POOL,120-240,g_di_with&g_trend_slope_with,g_mp_with&g_mp_strong_with&g_lm_extreme_against,41,0.9512195121951219,6.462444132719714,264.96020944150825,37,0.8918918918918919,2.7453370856909807,101.57747217056628,32,0.84375,6.365677224755235,203.7016711921675,0.028,-4.079444068132119,0.07623407643312097,-3076.0664147744615,0.10191082802547771,True,True,True
2,POOL,120-240,g_di_with&g_trend_slope_with,g_mp_no_extreme&g_mp_strong_with,41,0.9512195121951219,6.462444132719714,264.96020944150825,37,0.8918918918918919,2.7453370856909807,101.57747217056628,31,0.8387096774193549,6.547879738470477,202.9842718925848,0.024,-3.897241554416877,0.07119375385247584,-3076.783814074044,0.09872611464968153,True,True,True
2,POOL,120-240,g_di_with&g_trend_slope_with,g_mp_no_extreme&g_mp_with&g_mp_strong_with,41,0.9512195121951219,6.462444132719714,264.96020944150825,37,0.8918918918918919,2.7453370856909807,101.57747217056628,31,0.8387096774193549,6.547879738470477,202.9842718925848,0.024,-3.897241554416877,0.07119375385247584,-3076.783814074044,0.09872611464968153,True,True,True
2,POOL,120-240,g_di_with&g_trend_slope_with,g_mp_no_extreme&g_mp_strong_with&g_lm_extreme_against,41,0.9512195121951219,6.462444132719714,264.96020944150825,37,0.8918918918918919,2.7453370856909807,101.57747217056628,31,0.8387096774193549,6.547879738470477,202.9842718925848,0.024,-3.897241554416877,0.07119375385247584,-3076.783814074044,0.09872611464968153,True,True,True
8,POOL,120-240,g_trend_slope_strong_with,g_mp_no_extreme&g_lm_extreme_against&g_hawkes_imbalance_strong_with,60,0.9833333333333333,7.05938996317967,423.5633977907802,38,0.9473684210526315,6.569356857959552,249.635560602463,18,1.0,11.273241717075045,202.9183509073508,,-2.909907868834763,0.11392405063291144,-2038.019283666399,0.11392405063291139,True,True,True
8,POOL,120-240,g_trend_slope_strong_with,g_mp_no_extreme&g_hawkes_imbalance_with&g_hawkes_imbalance_strong_with,60,0.9833333333333333,7.05938996317967,423.5633977907802,38,0.9473684210526315,6.569356857959552,249.635560602463,18,1.0,11.273241717075045,202.9183509073508,,-2.909907868834763,0.11392405063291144,-2038.019283666399,0.11392405063291139,True,True,True
8,POOL,120-240,g_trend_slope_strong_with,g_mp_no_extreme&g_hawkes_imbalance_strong_with,60,0.9833333333333333,7.05938996317967,423.5633977907802,38,0.9473684210526315,6.569356857959552,249.635560602463,18,1.0,11.273241717075045,202.9183509073508,,-2.909907868834763,0.11392405063291144,-2038.019283666399,0.11392405063291139,True,True,True
8,POOL,120-240,g_trend_slope_strong_with,g_hawkes_imbalance_strong_with,61,0.9836065573770492,6.956084082042037,424.3211290045642,40,0.95,6.291930710249997,251.67722840999988,18,1.0,11.273241717075045,202.9183509073508,,-2.909907868834763,0.11392405063291144,-2038.019283666399,0.11392405063291139,True,True,True
8,POOL,120-240,g_trend_slope_strong_with,g_lm_extreme_against&g_hawkes_imbalance_with&g_hawkes_imbalance_strong_with,61,0.9836065573770492,6.956084082042037,424.3211290045642,40,0.95,6.291930710249997,251.67722840999988,18,1.0,11.273241717075045,202.9183509073508,,-2.909907868834763,0.11392405063291144,-2038.019283666399,0.11392405063291139,True,True,True
8,POOL,120-240,g_trend_slope_strong_with,g_hawkes_imbalance_with&g_hawkes_imbalance_strong_with,61,0.9836065573770492,6.956084082042037,424.3211290045642,40,0.95,6.291930710249997,251.67722840999988,18,1.0,11.273241717075045,202.9183509073508,,-2.909907868834763,0.11392405063291144,-2038.019283666399,0.11392405063291139,True,True,True
8,POOL,120-240,g_trend_slope_strong_with,g_lm_extreme_against&g_hawkes_imbalance_strong_with,61,0.9836065573770492,6.956084082042037,424.3211290045642,40,0.95,6.291930710249997,251.67722840999988,18,1.0,11.273241717075045,202.9183509073508,,-2.909907868834763,0.11392405063291144,-2038.019283666399,0.11392405063291139,True,True,True
7,POOL,240-360,g_trend_slope_with&g_vwap_ge_30,g_mp_with&g_lm_low_stat&g_hawkes_imbalance_with,154,0.9155844155844156,4.693580910562555,722.8114602266335,86,0.9069767441860465,5.27869018322203,453.96735575709454,39,0.8461538461538461,5.15358384976223,200.98977014072696,0.028,-0.7385104869326389,0.082995951417004,-2485.805247392133,0.08552631578947369,True,True,True
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_with&g_lm_extreme_against&g_hawkes_imbalance_with,29,0.9310344827586207,8.1758721462448,237.10029224109917,29,0.896551724137931,8.110852402178821,235.2147196631858,36,0.8333333333333334,5.582201825042835,200.95926570154208,0.016,-3.436431016453014,0.09393939393939399,-2775.1895719920885,0.10909090909090909,True,True,True
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_with&g_hawkes_imbalance_with,29,0.9310344827586207,8.1758721462448,237.10029224109917,29,0.896551724137931,8.110852402178821,235.2147196631858,36,0.8333333333333334,5.582201825042835,200.95926570154208,0.016,-3.436431016453014,0.09393939393939399,-2775.1895719920885,0.10909090909090909,True,True,True
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_no_extreme&g_mp_with&g_hawkes_imbalance_with,29,0.9310344827586207,8.1758721462448,237.10029224109917,29,0.896551724137931,8.110852402178821,235.2147196631858,35,0.8285714285714286,5.695523092520192,199.34330823820673,0.024,-3.323109748975657,0.08917748917748924,-2776.8055294554238,0.10606060606060606,True,True,True
