sleeve,at,symbol,tf,signal,outcome,won,pnl_usd,entry_qty,entry_price,cid
shadow_poly_updown_eth_15m_fade_sniper,2026-05-26 21:15:39.351212+02:00,ETH,15m,UP,Down,False,-25.880388,49.0196,0.5279599996736,0xe2e3afe83ce0190e5978b66b97619366de44571e7d000686c781422e422462bf
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 21:15:40.142840+02:00,SOL,5m,UP,Down,False,-24.999994,47.1698,0.53,0xd0000a4d3e853719861851b7c5061cd5da880db5508120bfdcbb23ee4b6cd394
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 21:25:49.073957+02:00,SOL,5m,UP,Down,False,-25.120192,47.1698,0.5325481982115676,0xed26510a79b21d87a903497883561f477273c68e955fb05ad14c7630a247a299
shadow_poly_updown_eth_15m_fade_sniper,2026-05-26 22:00:44.510324+02:00,ETH,15m,DOWN,Down,True,23.54307487,50.0,0.511648,0xff045f1b3098a1e1682a78ad03b27a6a20d0a63db6e2b94a0d724f51a9226ffa
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 22:40:26.917100+02:00,BTC,5m,DOWN,Up,False,-25.0,50.0,0.5,0x074abd20c571d87c2105da519c3ca381507344d45cfa014c052b0f383415c86c
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 22:45:44.388654+02:00,BTC,5m,UP,Up,True,23.16210414,49.0196,0.51,0xafcfae937b65a33ec86b3840752b3323c738fc4a72154ffecb31974c089dc473
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 23:25:46.093217+02:00,BTC,5m,UP,Up,True,23.16210414,49.0196,0.51,0xd201889410a20e422567e6ff9c352a68356defacf178b2aa4102fde86003402a
shadow_poly_updown_eth_15m_fade_sniper,2026-05-26 23:45:23.476491+02:00,ETH,15m,UP,Up,True,22.28405151,49.0196,0.5279599996736,0x3e575b0b14b03f75af95dd123946c87ec734fe0c27aa85abe0be6c5f179248d5
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 00:15:46.502936+02:00,BTC,5m,UP,Down,False,-24.999996,49.0196,0.51,0x8a3508834b2e30b391f0394dc1b72100f7b8742090c0d8de4f7648e6d7cdccf4
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-27 00:15:52.594199+02:00,SOL,5m,UP,Down,False,-25.220192,47.1698,0.5346681987203676,0x05389f22f1bd5487c291b35e331a32875a14089a7f585e76b46fa937861d172c
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 00:25:16.474552+02:00,BTC,5m,UP,Up,True,23.16210414,49.0196,0.51,0xcb12ecddcc27c0bcdbc55ec06f5eab75b0965fef4d62febdc23f4c08a3397a77
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 00:55:18.752422+02:00,BTC,5m,UP,Up,True,23.16210414,49.0196,0.51,0xe0ba8fae85d308c0f29345b44b02ee67e4c0febca7b1dda7c1c9f0e132c642ef
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 01:10:49.135399+02:00,BTC,5m,DOWN,Up,False,-25.0,50.0,0.5,0x0a5059d09678839cfb1fa97d4d8058c659487596827525726eb1a5b538c493b0
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-27 01:10:50.657553+02:00,SOL,5m,DOWN,Down,True,23.18075156,50.0,0.51891,0xb8c12e90c0f9289d757dcf969952c55582bb0d9d806904546ca50b771feb923c
shadow_poly_updown_btc_5m_fade_sniper,2026-05-27 01:15:36.211773+02:00,BTC,5m,DOWN,Up,False,-25.0,50.0,0.5,0xf1b862c8cbc1a1e7b86036eace616c0bfa9cf142d9d5218c78b5c6f502c6ac7c
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 01:20:52.683376+02:00,BTC,5m,DOWN,Up,False,-25.0,50.0,0.5,0xc95ac53f67dbdc48224cdd7d0d0a25bcb41f37c81c81a35ad132ccd6ce4a701e
shadow_poly_updown_sol_15m_fade_momo_v2,2026-05-27 01:31:04.434767+02:00,SOL,15m,DOWN,Down,True,20.27955284,46.2962,0.5445999887679767,0x2166abd910ccd965ab4bcbcf398901615a73e5c7109a7ef502d1a650975e70b4
