sleeve_id,anchor,gate_stack,depth,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_full,n_days_lock,bootstrap_p_lockbox,bootstrap_p_full
TS_STRONG_VOL_HIGH,offset_60s+,g_trend_slope_strong_with&g_vol_high,2,219,117,97,433,47.48858447488584,46.15384615384615,45.36082474226804,46.65127020785219,-1.1614448108613495,0.4368145276963067,-5.143267800125744,-1.4290071540479716,-618.7600977027718,-112.6601466535509,749.4041351027016,2280.954017885008,21,44,-1.3386427773941283,-1.3030754951721604,22,4,0.6420418063618967,0.7875118026042136
TS_ALONE,offset_60s+,g_trend_slope_with,1,8484,2986,2263,13743,48.939179632248944,47.78968519758875,45.42642509942554,48.148148148148145,-3.736823135434512,-3.9177984764181932,-4.201666559938172,-3.9406440610689972,-54156.27133127123,-8456.4307554883,9144.766800936657,54886.51850158282,65,65,-16.19939074060268,-19.258324076467968,29,4,0.9999999991682691,1.0
TS_STRONG_ALONE,offset_60s+,g_trend_slope_strong_with,1,2091,740,677,3508,47.72835963653754,41.351351351351354,45.05169867060561,45.86659064994299,-3.481925152262267,-3.5936212659488596,-6.754238550670113,-4.238786180922607,-14869.661922676503,-2357.263328081555,2956.9999596417874,15139.185237742842,37,48,-10.780703015984056,-10.963021373610315,28,4,0.9981327896663685,0.9999999999999984
MARK_HURST_MP,offset_60s+,g_markov_with&g_hurst_trending&g_mp_no_extreme,3,541,182,16,739,56.19223659889094,54.395604395604394,50.0,55.61569688768606,-7.295918247419769,-0.4995815042385791,-0.3269704797529371,-0.6042177443394078,-446.5169130668223,-116.7346919587163,200.0,743.1037757134045,8,17,0.0,-1.6731185051898934,21,1,0.938306454975125,0.7513444649042134
MARK_RIB_MP,offset_60s+,g_markov_with&g_ribbon_agrees&g_mp_no_extreme,3,336,113,10,459,63.69047619047619,60.17699115044248,70.0,62.96296296296296,-2.2217593666808817,0.6233024383577535,-0.6690955327835049,0.24314647149642737,111.60423041686016,-22.217593666808817,75.0,334.2199706769544,3,8,0.0,0.7002963003144812,21,1,0.6750896251927564,0.4036662988060842
MARK_RF_STOCH,offset_60s+,g_markov_with&g_rf_with&g_stoch_with,3,271,69,13,353,71.58671586715867,66.66666666666666,84.61538461538461,71.10481586402267,0.25591098410402596,-0.47485171612907695,-3.8016257281929424,-1.098215715362438,-387.67014752294057,3.3268427933523377,25.0,506.13000458983987,1,8,8.831026372989648,-2.709214068478208,21,2,0.4677151766999594,0.8510051790115527
RIB_MP_MFI,offset_60s+,g_ribbon_agrees&g_mp_no_extreme&g_mfi_with,3,3482,1363,243,6193,63.124641010913265,62.65590608950844,64.19753086419753,63.168093008235104,0.24071557251474177,-0.3636247396340606,-0.4327605391613185,-0.2098594211267023,-1299.6593950376673,58.493884121082246,241.20171631014017,2222.3534724244687,6,7,0.0,-4.621905250893328,29,1,0.4303198552299554,0.7938155155941021
STACK_MARK_MP,offset_60s+,g_tr_stack_with&g_markov_with&g_mp_no_extreme,3,105,39,4,148,70.47619047619048,48.717948717948715,75.0,64.86486486486487,-2.5023214362373065,1.701971641568714,-6.892409589772849,-0.6763934958201034,-100.10623738137531,-10.009285744949226,25.0,301.22799829441647,1,6,0.0,-1.07879159208891,20,1,,0.6648419654101212
STACK_HURST_MP,offset_60s+,g_tr_stack_with&g_hurst_trending&g_mp_no_extreme,3,343,146,22,511,66.47230320699708,58.21917808219178,72.72727272727273,64.38356164383562,1.5807907229536369,-0.604976213264556,-3.6178820885009477,-1.3717029944538184,-700.9402301659012,34.77739590498001,92.65502488274545,1184.1719418188754,3,7,0.0,-4.2883193719935235,22,1,0.32964249498645376,0.9561720366782491
STACK_RIB_MP,offset_60s+,g_tr_stack_with&g_ribbon_agrees&g_mp_no_extreme,3,1658,631,125,2965,68.57659831121833,68.30427892234549,68.0,68.7689713322091,-0.2350334174407584,-0.15692362852386804,0.26914323770295706,0.2443835699604389,724.5972849327013,-29.3791771800948,227.51707649406333,1189.0907353135276,6,7,0.0,2.037499953693164,29,1,0.5585695924941465,0.22854439176925467
STACK_RF_MARK,offset_60s+,g_tr_stack_with&g_rf_with&g_markov_with,3,171,52,12,235,80.7017543859649,63.46153846153846,83.33333333333334,77.02127659574468,-0.22776957599620898,1.7999889212158329,-5.174556268780503,0.15314018995475182,35.987944639366674,-2.733234911954508,25.0,320.7481696880997,1,6,-3.383090801651667,0.3753298110402241,21,2,0.527513619040164,0.4517147859876423
TRSTACK_TS,offset_60s+,g_tr_stack_with&g_trend_slope_with,2,1641,538,426,2609,75.86837294332724,74.53531598513011,69.95305164319248,74.66462246071292,0.4168762918970328,-0.09284703738663184,0.17642831161654113,0.05882853805973918,153.4836557978595,177.58930034813596,597.5637532140248,1190.2260582827478,10,10,2.0966287146867133,0.38992977013190006,29,4,0.32445438243343017,0.43197225634002306
TRSTACK_TS_RIB,offset_60s+,g_tr_stack_with&g_trend_slope_with&g_ribbon_agrees,3,1635,538,425,2602,75.84097859327217,74.53531598513011,69.88235294117648,74.63489623366641,0.4059774367717183,-0.08799758941485343,0.17642831161654113,0.06030772318827112,156.92069573588145,172.5404106279803,597.5637532140248,1204.6843806125748,10,10,2.0506293533072384,0.3986768576047063,29,4,0.33352504100140096,0.4307846427195747
TRSTACK_TS_MP,offset_60s+,g_tr_stack_with&g_trend_slope_with&g_mp_no_extreme,3,1026,384,70,1480,67.05653021442495,68.75,68.57142857142857,67.56756756756756,1.0994728099083424,-0.028178912864129862,0.9313840421212433,0.27412365153347595,405.7030042695444,76.96309669358396,184.7197018771624,1028.6562170967773,6,8,0.0,1.3594962982488346,25,1,0.3071871151572729,0.2890363131067291
