symbol,lev_1h,lev_4h_cap,risk_4h,buy_hold_x,leg_1h_eq_x,leg_1h_mdd,leg_4h_eq_x,leg_4h_mdd,leg_4h_blew_up,combined_eq_x,combined_mdd,combined_sharpe,combined_roi_pct,combined_blew_up,combined_outperform,final_dollar
ETHUSDT,2,1,0.05,1.202,1.24,-0.6619,1.518,-0.3938,False,1.379,-0.4186,0.49,37.88,False,1.147,13790.0
ETHUSDT,2,1,0.07,1.202,1.24,-0.6619,1.245,-0.4661,False,1.242,-0.4488,0.381,24.23,False,1.033,12420.0
ETHUSDT,2,2,0.02,1.202,1.24,-0.6619,1.338,-0.177,False,1.289,-0.4226,0.45,28.9,False,1.073,12890.0
ETHUSDT,2,2,0.03,1.202,1.24,-0.6619,1.508,-0.2556,False,1.374,-0.4147,0.514,37.42,False,1.143,13740.0
ETHUSDT,2,2,0.05,1.202,1.24,-0.6619,1.815,-0.3955,False,1.527,-0.4096,0.577,52.72,False,1.271,15270.0
ETHUSDT,2,2,0.07,1.202,1.24,-0.6619,1.958,-0.5154,False,1.599,-0.4595,0.576,59.91,False,1.331,15990.0
ETHUSDT,2,3,0.02,1.202,1.24,-0.6619,1.338,-0.177,False,1.289,-0.4226,0.45,28.9,False,1.073,12890.0
ETHUSDT,2,3,0.03,1.202,1.24,-0.6619,1.483,-0.2556,False,1.362,-0.4173,0.502,36.17,False,1.133,13620.0
ETHUSDT,2,3,0.05,1.202,1.24,-0.6619,1.743,-0.3955,False,1.492,-0.4156,0.555,49.16,False,1.242,14920.0
ETHUSDT,2,3,0.07,1.202,1.24,-0.6619,1.899,-0.5148,False,1.57,-0.4593,0.561,56.97,False,1.306,15700.0
ETHUSDT,2,5,0.02,1.202,1.24,-0.6619,1.338,-0.177,False,1.289,-0.4226,0.45,28.9,False,1.073,12890.0
ETHUSDT,2,5,0.03,1.202,1.24,-0.6619,1.483,-0.2556,False,1.362,-0.4173,0.502,36.17,False,1.133,13620.0
ETHUSDT,2,5,0.05,1.202,1.24,-0.6619,1.68,-0.3955,False,1.46,-0.421,0.534,46.02,False,1.215,14600.0
ETHUSDT,2,5,0.07,1.202,1.24,-0.6619,1.769,-0.5148,False,1.505,-0.4588,0.53,50.47,False,1.252,15050.0
ETHUSDT,2,10,0.02,1.202,1.24,-0.6619,1.338,-0.177,False,1.289,-0.4226,0.45,28.9,False,1.073,12890.0
ETHUSDT,2,10,0.03,1.202,1.24,-0.6619,1.483,-0.2556,False,1.362,-0.4173,0.502,36.17,False,1.133,13620.0
ETHUSDT,2,10,0.05,1.202,1.24,-0.6619,1.68,-0.3955,False,1.46,-0.421,0.534,46.02,False,1.215,14600.0
ETHUSDT,2,10,0.07,1.202,1.24,-0.6619,1.714,-0.5148,False,1.477,-0.4585,0.516,47.68,False,1.229,14770.0
ETHUSDT,3,1,0.02,1.202,0.562,-0.8591,1.366,-0.177,False,0.964,-0.5629,0.127,-3.57,False,0.802,9640.0
ETHUSDT,3,1,0.03,1.202,0.562,-0.8591,1.561,-0.2556,False,1.062,-0.5495,0.23,6.19,False,0.884,10620.0
ETHUSDT,3,1,0.05,1.202,0.562,-0.8591,1.518,-0.3938,False,1.04,-0.5603,0.232,4.0,False,0.865,10400.0
ETHUSDT,3,1,0.07,1.202,0.562,-0.8591,1.245,-0.4661,False,0.904,-0.592,0.133,-9.64,False,0.752,9040.0
ETHUSDT,3,2,0.02,1.202,0.562,-0.8591,1.338,-0.177,False,0.95,-0.567,0.114,-4.98,False,0.791,9500.0
ETHUSDT,3,2,0.03,1.202,0.562,-0.8591,1.508,-0.2556,False,1.035,-0.5561,0.207,3.55,False,0.861,10350.0
ETHUSDT,3,2,0.05,1.202,0.562,-0.8591,1.815,-0.3955,False,1.188,-0.5442,0.346,18.85,False,0.989,11880.0
ETHUSDT,3,2,0.07,1.202,0.562,-0.8591,1.958,-0.5154,False,1.26,-0.5468,0.406,26.04,False,1.048,12600.0
ETHUSDT,3,3,0.02,1.202,0.562,-0.8591,1.338,-0.177,False,0.95,-0.567,0.114,-4.98,False,0.791,9500.0
ETHUSDT,3,3,0.03,1.202,0.562,-0.8591,1.483,-0.2556,False,1.023,-0.5594,0.196,2.29,False,0.851,10230.0
ETHUSDT,3,3,0.05,1.202,0.562,-0.8591,1.743,-0.3955,False,1.153,-0.5519,0.322,15.29,False,0.959,11530.0
ETHUSDT,3,3,0.07,1.202,0.562,-0.8591,1.899,-0.5148,False,1.231,-0.5589,0.392,23.09,False,1.024,12310.0
ETHUSDT,3,5,0.02,1.202,0.562,-0.8591,1.338,-0.177,False,0.95,-0.567,0.114,-4.98,False,0.791,9500.0
ETHUSDT,3,5,0.03,1.202,0.562,-0.8591,1.483,-0.2556,False,1.023,-0.5594,0.196,2.29,False,0.851,10230.0
ETHUSDT,3,5,0.05,1.202,0.562,-0.8591,1.68,-0.3955,False,1.121,-0.5589,0.301,12.14,False,0.933,11210.0
ETHUSDT,3,5,0.07,1.202,0.562,-0.8591,1.769,-0.5148,False,1.166,-0.5714,0.357,16.59,False,0.97,11660.0
ETHUSDT,3,10,0.02,1.202,0.562,-0.8591,1.338,-0.177,False,0.95,-0.567,0.114,-4.98,False,0.791,9500.0
ETHUSDT,3,10,0.03,1.202,0.562,-0.8591,1.483,-0.2556,False,1.023,-0.5594,0.196,2.29,False,0.851,10230.0
ETHUSDT,3,10,0.05,1.202,0.562,-0.8591,1.68,-0.3955,False,1.121,-0.5589,0.301,12.14,False,0.933,11210.0
ETHUSDT,3,10,0.07,1.202,0.562,-0.8591,1.714,-0.5148,False,1.138,-0.577,0.341,13.81,False,0.947,11380.0
ETHUSDT,5,1,0.02,1.202,0.072,-0.9795,1.366,-0.177,False,0.719,-0.6607,-0.109,-28.1,False,0.598,7190.0
ETHUSDT,5,1,0.03,1.202,0.072,-0.9795,1.561,-0.2556,False,0.817,-0.6455,0.029,-18.34,False,0.68,8170.0
ETHUSDT,5,1,0.05,1.202,0.072,-0.9795,1.518,-0.3938,False,0.795,-0.6572,0.075,-20.53,False,0.662,7950.0
ETHUSDT,5,1,0.07,1.202,0.072,-0.9795,1.245,-0.4661,False,0.658,-0.6892,-0.016,-34.17,False,0.548,6580.0
ETHUSDT,5,2,0.02,1.202,0.072,-0.9795,1.338,-0.177,False,0.705,-0.6652,-0.121,-29.51,False,0.587,7050.0
ETHUSDT,5,2,0.03,1.202,0.072,-0.9795,1.508,-0.2556,False,0.79,-0.6528,0.007,-20.98,False,0.657,7900.0
ETHUSDT,5,2,0.05,1.202,0.072,-0.9795,1.815,-0.3955,False,0.943,-0.6374,0.207,-5.68,False,0.785,9430.0
ETHUSDT,5,2,0.07,1.202,0.072,-0.9795,1.958,-0.5154,False,1.015,-0.6375,0.312,1.51,False,0.845,10150.0
ETHUSDT,5,3,0.02,1.202,0.072,-0.9795,1.338,-0.177,False,0.705,-0.6652,-0.121,-29.51,False,0.587,7050.0
ETHUSDT,5,3,0.03,1.202,0.072,-0.9795,1.483,-0.2556,False,0.778,-0.6565,-0.004,-22.24,False,0.647,7780.0
ETHUSDT,5,3,0.05,1.202,0.072,-0.9795,1.743,-0.3955,False,0.908,-0.646,0.184,-9.25,False,0.756,9080.0
ETHUSDT,5,3,0.07,1.202,0.072,-0.9795,1.899,-0.5148,False,0.986,-0.6492,0.301,-1.44,False,0.82,9860.0
ETHUSDT,5,5,0.02,1.202,0.072,-0.9795,1.338,-0.177,False,0.705,-0.6652,-0.121,-29.51,False,0.587,7050.0
ETHUSDT,5,5,0.03,1.202,0.072,-0.9795,1.483,-0.2556,False,0.778,-0.6565,-0.004,-22.24,False,0.647,7780.0
ETHUSDT,5,5,0.05,1.202,0.072,-0.9795,1.68,-0.3955,False,0.876,-0.6539,0.162,-12.39,False,0.729,8760.0
ETHUSDT,5,5,0.07,1.202,0.072,-0.9795,1.769,-0.5148,False,0.921,-0.6636,0.266,-7.94,False,0.766,9210.0
ETHUSDT,5,10,0.02,1.202,0.072,-0.9795,1.338,-0.177,False,0.705,-0.6652,-0.121,-29.51,False,0.587,7050.0
ETHUSDT,5,10,0.03,1.202,0.072,-0.9795,1.483,-0.2556,False,0.778,-0.6565,-0.004,-22.24,False,0.647,7780.0
ETHUSDT,5,10,0.05,1.202,0.072,-0.9795,1.68,-0.3955,False,0.876,-0.6539,0.162,-12.39,False,0.729,8760.0
ETHUSDT,5,10,0.07,1.202,0.072,-0.9795,1.714,-0.5148,False,0.893,-0.67,0.25,-10.72,False,0.743,8930.0
SOLUSDT,1,1,0.02,3.641,2.163,-0.3566,1.303,-0.1311,False,1.733,-0.2392,0.926,73.32,False,0.476,17330.0
SOLUSDT,1,1,0.03,3.641,2.163,-0.3566,1.451,-0.1914,False,1.807,-0.2458,0.97,80.71,False,0.496,18070.0
