stack,depth,n_tr,wr_tr,dpt_tr,dd_tr,ls_tr,n_v,wr_v,dpt_v,dd_v,ls_v,n_l,wr_l,dpt_l,dd_l,ls_l,sum_l,score_l
g_btc_trend_15m_with|g_cci_extreme_with|g_cci_strong_with|g_stoch_strong_with,4,390,0.7692307692307693,2.627284110872833,370.1522125195404,4,152,0.8157894736842105,0.5809209968116296,114.74259283146286,3,158,0.8481012658227848,4.589393196466083,97.99038262671792,3,725.1241250416412,57.68777796084305
g_btc_trend_15m_with|g_cci_extreme_with|g_cci_with|g_stoch_strong_with,4,390,0.7692307692307693,2.627284110872833,370.1522125195404,4,152,0.8157894736842105,0.5809209968116296,114.74259283146286,3,158,0.8481012658227848,4.589393196466083,97.99038262671792,3,725.1241250416412,57.68777796084305
g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with|g_tr_above_ema800,4,390,0.7692307692307693,2.627284110872833,370.1522125195404,4,152,0.8157894736842105,0.5809209968116296,114.74259283146286,3,158,0.8481012658227848,4.589393196466083,97.99038262671792,3,725.1241250416412,57.68777796084305
g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with,3,390,0.7692307692307693,2.627284110872833,370.1522125195404,4,152,0.8157894736842105,0.5809209968116296,114.74259283146286,3,158,0.8481012658227848,4.589393196466083,97.99038262671792,3,725.1241250416412,57.68777796084305
g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with|g_stoch_with,4,390,0.7692307692307693,2.627284110872833,370.1522125195404,4,152,0.8157894736842105,0.5809209968116296,114.74259283146286,3,158,0.8481012658227848,4.589393196466083,97.99038262671792,3,725.1241250416412,57.68777796084305
g_bb_pos_strong_with|g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with,4,389,0.7712082262210797,2.6983054067876737,345.1522125195405,4,150,0.82,0.7502817353438913,99.25757647275853,3,158,0.8481012658227848,4.589393196466083,97.99038262671792,3,725.1241250416412,57.68777796084305
g_R1_full|g_btc_trend_15m_with|g_btc_trend_30m_with|g_f7_v7_oversold|g_tr_full_stack_with,5,197,0.7563451776649747,5.833824548519539,406.5937354219036,3,93,0.7096774193548387,-1.4753494019151097,286.7656188503119,5,67,0.8656716417910447,7.044267721358672,94.99605690199759,4,471.965937331031,57.659816318834835
g_R1_full|g_btc_trend_15m_with|g_btc_trend_30m_with|g_f7_v7_oversold|g_tr_partial_stack_with,5,197,0.7563451776649747,5.833824548519539,406.5937354219036,3,93,0.7096774193548387,-1.4753494019151097,286.7656188503119,5,67,0.8656716417910447,7.044267721358672,94.99605690199759,4,471.965937331031,57.659816318834835
g_R1_full|g_btc_trend_15m_with|g_btc_trend_30m_with|g_f7_v7_oversold|g_tr_above_ema200,5,197,0.7563451776649747,5.833824548519539,406.5937354219036,3,93,0.7096774193548387,-1.4753494019151097,286.7656188503119,5,67,0.8656716417910447,7.044267721358672,94.99605690199759,4,471.965937331031,57.659816318834835
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_parent_ranging|g_stoch_strong_with,5,87,0.735632183908046,12.897995576067405,273.9870150424778,3,39,0.7948717948717948,-0.9185905177403283,124.75252549091951,3,37,0.918918918918919,9.384371125202296,50.0,2,347.22173163248493,57.08290105079307
g_R1_full|g_btc_f7_against|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with,5,177,0.7853107344632768,7.4923767191320065,307.65448225924143,3,84,0.6547619047619048,-3.6357234704325583,302.7833045469847,5,72,0.9305555555555556,6.670427670477421,75.0,3,480.27079227437434,56.600455670507635
g_bb_pos_extreme_with|g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,36,0.7777777777777778,-1.2288653284849427,124.75252549091951,3,37,0.918918918918919,9.29797127695352,50.0,2,344.02493724728026,56.55735129124196
g_R1_full|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,308,0.8246753246753247,4.161018583282656,321.72440976553247,3,110,0.7636363636363637,-1.792306932851732,210.054316338105,3,107,0.9065420560747663,5.448375781197367,75.0,3,582.9762085881182,56.358437308762994
g_btc_trend_15m_with|g_cci_extreme_with|g_ribbon_agrees|g_stoch_strong_with,4,389,0.7712082262210797,2.6983054067876733,370.1522125195404,4,151,0.8211920529801324,0.750331069638197,99.25757647275853,3,157,0.8471337579617835,4.486176902288372,97.99038262671792,3,704.3297736592745,56.211635469751585
g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with|g_tr_above_cloud,4,390,0.7692307692307693,2.627284110872833,370.1522125195404,4,151,0.8211920529801324,0.750331069638197,99.25757647275853,3,157,0.8471337579617835,4.486176902288372,97.99038262671792,3,704.3297736592745,56.211635469751585
g_R1_full|g_btc_trend_15m_with|g_cci_extreme_with|g_tr_above_ema800,4,465,0.7827956989247312,2.5717337949471846,330.4849055484941,4,213,0.784037558685446,0.1364591663935121,267.6299622260686,4,192,0.8020833333333334,4.0553000679994655,148.12069171606882,4,778.6176130558974,56.19188606170078
g_btc_trend_30m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_f7_v7_against|g_stoch_strong_with,5,126,0.746031746031746,7.745378903515065,389.9519613054158,3,42,0.8333333333333334,0.5714905579180356,122.97982670629722,4,55,0.8363636363636363,7.533215128315369,56.64777658643811,2,414.3268320573453,55.8678186375786
g_cci_extreme_with|g_f7_v7_oversold|g_hurst_reverting|g_tr_above_ema800,4,402,0.7835820895522388,2.39468279527155,477.71806777865834,5,229,0.74235807860262,-1.0466018406156035,391.5395727495978,3,48,0.8125,8.055998159963691,111.54070797774682,3,386.6879116782572,55.813592474954
g_cci_extreme_with|g_f7_v7_oversold|g_hurst_reverting|g_tr_full_stack_with,4,399,0.7894736842105263,2.6006578538826144,477.7180677786587,5,226,0.7477876106194691,-0.9505179344211951,341.5395727495979,3,48,0.8125,8.055998159963691,111.54070797774682,3,386.6879116782572,55.813592474954
g_btc_trend_15m_with|g_cci_extreme_with|g_parent_ranging|g_stoch_strong_with,4,335,0.7731343283582089,3.2966026370385895,258.5982206911219,4,130,0.8076923076923077,0.6306622435648579,99.2575764727585,3,153,0.8431372549019608,4.495396712141141,97.99038262671792,3,687.7956969575946,55.604986419636816
g_bb_pos_extreme_with|g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with,4,386,0.772020725388601,2.694625339454943,379.66763473033757,3,146,0.821917808219178,0.8655441898149598,99.25757647275853,3,154,0.8441558441558441,4.423893405790062,97.99038262671792,3,681.2795844916695,54.899073410505665
g_cci_extreme_with|g_f7_v7_oversold|g_ribbon_slope_with|g_stoch_strong_with,4,352,0.8039772727272727,3.1312706090890385,284.1296874373263,4,117,0.7435897435897436,-2.015105675531243,248.25600097849266,4,120,0.8833333333333333,4.9982360947582265,88.94312682497787,3,599.7883313709872,54.752933136712194
g_R1_full|g_btc_f7_against|g_btc_trend_30m_with|g_f7_v7_oversold|g_stoch_strong_with,5,145,0.7310344827586207,7.876067621084662,385.09255684842987,5,64,0.75,-1.5670469037829426,237.17714677794265,5,41,0.9512195121951219,8.512898550355558,25.0,1,349.0288405645779,54.50914703858864
g_R1_full|g_bb_pos_strong_with|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with,5,189,0.7566137566137566,5.333784642585352,481.940373659779,7,76,0.6973684210526315,-2.532392827756628,185.4444093898998,4,65,0.9076923076923077,6.73446036434735,50.0,2,437.73992368257774,54.29495525306889
g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with|g_tr_full_stack_with,4,390,0.7692307692307693,2.627284110872833,370.1522125195404,4,151,0.8211920529801324,0.750331069638197,99.25757647275853,3,156,0.8461538461538461,4.3394817817147775,97.99038262671792,3,676.9591579475053,54.2001100817902
g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with|g_tr_partial_stack_with,4,390,0.7692307692307693,2.627284110872833,370.1522125195404,4,151,0.8211920529801324,0.750331069638197,99.25757647275853,3,156,0.8461538461538461,4.3394817817147775,97.99038262671792,3,676.9591579475053,54.2001100817902
