combo,is_sharpe
"('MAx', 65, 340)",-0.47108028460396023
"('MAx', 95, 400)",-0.5023110227348965
"('MAx', 70, 360)",-0.5066471054558843
"('MAx', 95, 340)",-0.5193340700567047
"('MAx', 5, 120)",-0.5210093097827763
"('MAx', 10, 140)",-0.521946093975712
"('MAx', 75, 400)",-0.5377038080955832
"('MAx', 100, 340)",-0.5536594551724802
"('MAx', 10, 120)",-0.5592574130277025
"('MAx', 75, 360)",-0.5606281037785109
"('MAx', 70, 400)",-0.5721517364526443
"('MAx', 15, 360)",-0.5977167771938807
"('MAx', 5, 40)",-0.6160720343049143
"('RSI', 'revert', 14, 20, 80)",-0.6202944578885412
"('RSI', 'revert', 14, 30, 70)",-0.6208113983080012
"('MAx', 90, 400)",-0.6321735595633575
"('MAx', 95, 140)",-0.6500291348398293
"('MAx', 60, 400)",-0.6900285240203601
"('MAx', 10, 40)",-0.7290386937359303
"('MAx', 15, 400)",-0.7498288587615451
"('MAx', 65, 400)",-0.7511090066261189
"('MAx', 15, 60)",-0.754605391312064
"('MAx', 85, 400)",-0.7614892097910343
"('RSI', 'revert', 21, 35, 65)",-0.9366919606770032
"('MAx', 10, 100)",-0.9488745415642112
"('BB', 'revert', 50, 2.5)",-0.9503160205237094
"('MAx', 15, 80)",-1.0740228124110953
"('MAx', 5, 140)",-1.1415546640997207
"('RSI', 'revert', 21, 30, 70)",-1.183715849088318
"('RSI', 'momo', 21, 25, 75)",-1.2125472033161326
"('BB', 'breakout', 50, 2.0)",-1.6011440771990728
"('RSI', 'revert', 21, 25, 75)",-1.62924705292457
"('RSI', 'revert', 14, 25, 75)",-1.6873430944976469
"('BB', 'breakout', 30, 2.5)",-1.7725927770624907
"('BB', 'breakout', 20, 2.5)",-1.807149166797789
"('BB', 'breakout', 50, 1.5)",-2.1766209736366684
"('RSI', 'revert', 14, 35, 65)",-2.2287828631078237
"('BB', 'revert', 50, 1.5)",-2.265794294270541
"('MAx', 5, 20)",-2.3382791112231116
"('BB', 'revert', 50, 2.0)",-2.5417999385356187
"('MAx', 15, 20)",-2.5470557528011817
"('MAx', 10, 20)",-2.652159476406798
"('RSI', 'momo', 21, 30, 70)",-2.6622716578579384
"('BB', 'revert', 30, 1.5)",-2.8008587296381413
"('BB', 'revert', 30, 2.0)",-3.0431593663172483
"('RSI', 'revert', 7, 20, 80)",-3.0843206896944158
"('BB', 'breakout', 20, 1.5)",-3.1031572806318994
"('BB', 'breakout', 30, 2.0)",-3.117382641635823
"('BB', 'breakout', 30, 1.5)",-3.1559362342718225
"('BB', 'breakout', 20, 2.0)",-3.1699243685716167
"('BB', 'breakout', 50, 2.5)",-3.1883872986822883
"('RSI', 'revert', 7, 25, 75)",-3.2777331036431225
"('RSI', 'momo', 14, 20, 80)",-3.3812934725152917
"('BB', 'revert', 30, 2.5)",-3.3860968812762264
"('RSI', 'momo', 14, 25, 75)",-3.4634694099258314
"('RSI', 'momo', 21, 20, 80)",-3.5132055821666923
"('RSI', 'revert', 7, 30, 70)",-3.521755810005574
"('RSI', 'momo', 21, 35, 65)",-3.61691432341347
"('RSI', 'momo', 14, 35, 65)",-3.6601527921458796
"('BB', 'revert', 20, 2.5)",-3.699878497612081
"('BB', 'revert', 20, 2.0)",-4.162526804137995
"('RSI', 'momo', 7, 20, 80)",-4.520356657758959
"('RSI', 'revert', 7, 35, 65)",-4.542188693701449
"('BB', 'revert', 20, 1.5)",-4.757113618565847
"('RSI', 'momo', 14, 30, 70)",-4.909167563524631
"('RSI', 'momo', 7, 35, 65)",-5.442966084025976
"('RSI', 'momo', 7, 25, 75)",-5.447994257256431
"('RSI', 'momo', 7, 30, 70)",-5.765049235134083
