slug,fav_side,fire_us,maker_bid,taker_ask,won,cl_basis_bps,outcome_cl,total_sell_usd,first_fill_us,fill_usd_opt,filled_opt,fill_shares_opt,fill_usd_cons,filled_cons,fill_shares_cons,maker_pnl_opt,maker_pnl_cons,taker_pnl,price_improvement,spread_pnl_opt,basis_q
btc-updown-5m-1778199600,Up,1778199720000000,0.49000000953674316,0.5,True,1.0839824815472727,Up,238.85580000000002,1778199720479000.0,25.0,True,51.02040717026833,25.0,True,51.02040717026833,26.010407170268326,26.010407170268326,24.5,0.009999990463256836,0.500203585134164,0
btc-updown-5m-1778199900,Up,1778200020000000,0.27000001072883606,0.2800000011920929,False,0.9979352923600519,Down,142.18998200000001,1778200020658000.0,25.0,True,92.59258891329368,25.0,True,92.59258891329368,-25.01,-25.01,-25.0,0.009999990463256836,0.9159250061011974,0
btc-updown-5m-1778200200,Up,1778200320000000,0.30000001192092896,0.3100000023841858,False,0.7726414946691718,Down,266.42649900000004,1778200327174000.0,25.0,True,83.33333002196431,25.0,True,83.33333002196431,-25.01,-25.01,-25.0,0.009999990463256836,0.8233325054910777,0
btc-updown-5m-1778200500,Up,1778200620000000,0.3199999928474426,0.3400000035762787,False,0.28747470677292614,Down,27.2409,1778200623435000.0,25.0,True,78.12500174622987,0.0,False,0.0,-25.01,0.0,-25.000000000000004,0.02000001072883606,1.5525008731149332,0
btc-updown-5m-1778200800,Up,1778200920000000,0.4699999988079071,0.47999998927116394,False,1.4398002971386799,Down,726.2705100000001,1778200928279000.0,25.0,True,53.19148949661531,25.0,True,53.19148949661531,-25.01,-25.01,-25.0,0.009999990463256836,0.5219143876925793,0
btc-updown-5m-1778201100,Up,1778201220000000,0.10000000149011612,0.10999999940395355,False,1.0895582237886232,Down,98.9963,1778201220284000.0,25.0,True,249.99999627470976,25.0,True,249.99999627470976,-25.01,-25.01,-25.0,0.009999997913837433,2.489999441206464,0
btc-updown-5m-1778201400,Up,1778201520000000,0.029999999329447746,0.03999999910593033,False,0.9853088153192837,Down,13.1487,1778201524248000.0,13.1487,True,438.2900097965451,0.0,False,0.0,-13.1587,0.0,-25.0,0.009999999776482582,4.3729000000000005,0
btc-updown-5m-1778201700,Up,1778201820000000,0.25999999046325684,0.27000001072883606,True,0.4931900298385448,Up,0.0,,0.0,False,0.0,0.0,False,0.0,0.0,0.0,66.2407371350278,0.010000020265579224,0.0,0
btc-updown-5m-1778202000,Up,1778202120000000,0.8899999856948853,0.8999999761581421,True,0.026181954142359975,Up,278.3462,1778202121746000.0,25.0,True,28.08988809194278,25.0,True,28.08988809194278,3.0798880919427782,3.0798880919427782,2.7222229433648573,0.009999990463256836,0.27089861303337953,0
btc-updown-5m-1778202300,Up,1778202420000000,0.18000000715255737,0.1899999976158142,False,1.2029109751033271,Down,144.62252,1778202420651000.0,25.0,True,138.88888336994052,25.0,True,138.88888336994052,-25.01,-25.01,-24.999999999999996,0.009999990463256836,1.378887509151796,0
btc-updown-5m-1778202600,Up,1778202720000000,0.3499999940395355,0.36000001430511475,False,1.2050714083756742,Down,104.4182,1778202821828000.0,25.0,True,71.42857264499277,25.0,True,71.42857264499277,-25.01,-25.01,-25.0,0.010000020265579224,0.7042871739913255,0
btc-updown-5m-1778202900,Up,1778203020000000,0.4300000071525574,0.4399999976158142,True,1.5276885940573601,Up,110.3605,1778203020192000.0,25.0,True,58.13953391663639,25.0,True,58.13953391663639,33.12953391663639,33.12953391663639,31.18181848353591,0.009999990463256836,0.5713947847045613,0
btc-updown-5m-1778203200,Up,1778203320000000,0.46000000834465027,0.4699999988079071,False,2.0903478193492697,Down,539.304083,1778203320047000.0,25.0,True,54.3478251010574,25.0,True,54.3478251010574,-25.01,-25.01,-25.0,0.009999990463256836,0.5334777327093245,0
btc-updown-5m-1778203500,Up,1778203620000000,0.6600000262260437,0.6700000166893005,True,1.842469840996109,Up,244.162725,1778203622855000.0,25.0,True,37.878786373620144,25.0,True,37.878786373620144,12.868786373620143,12.868786373620143,12.067163268238241,0.009999990463256836,0.36878750249594444,0
btc-updown-5m-1778203800,Up,1778203920000000,0.6600000262260437,0.6700000166893005,True,2.0038274562787413,Up,0.0,,0.0,False,0.0,0.0,False,0.0,0.0,0.0,12.067163268238241,0.009999990463256836,0.0,0
btc-updown-5m-1778204100,Up,1778204220000000,0.1599999964237213,0.17000000178813934,True,0.44100376376038364,Up,322.7042,1778204221834000.0,25.0,True,156.25000349245974,25.0,True,156.25000349245974,131.24000349245975,131.24000349245975,119.61764554292688,0.01000000536441803,1.5525008731149332,0
