slot_start_us,signal,reason,rsi_14,ret_2m,f7,entry_phase,mode,thr
,NONE,no_signal,72.07335048151728,0.00015707828969412888,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,57.22764693365509,-0.000060193774946762954,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,36.72495392365228,0.0,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,44.57532301931756,0.0004899692580356457,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,47.1226622198246,-0.0008871228097740427,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,32.68983653668175,0.0007506771856364761,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,77.52083093730319,0.00024261295356658828,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,46.277494465726264,0.0006217129173676884,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,12.434624584557156,0.000493004185404026,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,70.31435524918737,-0.00032491691021763533,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,15.712063689324125,0.00015147306221960304,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,73.22219689171158,-0.0002885077778548105,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,31.34980160110419,0.000018866822022259454,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,27.71908048309112,0.0006079465389634275,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,59.4778448625155,0.0005611093592269954,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,65.6779897691772,-0.0004898156933869456,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,16.520508595041306,0.0006559303186862321,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,84.507721230736,-0.00032455115749268303,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,33.483502611058356,0.001423447632072135,pass,t_plus_120,paper,0.0009817261525836808
,NONE,no_signal,69.16089505120888,-0.00038766569754465597,pass,t_plus_120,paper,0.0009817261525836808
,NONE,no_signal,29.054980356237124,0.0000186711573758408,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,51.48805541406997,-0.0022465334707215986,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,22.615592151475,0.0005111827257581656,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,59.687984873981534,-0.0007630074590784695,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,33.57748662432128,-0.0002402258540128641,pass,t_plus_120,paper,0.000980340438220868
,DOWN,order_placed,43.99566126896901,-0.0010838089736532677,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,53.46080562593587,0.0005892264395228171,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,65.23006173000584,-0.0011547555445187232,pass,t_plus_120,paper,0.000977527984200293
,NONE,no_signal,55.84152252378529,0.0009578634642636155,pass,t_plus_120,paper,0.000977527984200293
,NONE,no_signal,76.01797740067089,-0.00038784270277756905,pass,t_plus_120,paper,0.000977527984200293
,NONE,no_signal,17.82988080382387,0.00234296670266096,pass,t_plus_120,paper,0.0009765039817879869
,NONE,no_signal,70.57429355245121,-0.000729098148749498,pass,t_plus_120,paper,0.0009753451885647047
,NONE,no_signal,47.93963473655319,0.00029450360844324863,pass,t_plus_120,paper,0.0009753451885647047
,NONE,no_signal,50.44110063093732,-0.00039939711618341517,pass,t_plus_120,paper,0.0009753451885647047
,NONE,no_signal,46.87418979991742,0.0024403482826664893,pass,t_plus_120,paper,0.0009742251168399975
,NONE,no_signal,91.45307232855247,-0.0014067688803406685,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,73.84801244975479,0.00046885692639621535,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,41.92620832065294,0.0005487926012755954,pass,t_plus_120,paper,0.0009647118683923202
,NONE,no_signal,37.07419626939121,-0.00012258709743000375,pass,t_plus_120,paper,0.0009689672101888648
