sleeve_id,n_full,n_train,n_held,pnl_train,pnl_held,win_train,win_held,perm_p_train,perm_p_held,ppt_train,ppt_held,verdict,pnl_full
poly_updown_sol_5m_momo_v2_HOLD,271,209,62,212.26098804000003,-177.91825304000005,0.5358851674641149,0.45161290322580644,0.272,0.817,1.015602813588517,-2.869649242580646,KEEP_TRAIN_ONLY,34.342734999999976
poly_updown_sol_5m_momo_v2_SELL,276,211,65,47.49059846512125,-154.96419514285307,0.4881516587677725,0.4153846153846154,0.449,0.81,0.22507392637498225,-2.384064540659278,KEEP_TRAIN_ONLY,-107.47359667773182
poly_updown_sol_15m_momo_v2_SELL,61,50,11,-205.81208696462545,91.13401884,0.42,0.6363636363636364,0.899,0.175,-4.116241739292509,8.284910803636363,NULL,-114.67806812462545
poly_updown_sol_5m_v4,179,151,28,-47.50895967999996,-68.90065388000001,0.5496688741721855,0.39285714285714285,0.5745,0.724,-0.3146288720529799,-2.460737638571429,NULL,-116.40961355999997
poly_updown_sol_15m_momo_v2_HOLD,61,50,11,-249.49700994,116.14476683999999,0.42,0.7272727272727273,0.932,0.124,-4.9899401988,10.558615167272727,NULL,-133.3522431
poly_updown_sol_15m_momo_SELL,65,52,13,-208.0180797942731,63.844919360000006,0.4423076923076923,0.6153846153846154,0.88,0.2965,-4.000347688351406,4.911147643076924,NULL,-144.1731604342731
poly_updown_btc_5m_momo_v2_HOLD,471,331,140,-315.1911294799999,157.30624932000006,0.48942598187311176,0.5357142857142857,0.7685,0.289,-0.9522390618731116,1.123616066571429,NULL,-157.88488015999985
poly_updown_sol_15m_momo_HOLD,62,49,13,-221.82575268,63.844919360000006,0.42857142857142855,0.6153846153846154,0.8905,0.2965,-4.527056177142857,4.911147643076924,NULL,-157.98083332
poly_updown_eth_5m_sniper,460,349,111,-196.95468216,-5.466353859999941,0.47277936962750716,0.4864864864864865,0.7175,0.4925,-0.564340063495702,-0.04924643117117064,NULL,-202.42103601999995
poly_updown_eth_5m_sniper_DOWN_INV,213,158,55,-302.53181979999994,98.62753743999997,0.4936708860759494,0.5636363636363636,0.8435,0.292,-1.9147583531645567,1.793227953454545,NULL,-203.90428235999997
poly_updown_sol_15m_momo_v2_HEDGE,61,50,11,-301.58494062,90.64476683999999,0.42,0.7272727272727273,0.9625,0.174,-6.0316988124,8.240433349090909,NULL,-210.94017378
poly_updown_sol_5m_momo_v2_HEDGE,277,213,64,-44.616680739999964,-184.00589070000004,0.5446009389671361,0.4375,0.5555,0.8195,-0.20946798469483552,-2.8750920421875006,NULL,-228.62257144
poly_updown_sol_15m_momo_HEDGE,64,51,13,-315.57340644,63.844919360000006,0.45098039215686275,0.6153846153846154,0.9755,0.2965,-6.1877138517647055,4.911147643076924,NULL,-251.72848707999998
