slug,fire_us,slot_start_us,outcome,vwap_down,shares,won_down,pnl_down,book_lag_s,ts,date
btc-updown-15m-1777981500,1777980720000000,1777981500000000,Down,0.5199999809265137,48.07692484037417,1,22.615386343566684,23.718,2026-05-05 11:32:00+00:00,2026-05-05
btc-updown-15m-1778047200,1778046420000000,1778047200000000,Down,0.47999998927116394,52.083334497486575,1,26.541667807536843,106.538,2026-05-06 05:47:00+00:00,2026-05-06
btc-updown-15m-1778049000,1778048220000000,1778049000000000,Up,0.5,50.0,0,-25.0,108.181,2026-05-06 06:17:00+00:00,2026-05-06
btc-updown-15m-1778049900,1778049120000000,1778049900000000,Up,0.5,50.0,0,-25.0,107.666,2026-05-06 06:32:00+00:00,2026-05-06
btc-updown-15m-1778050800,1778050020000000,1778050800000000,Down,0.5199999809265137,48.07692484037417,1,22.615386343566684,101.786,2026-05-06 06:47:00+00:00,2026-05-06
btc-updown-15m-1778051700,1778050920000000,1778051700000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,49.144,2026-05-06 07:02:00+00:00,2026-05-06
btc-updown-15m-1778052600,1778051820000000,1778052600000000,Down,0.5325443630462937,46.944445824181535,1,21.505556907697905,18.766,2026-05-06 07:17:00+00:00,2026-05-06
btc-updown-15m-1778054400,1778053620000000,1778054400000000,Up,0.5,50.0,0,-25.0,96.253,2026-05-06 07:47:00+00:00,2026-05-06
btc-updown-15m-1778056200,1778055420000000,1778056200000000,Up,0.538228165563922,46.448702612592854,0,-25.0,94.02,2026-05-06 08:17:00+00:00,2026-05-06
btc-updown-15m-1778058000,1778057220000000,1778058000000000,Down,0.5366086378456864,46.58888850609465,1,21.15711073597275,40.787,2026-05-06 08:47:00+00:00,2026-05-06
btc-updown-15m-1778058900,1778058120000000,1778058900000000,Down,0.5299999713897705,47.1698138670551,1,21.726417589713993,14.267,2026-05-06 09:02:00+00:00,2026-05-06
btc-updown-15m-1778059800,1778059020000000,1778059800000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,3.955,2026-05-06 09:17:00+00:00,2026-05-06
btc-updown-15m-1778060700,1778059920000000,1778060700000000,Down,0.5009823173508725,49.90196087597793,1,24.403921658458373,87.933,2026-05-06 09:32:00+00:00,2026-05-06
btc-updown-15m-1778061600,1778060820000000,1778061600000000,Up,0.5299999713897705,47.1698138670551,0,-25.000000000000004,20.714,2026-05-06 09:47:00+00:00,2026-05-06
btc-updown-15m-1778062500,1778061720000000,1778062500000000,Up,0.5166931479333847,48.3846168659143,0,-25.0,61.418,2026-05-06 10:02:00+00:00,2026-05-06
btc-updown-15m-1778063400,1778062620000000,1778063400000000,Up,0.5378486162212066,46.48148056165675,0,-24.999999999999996,77.653,2026-05-06 10:17:00+00:00,2026-05-06
btc-updown-15m-1778064300,1778063520000000,1778064300000000,Up,0.5385309017651416,46.42259138344253,0,-25.0,97.414,2026-05-06 10:32:00+00:00,2026-05-06
btc-updown-15m-1778065200,1778064420000000,1778065200000000,Up,0.5299999713897705,47.1698138670551,0,-25.000000000000004,100.699,2026-05-06 10:47:00+00:00,2026-05-06
btc-updown-15m-1778066100,1778065320000000,1778066100000000,Up,0.5400000214576721,46.29629445664684,0,-25.0,99.536,2026-05-06 11:02:00+00:00,2026-05-06
btc-updown-15m-1778067000,1778066220000000,1778067000000000,Down,0.5445630993217743,45.908362191886,1,20.490194948048277,35.837,2026-05-06 11:17:00+00:00,2026-05-06
btc-updown-15m-1778067900,1778067120000000,1778067900000000,Up,0.5400000214576721,46.29629445664684,0,-25.0,47.019,2026-05-06 11:32:00+00:00,2026-05-06
btc-updown-15m-1778133600,1778132820000000,1778133600000000,Down,0.5,50.0,1,24.5,32.086,2026-05-07 05:47:00+00:00,2026-05-07
btc-updown-15m-1778135400,1778134620000000,1778135400000000,Up,0.49000000953674316,51.02040717026833,0,-25.0,73.48,2026-05-07 06:17:00+00:00,2026-05-07
btc-updown-15m-1778137200,1778136420000000,1778137200000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,81.174,2026-05-07 06:47:00+00:00,2026-05-07
btc-updown-15m-1778138100,1778137320000000,1778138100000000,Down,0.5199999809265137,48.07692484037417,1,22.615386343566684,64.69,2026-05-07 07:02:00+00:00,2026-05-07
