asset,tf,fire_offset_s,n,wr,pnl_per,sum_pnl,rule
BTC,15m,720,935,10.802139037433154,-7.073241677709852,-6613.480968658711,pmF
ETH,5m,120,2096,22.948473282442748,-3.1844361524782436,-6674.578175594399,pmF
BTC,15m,480,2098,23.83222116301239,-3.185166296132562,-6682.478889286115,pmB
SOL,15m,360,1954,23.23439099283521,-3.478186550028542,-6796.376518755771,pmB
SOL,15m,600,911,14.818880351262347,-7.5142282747664,-6845.46195831219,pmF
BTC,15m,840,1753,58.52823730747291,-3.988209418766435,-6991.331111097561,pmA_strong
BTC,5m,180,2292,15.488656195462477,-3.1139159991597674,-7137.095470074187,pmF
ETH,5m,60,6307,49.643253527826225,-1.146441952373849,-7230.609393621866,pmA
ETH,15m,480,1615,20.86687306501548,-4.605434406007767,-7437.776565702544,pmB_strong
BTC,15m,840,928,5.926724137931035,-8.036234576099012,-7457.625686619884,pmF
SOL,5m,300,471,3.397027600849257,-15.861659344906926,-7470.841551451162,pmE
BTC,5m,150,2195,17.949886104783598,-3.4294827400984533,-7527.714614516105,pmF
SOL,5m,60,4492,21.482635796972396,-1.7024773803893178,-7647.528392708816,pmB_strong
BTC,15m,840,1919,57.16519020323085,-4.001969474792511,-7679.779422126829,pmA
BTC,5m,120,1969,20.162519045200607,-3.9095505645003836,-7697.905061501256,pmF
BTC,5m,90,3284,22.86845310596833,-2.461781147307376,-8084.489287757423,pmB_strong
SOL,15m,480,1637,18.875992669517412,-5.0863323475572475,-8326.326052951214,pmB_strong
ETH,15m,480,2057,24.258629071463297,-4.064489620440529,-8360.655149246168,pmB
SOL,5m,120,2561,15.462709878953534,-3.2880359675143156,-8420.660112804162,pmF
BTC,15m,600,1682,14.328180737217597,-5.066531683502999,-8521.906291652045,pmB_strong
SOL,15m,480,1867,20.192822710230317,-4.810198937155757,-8980.6414156698,pmB
BTC,15m,600,2091,19.51219512195122,-4.315958297383482,-9024.66879982886,pmB
ETH,5m,90,3701,24.101594163739527,-2.4897896971360014,-9214.711669100341,pmB_strong
BTC,5m,270,1012,16.50197628458498,-9.191726812776542,-9302.027534529861,pmC
SOL,5m,90,4607,18.2548296071196,-2.1393748740895693,-9856.100044930647,pmB_strong
SOL,5m,30,6310,23.660855784469096,-1.5815827462545993,-9979.787128866521,pmB
ETH,5m,270,5231,55.49608105524756,-1.9078400952146666,-9979.911538067921,pmA_strong
BTC,5m,60,6240,34.455128205128204,-1.6069310094565545,-10027.2494990089,pmB
ETH,5m,150,2270,17.53303964757709,-4.474411259065553,-10156.913558078806,pmF
ETH,5m,270,6023,54.14245392661464,-1.7124922566108502,-10314.34086156715,pmA
SOL,5m,60,6303,22.941456449309854,-1.6391690936426764,-10331.682797229789,pmB
ETH,15m,600,1680,18.095238095238095,-6.302383685153071,-10588.004591057159,pmB_strong
ETH,15m,600,2037,21.453117329405988,-5.261793144422359,-10718.272635188347,pmB
BTC,15m,840,1919,9.171443460135487,-5.646300282000876,-10835.250241159682,pmB
BTC,15m,840,1753,6.160867084997148,-6.269599771113855,-10990.608398762588,pmB_strong
BTC,5m,90,6249,29.94079052648424,-1.795882535561133,-11222.46996472152,pmB
ETH,15m,720,1643,13.390139987827146,-6.954046531362333,-11425.498451028312,pmB_strong
ETH,15m,720,1902,16.40378548895899,-6.121564280068526,-11643.215260690336,pmB
BTC,5m,300,876,5.707762557077626,-13.621829754357558,-11932.72286481722,pmC
ETH,15m,840,894,6.0402684563758395,-13.383582773057514,-11964.922999113418,pmF
SOL,15m,840,953,4.826862539349422,-12.836155314773032,-12232.856014978699,pmF
ETH,5m,90,6307,29.062945933090216,-1.9484234450417925,-12288.706667878585,pmB
BTC,15m,720,1772,11.060948081264108,-7.007110765977918,-12416.600277312871,pmB_strong
BTC,15m,720,2050,14.878048780487804,-6.145848731691212,-12598.989899966984,pmB
SOL,5m,90,6301,20.09204888112998,-2.0063429485569086,-12641.96691885708,pmB
SOL,15m,720,1665,12.012012012012011,-7.62111990403808,-12689.164640223404,pmB_strong
ETH,5m,120,4032,22.04861111111111,-3.184533497041718,-12840.039060072208,pmB_strong
SOL,15m,720,1855,14.016172506738545,-6.973416090584465,-12935.686848034182,pmB
BTC,5m,270,6276,53.202676864244744,-2.1057691161333336,-13215.8069728528,pmA
SOL,5m,150,2705,12.939001848428836,-4.89522379195186,-13241.580357229781,pmF
BTC,5m,120,3837,19.963513161323952,-3.4802461792826653,-13353.704589907587,pmB_strong
SOL,15m,600,1683,15.62685680332739,-8.013531859320963,-13486.774119237181,pmB_strong
BTC,5m,270,5471,53.86583805520014,-2.5133734085203434,-13750.665918014798,pmA_strong
SOL,15m,600,1909,17.54845468831849,-7.384134749369777,-14096.313236546905,pmB
ETH,15m,840,1729,9.947946790052054,-8.228418149352887,-14226.934980231143,pmB
ETH,15m,840,1550,7.225806451612904,-9.26965556180512,-14367.966120797937,pmB_strong
ETH,5m,180,2446,13.695829926410466,-6.067482916951143,-14841.063214862495,pmF
BTC,5m,120,6241,27.255247556481333,-2.393073097422576,-14935.169201014298,pmB
SOL,5m,120,4830,15.75569358178054,-3.2462884298017087,-15679.573115942252,pmB_strong
SOL,5m,180,2780,9.820143884892087,-5.693311852810186,-15827.406950812316,pmF
BTC,5m,210,2546,11.861743912018854,-6.4118190122249175,-16324.49120512464,pmF
ETH,5m,150,4313,17.66751680964526,-3.8215682731159446,-16482.42396194907,pmB_strong
ETH,5m,120,6309,27.34189253447456,-2.6736846405656847,-16868.276397328904,pmB
BTC,5m,150,4255,17.72032902467685,-3.9665236557047208,-16877.558155023587,pmB_strong
BTC,5m,240,2691,9.736157562244518,-6.499585334540355,-17490.384135248096,pmF
SOL,5m,120,6285,17.613365155131262,-3.0141729605961274,-18944.07705734666,pmB
BTC,5m,150,6240,24.455128205128204,-3.063824945459983,-19118.267659670295,pmB
SOL,5m,300,4917,17.246288387227985,-4.002280506226334,-19679.21324911488,pmA_strong
BTC,5m,180,4547,15.21882559929624,-4.518372409440828,-20545.039345727448,pmB_strong
SOL,5m,210,2896,7.596685082872928,-7.14382580227059,-20688.519523375628,pmF
SOL,5m,300,5303,16.500094286253063,-4.052555770440549,-21490.703250646227,pmA
ETH,5m,150,6310,22.852614896988907,-3.4810324650017326,-21965.314854160933,pmB
ETH,5m,210,2575,10.21359223300971,-8.78470494570056,-22620.61523517894,pmF
SOL,15m,840,1699,4.944084755738669,-13.407459638307053,-22779.27392548368,pmB_strong
SOL,5m,150,5009,13.156318626472348,-4.591552405717817,-22999.086000240546,pmB_strong
SOL,15m,840,1828,6.017505470459518,-12.738078832157285,-23285.208105183516,pmB
BTC,5m,180,6228,20.68079640333976,-3.7445639799213555,-23321.1444669502,pmB
ETH,5m,240,2661,8.004509582863585,-9.122856169095279,-24275.920265962537,pmF
SOL,5m,150,6300,15.174603174603174,-3.8966142279143026,-24548.669635860108,pmB
ETH,5m,300,2612,1.5313935681470139,-9.614151090999218,-25112.16264968996,pmF
SOL,5m,240,2855,6.164623467600701,-8.94090041302749,-25526.270679193483,pmF
BTC,5m,270,2834,5.751587861679605,-9.084771617598728,-25746.242764274793,pmF
SOL,5m,300,2544,1.8081761006289307,-10.883070079360188,-27686.53028189232,pmF
ETH,5m,300,5169,16.40549429289998,-5.404480551189915,-27935.759969100673,pmA_strong
BTC,5m,210,4923,12.329880154377411,-5.712161501846239,-28120.971073589037,pmB_strong
ETH,5m,180,4685,13.575240128068303,-6.191092494079405,-29005.26833476201,pmB_strong
SOL,5m,180,5232,10.359327217125381,-5.594782057681551,-29271.899725789874,pmB_strong
ETH,5m,300,5577,16.35287789133943,-5.325398487603342,-29699.747365363834,pmA
BTC,5m,210,6245,17.245796637309848,-4.781742512260919,-29861.98198906944,pmB
SOL,5m,180,6284,12.046467218332273,-5.030906542951206,-31614.21671590538,pmB
ETH,5m,180,6303,18.578454704109156,-5.0216569772269315,-31651.50392746135,pmB
ETH,5m,270,2774,5.191059841384282,-11.604080465105328,-32189.71921020218,pmF
BTC,5m,300,2801,0.7140307033202428,-12.021429362506748,-33672.0236443814,pmF
BTC,5m,240,5166,9.872241579558652,-6.550099645142066,-33837.81476680392,pmB_strong
BTC,5m,240,6241,14.452812049351065,-5.658769429247126,-35316.380007931315,pmB
SOL,5m,270,2912,3.021978021978022,-12.135992787210716,-35340.0109963576,pmF
BTC,5m,300,5598,11.361200428724544,-6.560128016213362,-36723.5966347624,pmA_strong
BTC,5m,300,6286,11.660833598472797,-6.132121954369266,-38546.518605165205,pmA
ETH,5m,210,4962,10.802095929060862,-7.80539830291779,-38730.386379078074,pmB_strong
SOL,5m,210,5317,7.673500094037991,-7.410167283583828,-39399.859446815215,pmB_strong
ETH,5m,210,6284,15.467854869509868,-6.432117331646344,-40419.42531206563,pmB
SOL,5m,210,6250,9.696,-6.5095098333258035,-40684.43645828627,pmB
ETH,5m,240,5091,8.28913769396975,-8.535435275605835,-43453.9009881093,pmB_strong
ETH,5m,240,6193,12.207330857419667,-7.433589912572724,-46036.22232856288,pmB
SOL,5m,240,6120,8.03921568627451,-7.591011724357925,-46456.9917530705,pmB
SOL,5m,240,5411,6.283496581038625,-8.59441634070571,-46504.3868195586,pmB_strong
SOL,5m,300,5303,2.4702998302847448,-9.392421942995973,-49808.013563707646,pmB
ETH,5m,300,5169,2.070032888372993,-10.166995414841047,-52553.19929931337,pmB_strong
ETH,5m,300,5577,2.779272010041241,-9.585638687724039,-53459.10696143696,pmB
SOL,5m,300,4917,1.9320724018710596,-11.003970503378339,-54106.52296511129,pmB_strong
BTC,5m,270,5471,5.721074757813928,-10.164687431968389,-55611.004940299055,pmB_strong
BTC,5m,270,6276,8.667941363926067,-9.227349587158269,-57910.84600900529,pmB
ETH,5m,270,5231,5.314471420378513,-11.841430511420958,-61942.52300524303,pmB_strong
SOL,5m,270,5310,3.145009416195857,-11.839566455969177,-62868.09788119633,pmB_strong
SOL,5m,270,5874,4.119850187265917,-10.95796197419918,-64367.06863644598,pmB
ETH,5m,270,6023,8.26830483147933,-10.711377323522013,-64514.62561957308,pmB
BTC,5m,300,5598,0.857449088960343,-12.811999944611987,-71721.5756899379,pmB_strong
BTC,5m,300,6286,1.5749284123448934,-12.183624940064144,-76586.26637324321,pmB
