offset,direction,gates,n_gates,train_n,train_wr,train_dpt,val_n,val_wr,val_dpt,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,lock_days,lock_sharpe,sum_25_28d,gate_stack_str
600,BOTH,"['g_rf_with', 'g_imb5_with', 'g_hawkes_imb_loose_with']",3,174,0.5804597701149425,2.4032114539327925,79,0.5822784810126582,-3.2659397596971838,13,0.6923076923076923,30.07111366826023,46.339080614116924,1,1,0.0,2736.471343811681,g_rf_with+g_imb5_with+g_hawkes_imb_loose_with
600,BOTH,"['g_rf_strong', 'g_imb5_with', 'g_hawkes_imb_loose_with']",3,155,0.6193548387096774,3.7293344268027533,71,0.5915492957746479,-2.8889663562592274,13,0.6923076923076923,30.07111366826023,46.339080614116924,1,1,0.0,2736.471343811681,g_rf_strong+g_imb5_with+g_hawkes_imb_loose_with
600,DOWN,"['g_ribbon_slope_with', 'g_rf_strong', 'g_hawkes_imb_loose_with']",3,140,0.5714285714285714,4.399852660503618,60,0.5833333333333334,-1.5699166376875515,10,0.8,29.34730224637658,25.0,1,1,0.0,2054.3111572463604,g_ribbon_slope_with+g_rf_strong+g_hawkes_imb_loose_with
600,DOWN,"['g_rf_with', 'g_ribbon_slope_with', 'g_hawkes_imb_loose_with']",3,147,0.5510204081632653,3.201673741821767,63,0.5555555555555556,-2.7964119242467413,10,0.8,29.34730224637658,25.0,1,1,0.0,2054.3111572463604,g_rf_with+g_ribbon_slope_with+g_hawkes_imb_loose_with
600,DOWN,"['g_hawkes_imb_strong_with', 'g_ribbon_slope_with']",2,120,0.575,4.748841362975941,59,0.5084745762711864,-2.4102896895408494,11,0.8181818181818182,28.756344772146168,25.0,1,1,0.0,2214.238547455255,g_hawkes_imb_strong_with+g_ribbon_slope_with
600,DOWN,"['g_ribbon_slope_with', 'g_hawkes_imbalance_with', 'g_hawkes_imb_strong_with']",3,120,0.575,4.748841362975941,59,0.5084745762711864,-2.4102896895408494,11,0.8181818181818182,28.756344772146168,25.0,1,1,0.0,2214.238547455255,g_ribbon_slope_with+g_hawkes_imbalance_with+g_hawkes_imb_strong_with
600,DOWN,"['g_ribbon_slope_with', 'g_hawkes_imb_loose_with', 'g_hawkes_imb_strong_with']",3,120,0.575,4.748841362975941,59,0.5084745762711864,-2.4102896895408494,11,0.8181818181818182,28.756344772146168,25.0,1,1,0.0,2214.238547455255,g_ribbon_slope_with+g_hawkes_imb_loose_with+g_hawkes_imb_strong_with
600,DOWN,"['g_queue_top_high', 'g_ribbon_slope_with']",2,208,0.6586538461538461,2.151891714474181,71,0.6197183098591549,-2.048934013285314,11,0.8181818181818182,28.582027048834767,25.0,1,1,0.0,2200.816082760277,g_queue_top_high+g_ribbon_slope_with
600,DOWN,"['g_f7_rsi_with', 'g_mp_skew_with']",2,216,0.5787037037037037,2.710552836387763,81,0.5308641975308642,-2.8113185112463848,10,0.7,28.23858355879267,25.0,1,1,0.0,1976.7008491154868,g_f7_rsi_with+g_mp_skew_with
600,DOWN,"['g_f7_rsi_with', 'g_mp_skew_strong_with']",2,216,0.5787037037037037,2.710552836387763,81,0.5308641975308642,-2.8113185112463848,10,0.7,28.23858355879267,25.0,1,1,0.0,1976.7008491154868,g_f7_rsi_with+g_mp_skew_strong_with
600,BOTH,"['g_imb5_strong_with', 'g_ribbon_agrees']",2,195,0.6153846153846154,2.0280318737725826,84,0.5595238095238095,-2.537625002167365,11,0.7272727272727273,27.971335910568065,34.336066515655205,1,1,0.0,2153.792865113741,g_imb5_strong_with+g_ribbon_agrees
600,DOWN,"['g_queue_top_high', 'g_regime_stack_full_with']",2,67,0.582089552238806,2.6771873545861293,63,0.7142857142857143,1.5102194257218438,10,0.8,27.478016847736505,50.0,2,1,0.0,1923.4611793415554,g_queue_top_high+g_regime_stack_full_with
600,DOWN,"['g_queue_top_high', 'g_tr_within_adr']",2,172,0.6627906976744186,2.583141179820385,63,0.5873015873015873,-0.029230198953816473,13,0.7692307692307693,27.4373042139257,36.41939939505227,1,1,0.0,2496.7946834672384,g_queue_top_high+g_tr_within_adr
600,DOWN,"['g_rf_with', 'g_rf_strong', 'g_hawkes_imb_loose_with']",3,155,0.5935483870967742,4.704536437565043,66,0.5606060606060606,-1.7066045406713028,11,0.8181818181818182,27.01217653178626,25.0,1,1,0.0,2079.937592947542,g_rf_with+g_rf_strong+g_hawkes_imb_loose_with
600,DOWN,"['g_hawkes_imb_loose_with', 'g_rf_with']",2,170,0.5647058823529412,3.7707925000870524,75,0.5333333333333333,-0.4417525451412431,11,0.8181818181818182,27.01217653178626,25.0,1,1,0.0,2079.937592947542,g_hawkes_imb_loose_with+g_rf_with
600,DOWN,"['g_hawkes_imb_loose_with', 'g_rf_strong']",2,159,0.5849056603773585,4.13750985665701,67,0.5671641791044776,-1.5317739759389617,11,0.8181818181818182,27.01217653178626,25.0,1,1,0.0,2079.937592947542,g_hawkes_imb_loose_with+g_rf_strong
600,DOWN,"['g_f7_rsi_with', 'g_queue_top_high']",2,194,0.6701030927835051,4.8303664859310524,74,0.581081081081081,-2.5336401717709593,11,0.7272727272727273,26.53760109214201,25.0,1,1,0.0,2043.3952840949346,g_f7_rsi_with+g_queue_top_high
600,BOTH,"['g_tr_above_ema200', 'g_imb5_with', 'g_imb5_strong_with']",3,212,0.6367924528301887,2.264919563763429,86,0.5813953488372093,-1.6537991470387838,12,0.75,26.18740280599506,27.771927859963228,1,1,0.0,2199.741835703585,g_tr_above_ema200+g_imb5_with+g_imb5_strong_with
600,BOTH,"['g_imb5_strong_with', 'g_tr_above_ema200']",2,212,0.6367924528301887,2.264919563763429,86,0.5813953488372093,-1.6537991470387838,12,0.75,26.18740280599506,27.771927859963228,1,1,0.0,2199.741835703585,g_imb5_strong_with+g_tr_above_ema200
600,DOWN,"['g_mp_skew_with', 'g_mp_skew_strong_with', 'g_imb5_with']",3,324,0.5679012345679012,1.8376854909695424,113,0.6106194690265486,-0.7282574560484821,14,0.7857142857142857,26.182581128274542,50.0,2,1,0.0,2565.892950570905,g_mp_skew_with+g_mp_skew_strong_with+g_imb5_with
600,DOWN,"['g_imb5_with', 'g_mp_skew_strong_with']",2,324,0.5679012345679012,1.8376854909695424,113,0.6106194690265486,-0.7282574560484821,14,0.7857142857142857,26.182581128274542,50.0,2,1,0.0,2565.892950570905,g_imb5_with+g_mp_skew_strong_with
600,DOWN,"['g_imb5_with', 'g_mp_skew_with']",2,324,0.5679012345679012,1.8376854909695424,113,0.6106194690265486,-0.7282574560484821,14,0.7857142857142857,26.182581128274542,50.0,2,1,0.0,2565.892950570905,g_imb5_with+g_mp_skew_with
600,DOWN,"['g_imb5_with', 'g_tr_within_adr']",2,207,0.5603864734299517,2.4426526827384296,65,0.5384615384615384,-2.722659540068976,17,0.7058823529411765,25.953418305134132,75.0,3,1,0.0,3088.4567783109615,g_imb5_with+g_tr_within_adr
ALL,DOWN,"['g_hawkes_burst', 'g_hawkes_imb_loose_with']",2,354,0.5677966101694916,8.783332390770715,172,0.5,2.062522219838229,19,1.0,25.120399893681974,-0.0,0,1,0.0,3341.0131858597024,g_hawkes_burst+g_hawkes_imb_loose_with
ALL,DOWN,"['g_hawkes_burst', 'g_hawkes_imbalance_with']",2,326,0.5521472392638037,8.09257896936531,149,0.4697986577181208,-1.0644988089905707,19,1.0,25.120399893681974,-0.0,0,1,0.0,3341.0131858597024,g_hawkes_burst+g_hawkes_imbalance_with
600,DOWN,"['g_queue_top_high', 'g_mp_skew_with', 'g_mp_skew_strong_with']",3,314,0.6305732484076433,1.8911894370295104,113,0.6283185840707964,-1.1457379455508305,15,0.8,25.104211939482607,50.0,2,1,0.0,2635.942253645674,g_queue_top_high+g_mp_skew_with+g_mp_skew_strong_with
600,DOWN,"['g_queue_top_high', 'g_mp_skew_with', 'g_imb1_strong_with']",3,235,0.625531914893617,1.593741269246151,85,0.6235294117647059,-1.4005346907496643,15,0.8,25.104211939482607,50.0,2,1,0.0,2635.942253645674,g_queue_top_high+g_mp_skew_with+g_imb1_strong_with
600,DOWN,"['g_queue_top_high', 'g_mp_skew_strong_with', 'g_imb1_strong_with']",3,235,0.625531914893617,1.593741269246151,85,0.6235294117647059,-1.4005346907496643,15,0.8,25.104211939482607,50.0,2,1,0.0,2635.942253645674,g_queue_top_high+g_mp_skew_strong_with+g_imb1_strong_with
600,DOWN,"['g_imb1_strong_with', 'g_queue_top_high']",2,235,0.625531914893617,1.593741269246151,85,0.6235294117647059,-1.4005346907496643,15,0.8,25.104211939482607,50.0,2,1,0.0,2635.942253645674,g_imb1_strong_with+g_queue_top_high
600,DOWN,"['g_mp_skew_strong_with', 'g_queue_top_high']",2,314,0.6305732484076433,1.8911894370295104,113,0.6283185840707964,-1.1457379455508305,15,0.8,25.104211939482607,50.0,2,1,0.0,2635.942253645674,g_mp_skew_strong_with+g_queue_top_high
600,DOWN,"['g_mp_skew_with', 'g_queue_top_high']",2,314,0.6305732484076433,1.8911894370295104,113,0.6283185840707964,-1.1457379455508305,15,0.8,25.104211939482607,50.0,2,1,0.0,2635.942253645674,g_mp_skew_with+g_queue_top_high
