slug,outcome,taker_side,n_trades,total_size
sol-updown-5m-1776882300,Up,buy,2,7.000000
sol-updown-5m-1776882600,Down,buy,3,15.000000
sol-updown-5m-1776882600,Up,buy,4,10.226665
sol-updown-5m-1776882900,Down,buy,4,15.538458
sol-updown-5m-1776882900,Up,buy,2,13.150000
sol-updown-5m-1776883200,Down,buy,5,21.886791
sol-updown-5m-1776883200,Up,buy,2,4.081630
sol-updown-5m-1776883500,Down,buy,4,26.946188
sol-updown-5m-1776883500,Up,buy,2,9.000000
sol-updown-5m-1776883800,Down,buy,6,34.000000
sol-updown-5m-1776883800,Down,sell,1,6.000000
sol-updown-5m-1776883800,Up,buy,1,1.960783
sol-updown-5m-1776884100,Down,buy,2,10.000000
sol-updown-5m-1776884400,Down,buy,1,2.083332
sol-updown-5m-1776884400,Up,buy,5,77.671554
sol-updown-5m-1776884700,Down,buy,1,16.000000
sol-updown-5m-1776884700,Up,buy,3,52.981131
sol-updown-5m-1776885000,Down,buy,1,31.006325
sol-updown-5m-1776885000,Up,buy,2,39.606791
sol-updown-5m-1776885300,Down,buy,1,2.083332
sol-updown-5m-1776885300,Up,buy,1,75.470000
sol-updown-5m-1776885600,Down,buy,2,11.921567
sol-updown-5m-1776885600,Up,buy,1,15.384614
sol-updown-5m-1776885900,Down,buy,3,29.230768
sol-updown-5m-1776885900,Up,buy,1,5.000000
sol-updown-5m-1776885900,Up,sell,1,20.690000
sol-updown-5m-1776886500,Down,buy,3,14.928332
sol-updown-5m-1776886500,Up,buy,5,49.579620
sol-updown-5m-1776886800,Down,buy,3,28.968122
sol-updown-5m-1776886800,Up,buy,1,59.000000
sol-updown-5m-1776887100,Down,buy,2,14.000000
sol-updown-5m-1776887100,Up,buy,2,94.700768
sol-updown-5m-1776887700,Down,buy,2,12.571427
sol-updown-5m-1776887700,Up,buy,1,1.851850
sol-updown-5m-1776888000,Down,buy,1,3.921567
sol-updown-5m-1776888300,Down,buy,1,7.843136
sol-updown-5m-1776888300,Up,buy,2,10.000000
sol-updown-5m-1776888600,Down,buy,1,2.000000
sol-updown-5m-1776889200,Down,buy,1,1.960783
sol-updown-5m-1776889200,Up,buy,2,10.000000
sol-updown-5m-1776889500,Down,buy,1,2.083332
sol-updown-5m-1776889500,Up,buy,1,95.920000
sol-updown-5m-1776889800,Down,buy,1,4.081631
sol-updown-5m-1776889800,Up,buy,1,5.000000
sol-updown-5m-1776890100,Down,buy,1,2.000000
sol-updown-5m-1776890400,Down,buy,2,24.714284
sol-updown-5m-1776890400,Up,buy,1,189.166665
sol-updown-5m-1776891000,Down,buy,1,2.000000
sol-updown-5m-1776891000,Up,buy,1,5.000000
sol-updown-5m-1776891300,Down,buy,1,2.040815
sol-updown-5m-1776891300,Up,buy,1,19.000000
sol-updown-5m-1776891600,Down,buy,1,2.083332
sol-updown-5m-1776891900,Down,buy,1,4.000000
sol-updown-5m-1776892200,Down,buy,1,8.000000
sol-updown-5m-1776892500,Down,buy,3,21.131940
sol-updown-5m-1776892500,Up,buy,1,5.000000
sol-updown-5m-1776892800,Down,buy,1,1.960783
sol-updown-5m-1776893100,Down,buy,1,4.000000
sol-updown-5m-1776893100,Up,buy,1,5.000000
sol-updown-5m-1776893400,Down,buy,2,12.000000
sol-updown-5m-1776893700,Down,buy,3,184.981850
sol-updown-5m-1776893700,Up,buy,3,24.255317
sol-updown-5m-1776894000,Down,buy,4,148.014813
sol-updown-5m-1776894000,Up,buy,2,5.460990
sol-updown-5m-1776894300,Down,buy,4,46.890281
sol-updown-5m-1776894300,Up,buy,2,7.083332
sol-updown-5m-1776894600,Down,buy,12,279.003289
sol-updown-5m-1776894600,Up,buy,1,2.173912
sol-updown-5m-1776894900,Down,buy,8,219.849995
sol-updown-5m-1776894900,Up,buy,3,15.255318
sol-updown-5m-1776895200,Down,buy,1,74.350000
sol-updown-5m-1776895200,Up,buy,1,2.127658
sol-updown-5m-1776895500,Down,buy,2,17.403843
sol-updown-5m-1776895500,Up,buy,3,12.241567
sol-updown-5m-1776895800,Down,buy,2,8.038460
sol-updown-5m-1776895800,Up,buy,1,2.000000
sol-updown-5m-1776896100,Up,buy,2,9.000000
sol-updown-5m-1776896400,Up,buy,3,27.692306
sol-updown-5m-1776896700,Up,buy,5,81.518167
sol-updown-5m-1776897000,Up,buy,3,56.981131
