asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b,prob_c,prob_stack
eth,eth-updown-5m-1777230000,5m,1777230000,0,2362.41635434,2361.29563995,0.0004743932575395,2361.12,-0.0005885304480331,0.0006524456350242,0.0047079887009718,2082305.397,-0.0002112961020465,-0.0003239896280514,-0.0039277996102634,-0.0003120407337915,1.65537647,-0.00171527,1.23913279,1.110839,-0.41624368,1.596902,0.670514,-0.8881074839928624,0.47,0.63,2,0.5152838427947598,0.5017976373908578,0.4916820702402957,0.5111533340523703
eth,eth-updown-5m-1777230300,5m,1777230300,1,2361.29563995,2363.02670652,0.0007331003118426,2359.99,-0.0004787009925966,-0.0007708924944435,0.0048890713658446,2082250.867,-2.6187321071402536e-05,-0.0002101091971336,-0.004464570899901,-0.0005266402678578,1.65374766,-0.0016288099999999,1.23935491,1.110456,-0.41439275,0.729504,-0.867398,-0.2984802431610942,0.48,0.53,1,0.5127020785219399,0.5017976373908578,0.4916820702402957,0.483772381671421
eth,eth-updown-5m-1777230600,5m,1777230600,1,2363.02670652,2366.27469372,0.0013745029588697,2363.53,0.0014988824701755,0.0004316510295459,0.003827873509109,2082529.149,0.0001336447996782,-0.0001038648278459,-0.0033123098508329,0.0008948235245103,1.65290594,-0.0008417200000001,1.23819826,1.110374,-0.4147076799999998,1.273901,0.5443969999999999,0.3134979896611143,0.47,0.55,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
eth,eth-updown-5m-1777230900,5m,1777230900,1,2366.27469372,2370.40320221,0.0017447291732261,2373.74,0.0043105061813543,0.0053306876589332,0.0036253255121703,2082842.318,0.0001503791676338,0.0002578493052811,0.0026446501928178,0.0014956477986487,1.65282236,-8.357999999986099e-05,1.2381653,1.111116,-0.4146570600000001,1.940414,0.6665130000000001,-0.1511159429558099,0.43,0.63,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
eth,eth-updown-5m-1777231200,5m,1777231200,0,2370.40320221,2369.04892131,0.0005713293412434,2370.57,-0.0013363378327926,0.0044730508187374,0.0030630224480735,2075712.86,-0.003422946585244,-0.0031398747881995,-0.0026781167446309,-0.0015977370474762,1.6623828,0.00956044,1.24103359,1.120657,-0.42134921,1.561197,-0.3792170000000001,0.2238111647139904,0.42,0.61,2,0.5152838427947598,0.5017976373908578,0.4916820702402957,0.5111533340523703
eth,eth-updown-5m-1777231500,5m,1777231500,0,2369.04892131,2366.37142,0.0011302009367199,2363.9,-0.0028176350944446,0.000156533254117,0.0006601442400948,2076668.129,0.0004602124977921,-0.0028143759729915,-0.0028945531411187,-0.0001150539111263,1.6594209,-0.0029619,1.23850951,1.119327,-0.4209113899999999,0.686258,-0.8749389999999999,-0.3328396890040726,0.47,0.57,2,0.5152838427947598,0.5000000000000001,0.4916820702402957,0.49113696310978155
eth,eth-updown-5m-1777231800,5m,1777231800,0,2366.37142,2366.081645,0.0001224554174171,2365.16,0.0005328754677738,-0.0036210974594635,0.0016121835456712,2076444.077,-0.0001078901326942,-0.0030718796832127,-0.0029101287392072,-0.0011788500356644,1.65267064,-0.00675026,1.23344501,1.118403,-0.4192256299999999,1.041604,0.3553459999999999,0.1780464271525058,0.48,0.53,2,0.5152838427947598,0.5017976373908578,0.5476190476190477,0.5856327460101044
eth,eth-updown-5m-1777232100,5m,1777232100,0,2366.081645,2364.57289802,0.0006376563476532,2364.69,-0.0001987378041784,-0.0024834974308493,0.0025278361095067,2076417.673,-1.2715969715970664e-05,0.0003395522635052,-0.0029868696706665,-0.0001703102556329,1.64728547,-0.00538517,1.22904689,1.118669,-0.4182385799999999,0.96435,-0.0772539999999999,-0.9442896935933148,0.5,0.53,1,0.5127020785219399,0.5017976373908578,0.4916820702402957,0.483772381671421
eth,eth-updown-5m-1777232400,5m,1777232400,1,2364.57289802,2366.32257508,0.0007399547975302,2364.22,-0.0001987773087446,0.0001353603548507,0.0022061183186379,2076658.717,0.0001160864710092,-4.532260050926773e-06,-0.0030360328658721,-0.0005383304738705,1.64560867,-0.0016767999999998,1.22817555,1.11787,-0.4174331200000001,1.135417,0.1710669999999998,0.441340782122905,0.58,0.45,2,0.5152838427947598,0.5017976373908578,0.4916820702402957,0.5111533340523703
eth,eth-updown-5m-1777232700,5m,1777232700,1,2366.32257508,2366.82091,0.000210594669234,2365.73,0.0006384845722673,0.000240969459344,0.0026030052938382,2076132.729,-0.0002532857208042,-0.000149942877561,-0.0032873724865316,0.0004879781816582,1.64473483,-0.0008738400000001,1.22737025,1.118202,-0.4173645799999999,1.590595,0.4551780000000001,0.8325273606515654,0.63,0.45,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
eth,eth-updown-5m-1777233000,5m,1777233000,1,2366.82091,2369.51517686,0.0011383484270468,2367.11,0.0005831593880666,0.0010228666515893,0.0022415275450337,2076032.54,-4.82575119599149e-05,-0.0001854795424869,-0.0031958303563057,0.000173850354902,1.64435838,-0.00037645,1.22715161,1.118906,-0.4172067699999999,1.349725,-0.2408699999999999,0.8268311659442035,0.52,0.49,3,0.5537190082644629,0.5017976373908578,0.4647887323943662,0.5136213944472631
eth,eth-updown-5m-1777233300,5m,1777233300,0,2369.51517686,2368.18792,0.0005601385772758,2370.8,0.0015576491516632,0.0027792931119971,0.0035028377505106,2076293.874,0.0001258814565594,-0.0001756875104287,-0.0030976415906965,0.0014579730111421,1.64540721,0.00104883,1.22843025,1.120347,-0.4169769599999999,1.36256,0.0128349999999999,0.6910254861698273,0.44,0.59,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
eth,eth-updown-5m-1777233600,5m,1777233600,1,2368.18792,2368.42551,0.0001003256532108,2367.73,-0.0012957606808623,0.0008450478588675,0.0027956075176814,2076598.52,0.0001467258579408,0.0002243551163629,-0.0027406532241726,-0.0006852691803549,1.64505025,-0.0003569599999999,1.22890026,1.11968,-0.4161499899999998,0.522324,-0.840236,-0.063621533442088,0.47,0.54,2,0.5152838427947598,0.5017976373908578,0.4916820702402957,0.5111533340523703
eth,eth-updown-5m-1777233900,5m,1777233900,0,2368.42551,2367.97568646,0.0001899251372275,2368.4,0.0002829314248003,0.0005448198956011,0.0035572399350782,2077930.719,0.0006415293987593,0.0009143300807799,-0.0020747490460764,0.0007983998450471,1.64630627,0.00125602,1.2305059,1.11898,-0.4158003699999999,1.043881,0.521557,-0.8854817902153419,0.48,0.54,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
eth,eth-updown-5m-1777234200,5m,1777234200,0,2367.97568646,2365.95784541,0.000852137571149,2366.55,-0.0007814232860484,-0.0017942525421105,0.0012769341788543,2078246.796,0.0001521114236917,0.0009405807262907,-0.002056323198192,-7.243419636671078e-05,1.64501414,-0.0012921299999999,1.23029607,1.119464,-0.4147180699999999,0.85925,-0.1846310000000001,-0.172087522176227,0.51,0.53,1,0.5127020785219399,0.5017976373908578,0.4916820702402957,0.483772381671421
eth,eth-updown-5m-1777234500,5m,1777234500,0,2365.95784541,2365.514775,0.0001872689367055,2365.6,-0.0004015088333052,-0.0009000006945534,-0.0034350808358052,2079368.705,0.0005398343460263,0.0013340012396811,-0.001667727302245,-0.000281456547761,1.64317089,-0.00184325,1.22924379,1.117191,-0.4139271,0.419956,-0.4392939999999999,-0.3702770780856423,0.54,0.49,0,0.4371727748691099,0.5017976373908578,0.4916820702402957,0.40979047632409343
eth,eth-updown-5m-1777234800,5m,1777234800,1,2365.514775,2367.52574009,0.0008501173238285,2365.17,-0.0001817885888276,-0.0013647207081812,-0.0022805315918402,2079995.691,0.0003015270925701,0.0009937636424153,0.0020633060971642,0.0001164156118891,1.64073249,-0.0024383999999999,1.22696999,1.11757,-0.4137625,0.513442,0.0934859999999999,0.5663359059169424,0.53,0.48,0,0.4371727748691099,0.5017976373908578,0.4916820702402957,0.40979047632409343
eth,eth-updown-5m-1777235100,5m,1777235100,0,2367.52574009,2367.2081306,0.0001341524971077,2367.03,0.0007861037554558,0.0002028063333229,0.0013232072580601,2080285.154,0.0001391651921456,0.0009808065163017,0.0017417443593847,0.0010878277491506,1.63911594,-0.00161655,1.22539868,1.117431,-0.4137172599999998,1.390093,0.8766510000000001,0.9353908278050188,0.54,0.51,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
eth,eth-updown-5m-1777235400,5m,1777235400,1,2367.2081306,2371.858735,0.0019645946378281,2368.77,0.0007348283619645,0.0013391435285925,0.0015251601522509,2080430.517,6.987647809753028e-05,0.0005106415218458,0.0019198398089099,-0.0001804820985675,1.63906021,-5.5729999999920565e-05,1.22521549,1.117776,-0.4138447199999999,0.664816,-0.7252770000000001,0.1794673871092242,0.51,0.51,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
eth,eth-updown-5m-1777235700,5m,1777235700,0,2371.858735,2367.18988101,0.0019684367880366,2370.08,0.0005528767668818,0.0020738088843021,0.0022767747233112,2067301.287,-0.0063108235976717,-0.0061030914895294,-0.0043904394181102,-0.0043319679592987,1.63727089,-0.00178932,1.22307842,1.113838,-0.4141924699999999,3.841471,3.176655,0.4393822393822394,0.45,0.56,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
eth,eth-updown-5m-1777236000,5m,1777236000,0,2367.18988101,2367.03258,6.64505248446e-05,2366.09,-0.0016849061346771,-0.0003972010058306,0.0007906458973787,2065489.248,-0.000876523906503,-0.0071124412783268,-0.0053785770904791,-0.002862123726081,1.6382464,0.0009755100000001,1.22352713,1.114554,-0.4147192700000002,0.298138,-3.543333,-0.9468424409951096,0.5,0.51,1,0.5127020785219399,0.5017976373908578,0.4916820702402957,0.483772381671421
eth,eth-updown-5m-1777236300,5m,1777236300,0,2367.03258,2366.14467648,0.0003751125047885,2366.33,0.0001014280221135,-0.0010306013456815,0.0002535893472252,2065411.378,-3.770051094442728e-05,-0.0072192456692365,-0.0051640970975704,-0.0001570743275675,1.63495548,-0.0032909200000001,1.22130688,1.114065,-0.4136485999999999,1.251396,0.953258,-0.4738351254480286,0.54,0.49,2,0.5152838427947598,0.5017976373908578,0.4916820702402957,0.5111533340523703
eth,eth-updown-5m-1777236600,5m,1777236600,0,2366.14467648,2364.96620962,0.000498053593981,2365.54,-0.0003339060487037,-0.0019173841612672,-0.0006634760895451,2065436.085,1.1962265853204812e-05,-0.0009022400419954,-0.0051041854093482,-0.0003929612113706,1.63505977,0.0001042900000001,1.22177167,1.113465,-0.4132880999999999,0.421278,-0.8301179999999999,0.962229173908006,0.53,0.49,0,0.4371727748691099,0.5017976373908578,0.4916820702402957,0.40979047632409343
