asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b
btc,btc-updown-15m-1777273200,15m,1777273200,0,77709.47945635,77655.10178855,0.0006997559136983,77696.37,-0.0002580225232587,0.0006698823759164,-0.0009027234182762,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.6375217139548349,0.53,0.48,1,0.5,0.4983991462113128
btc,btc-updown-15m-1777274100,15m,1777274100,1,77655.10178855,77695.82485058,0.0005244093574287,77668.1,0.0009288690666939,-0.0003639184726338,-0.0006206542656967,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.6243654822335026,0.55,0.46,1,0.5,0.4983991462113128
btc,btc-updown-15m-1777275000,15m,1777275000,0,77695.82485058,77687.45625719,0.0001077096923302,77663.01,-0.0003002265754739,-6.553741876736347e-05,0.0003611122347464,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.930597932510588,0.52,0.49,1,0.5,0.4983991462113128
btc,btc-updown-15m-1777275900,15m,1777275900,0,77687.45625719,77616.154,0.0009178091370883,77651.65,9.80065835192654e-05,-0.0001462836801143,9.414280440079788e-05,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.951492996522191,0.51,0.5,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1777276800,15m,1777276800,1,77616.154,77644.70160398,0.0003678049285977,77650.0,-0.0007808927058176,-2.124896934519318e-05,-0.0005969885408608,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.6276703967446593,0.56,0.45,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777277700,15m,1777277700,0,77644.70160398,77583.0868117,0.0007935479306013,77668.08,0.0005977213741635,0.0002328125622164,-2.57506010584798e-07,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.763550344543865,0.64,0.37,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1777278600,15m,1777278600,1,77583.0868117,77629.24569264,0.0005949606136712,77590.46,-0.0004639957850738,-0.0009998806695822,-0.0009346007568255,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.8712574850299402,0.58,0.43,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777279500,15m,1777279500,1,77629.24569264,77811.0,0.0023413122945909,77675.0,0.0011178437370614,0.0010889737917809,0.0003006567150698,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.9347695779415396,0.55,0.46,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1777280400,15m,1777280400,1,77811.0,77856.41479917,0.0005836552565832,77801.42,0.0004808265990255,0.0016262276666909,0.001948133351106,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.9673724973222378,0.48,0.53,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1777281300,15m,1777281300,0,77856.41479917,77778.45548611,0.0010013216413971,77833.7,0.0002888626259862,0.0004148164047147,0.0021301371936042,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.9100368848772004,0.44,0.57,3,0.559322033898305,0.5217391304347826
