asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b,prob_c
sol,sol-updown-5m-1776932100,5m,1776932100,1,85.88,85.89,0.0001164415463437,85.87,0.0002329373409089,-0.0002328830937399,-0.0022102027260601,9313595.46,-0.0004049265709449,-0.0081068031957224,-0.0087674506385935,-0.0002802289744954,2.07106556,0.0018562800000001,2.17706434,1.861068,0.1059987799999997,1.559229,0.76415,0.5852047556142668,0.47,0.54,1,0.4933333333333333,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776932400,5m,1776932400,0,85.89,85.79,0.0011642798928862,85.92,0.000582106076161,0.001281080941525,-0.0013956736389748,9314512.1,9.841956352252268e-05,-0.0010806717686381,-0.0088008262907364,0.0001568387155297,2.07385906,0.0027935000000001,2.17907628,1.862022,0.1052172199999996,1.062129,-0.4970999999999999,-0.6627424970983252,0.59,0.5,2,0.5270588235294118,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776932700,5m,1776932700,1,85.79,85.81,0.0002331274041263,85.76,-0.0018639334380626,-0.0010488900209925,-0.0032596070770374,9311107.02,-0.0003655671884306,-0.0006720019850756,-0.0091673494600328,-0.0016179521630154,2.07646012,0.0026010599999999,2.18290297,1.861951,0.10644285,1.200559,0.1384299999999998,-0.446869615163699,0.58,0.44,0,0.4558823529411764,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776933000,5m,1776933000,0,85.81,85.69,0.0013984384104416,85.83,0.0008158984076367,-0.0004659289542648,-0.0031408157035564,9309742.72,-0.0001465239307278,-0.0004136683858072,-0.0104272314694706,0.0002033606403915,2.06216501,-0.0142951099999999,2.17089964,1.874037,0.1087346299999998,1.425445,0.2248860000000001,-0.916564081520996,0.59,0.48,1,0.4933333333333333,0.5173913043478258,0.5555555555555556
sol,sol-updown-5m-1776933300,5m,1776933300,0,85.69,85.65,0.0004667989263624,85.72,-0.0012824251247523,-0.0023304601551782,-0.0052359186462992,9316501.02,0.0007259384285109,0.0002135291659559,-0.0096867338290358,-0.0007083233172168,2.06842016,0.0062551499999998,2.17700671,1.869096,0.10858655,0.700518,-0.7249270000000001,-0.489079065014689,0.59,0.42,0,0.4558823529411764,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776933600,5m,1776933600,0,85.65,85.58,0.0008172796263864,85.61,-0.0012840718509819,-0.0017505985680976,-0.0066360334332976,9317285.02,8.415176452158946e-05,0.0006635086447539,-0.009018448632878,-0.000320552523063,2.0702586,0.0018384399999997,2.17843648,1.865047,0.1081778799999999,0.699701,-0.0008169999999999,-0.5251661918328585,0.52,0.49,0,0.4558823529411764,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776933900,5m,1776933900,1,85.58,85.67,0.0010516475812105,85.6,-0.0001168156066979,-0.0026833125824321,-0.0053594442627572,9322679.77,0.0005790045048981,0.0013896248681724,-0.0068086643405944,-0.0002427515402503,2.07474576,0.00448716,2.18876184,1.867007,0.1140160800000003,0.858787,0.1590859999999999,-0.4774823657080846,0.58,0.48,0,0.4558823529411764,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776934200,5m,1776934200,1,85.67,85.73,0.0007003618536243,85.7,0.0011675424560378,-0.0002333450016421,-0.0041919018067194,9324085.4,0.0001507753172562,0.00081408030587,-0.0063739175994139,0.0014121459411502,2.07529023,0.0005444699999999,2.1921643,1.870896,0.1168740700000001,2.45003,1.591243,0.5760441292356187,0.59,0.47,1,0.4933333333333333,0.5173913043478258,0.5555555555555556
sol,sol-updown-5m-1776934500,5m,1776934500,0,85.73,85.68,0.0005832264084917,85.72,0.000233345001642,0.0012840718509818,-0.0022140660445888,9327326.42,0.0003475965589074,0.0010777173799498,-0.006252462633995,0.0009316388268658,2.07670142,0.0014111900000002,2.19448989,1.872781,0.1177884699999998,1.963434,-0.486596,0.1169188445667124,0.59,0.48,2,0.5270588235294118,0.5173913043478258,0.463768115942029
sol,sol-updown-5m-1776934800,5m,1776934800,0,85.68,85.49,0.0022175536881419,85.67,-0.0005834646294236,0.0008174228282563,-0.0025647018021807,9331016.96,0.0003956696521403,0.0008942911486491,-0.0062514222741072,-7.131397239112935e-05,2.08386768,0.0071662599999999,2.19773382,1.867456,0.1138661399999998,0.688768,-1.274666,-0.7798375100125872,0.58,0.5,1,0.4933333333333333,0.5737704918032787,0.5087209302325583
sol,sol-updown-5m-1776935100,5m,1776935100,0,85.49,85.43,0.000701836472102,85.53,-0.0016355143832622,-0.0019856340110437,-0.0032683582263392,9315014.91,-0.0017149309736117,-0.0009728021152616,-0.0010267487480831,-0.0039294571045516,2.08392827,6.058999999991599e-05,2.20078714,1.868708,0.1168588700000001,0.402863,-0.285905,0.5436565364206464,0.57,0.44,0,0.4558823529411764,0.5737704918032787,0.5543478260869565
sol,sol-updown-5m-1776935400,5m,1776935400,0,85.43,85.42,0.0001170548987475,85.29,-0.0028099772616721,-0.005028956274358,-0.0065443730124662,9329423.61,0.0015468252213457,0.0002248436374545,0.0012938524698073,0.0006092667610402,2.08686722,0.0029389499999998,2.20762936,1.892155,0.12076214,0.45742,0.0545569999999999,-0.8766274580228068,0.58,0.5,0,0.4558823529411764,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776935700,5m,1776935700,1,85.42,85.61,0.0022243034418169,85.47,0.0021082228469084,-0.002337268798026,-0.0046690875064667,9346151.49,0.0017930239529557,0.0016219593282145,0.0034955383385311,0.0017930239529555,2.0909636,0.00409638,2.21043593,1.88241,0.1194723300000002,1.239969,0.7825490000000002,-0.6496722505462491,0.58,0.48,1,0.4933333333333333,0.5173913043478258,0.5555555555555556
sol,sol-updown-5m-1776936000,5m,1776936000,0,85.61,85.49,0.0014017054082467,85.57,0.0011693172520367,0.0004675628372729,-0.0040818763305912,9344794.4,-0.000145203081873,0.0031969342279882,0.0032510881595184,0.0019951752378331,2.0904499,-0.0005136999999999,2.21298684,1.879831,0.1225369400000002,1.466586,0.2266169999999998,-0.8657157027135536,0.53,0.5,2,0.5270588235294118,0.5173913043478258,0.5087209302325583
sol,sol-updown-5m-1776936300,5m,1776936300,1,85.49,85.57,0.0009357819628026,85.51,-0.0007014262620993,0.0025761138368458,-0.0029193691546279,9356231.38,0.0012238878150172,0.002873464762739,0.0048462937761402,-9.572885510245044e-05,2.09093631,0.0004864100000001,2.21469188,1.875759,0.1237555700000001,0.465072,-1.001514,0.9504876219054764,0.58,0.46,1,0.4933333333333333,0.5173913043478258,0.5087209302325583
sol,sol-updown-5m-1776936600,5m,1776936600,1,85.57,85.61,0.0004674535468037,85.6,0.0010519549798324,0.0015198459697697,-0.0026833125824321,9356919.88,7.358732079576491e-05,0.0011521737060995,0.0050675041640677,0.001009876226421,2.08803178,-0.0029045299999999,2.21169089,1.876982,0.1236591099999997,2.214263,1.749191,-0.9901188699939724,0.58,0.5,2,0.5270588235294118,0.5173913043478258,0.5087209302325583
sol,sol-updown-5m-1776936900,5m,1776936900,0,85.61,85.61,0.0,85.59,-0.0001168292541779,0.000233699463555,-0.0015177167118579,9357609.37,7.36877101483735e-05,0.0013713485231947,0.0044124237105487,0.0006583209895301,2.09556621,0.0075344299999997,2.22041978,1.876372,0.1248535699999999,1.595878,-0.618385,-0.8020254818686703,0.51,0.5,1,0.4933333333333333,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776937200,5m,1776937200,0,85.61,85.6,0.0001168087840205,85.62,0.0003504468232816,0.0012855725489361,0.0001168019624058,9357567.53,-4.471227462610194e-06,0.0001428085674382,0.0043234171664312,-0.0001213204362466,2.1013499,0.0057836900000003,2.22897724,1.87609,0.1276273399999996,0.927542,-0.6683359999999999,-0.1806375442739078,0.5,0.51,3,0.5738636363636364,0.5173913043478258,0.5087209302325583
sol,sol-updown-5m-1776937500,5m,1776937500,0,85.6,85.48,0.0014018691588785,85.53,-0.0010517091241097,-0.000818091555006,-0.000818091555006,9358563.24,0.0001064069264591,0.0001756304447484,0.0038490510116493,-7.637528809023575e-05,2.10801065,0.0066607499999999,2.23298777,1.875548,0.1249771199999996,1.129816,0.2022739999999999,-0.5301855766972046,0.49,0.52,0,0.4558823529411764,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776937800,5m,1776937800,1,85.48,85.48,0.0,85.46,-0.0008187613768115,-0.0015200236776395,-0.0028043953878553,9381600.22,0.0024615936665937,0.0025637798129205,0.0061684141159839,0.0010407449259091,2.11235183,0.0043411799999999,2.23892216,1.878342,0.1265703299999998,0.851385,-0.278431,-0.6774193548387096,0.51,0.5,0,0.4558823529411764,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776938100,5m,1776938100,1,85.48,85.51,0.0003509592887225,85.48,0.0002340002350681,-0.0016364702658532,-0.0028037401544292,9381912.83,3.332160747304691e-05,0.0026016697097777,0.0058523104630447,1.939399114192497e-06,2.11147344,-0.00087839,2.2388427,1.877001,0.12736926,0.969627,0.118242,0.3506311360448808,0.58,0.46,1,0.4933333333333333,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776938400,5m,1776938400,1,85.51,85.59,0.000935563092036,85.53,0.0005847611417434,0.0,-0.0016355143832622,9381467.33,-4.748498606543805e-05,0.0024473938373472,0.0054067386455591,0.0005108699367661,2.11068702,-0.0007864200000002,2.23656057,1.880099,0.1258735500000001,2.109239,1.139612,0.2437810945273632,0.53,0.49,1,0.4933333333333333,0.5173913043478258,0.5555555555555556
