asset,slug,direction,leg,slot_start_us,slot_end_us,fire_us,dev_bps,fair_edge_bp,fair_up,cvd_30s,sigma,s_now,strike,tau_s,won,in_baseline,iso_week,iso_year,variant,fill_ts_us,entry_vwap,shares,pnl_07,pnl_legacy
ETH,eth-updown-15m-1779063300,DOWN,Down,1779063300000000,1779064200000000,1779063180000000,-26.92456556636386,2673.144088493522,0.2626855923427407,-398029.86174900003,0.0001555510364771028,2113.9,2120.58,1020.0,True,True,21,2026,A_poly_prewindow,1779063180000000,0.47420150139241957,52.72020423088362,26.800056858320353,27.165800146265944
ETH,eth-updown-15m-1779063300,DOWN,Down,1779063300000000,1779064200000000,1779063180000000,-26.92456556636386,2673.144088493522,0.2626855923427407,-398029.86174900003,0.0001555510364771028,2113.9,2120.58,1020.0,True,True,21,2026,B_kalshi_inwin60,1779063360000000,0.4240424367854491,58.95636339965931,32.94843766403385,33.27723613166612
ETH,eth-updown-15m-1779063300,DOWN,Down,1779063300000000,1779064200000000,1779063180000000,-26.92456556636386,2673.144088493522,0.2626855923427407,-398029.86174900003,0.0001555510364771028,2113.9,2120.58,1020.0,True,True,21,2026,C_kalshi_open,1779063301000000,0.4673138812018347,53.4972338842261,27.565033176329308,27.927289206541577
ETH,eth-updown-15m-1779083100,DOWN,Down,1779083100000000,1779084000000000,1779082980000000,-14.639240018090051,773.1757750479152,0.4226824224952085,-273845.862012,5.151219261985587e-05,2118.92,2119.6,1020.0,True,True,21,2026,A_poly_prewindow,1779082980000000,0.5,50.0,24.125,24.5
ETH,eth-updown-15m-1779083100,DOWN,Down,1779083100000000,1779084000000000,1779082980000000,-14.639240018090051,773.1757750479152,0.4226824224952085,-273845.862012,5.151219261985587e-05,2118.92,2119.6,1020.0,True,True,21,2026,B_kalshi_inwin60,1779083160000000,0.5234857211603263,47.756794482543924,21.922894494574496,22.301658592893045
ETH,eth-updown-15m-1779083100,DOWN,Down,1779083100000000,1779084000000000,1779082980000000,-14.639240018090051,773.1757750479152,0.4226824224952085,-273845.862012,5.151219261985587e-05,2118.92,2119.6,1020.0,True,True,21,2026,C_kalshi_open,1779083101000000,0.47931285763363235,52.15799994063377,26.246797441492628,26.6148399418211
ETH,eth-updown-15m-1779114600,UP,Up,1779114600000000,1779115500000000,1779114480000000,8.391796733122392,1065.0707911340774,0.6465071005710799,428788.735835,0.00013793793061339193,2121.3,2117.79,1020.0,False,True,21,2026,A_poly_prewindow,1779114480000000,0.5467088278741368,45.72818056955813,-25.0,-25.0
ETH,eth-updown-15m-1779114600,UP,Up,1779114600000000,1779115500000000,1779114480000000,8.391796733122392,1065.0707911340774,0.6465071005710799,428788.735835,0.00013793793061339193,2121.3,2117.79,1020.0,False,True,21,2026,B_kalshi_inwin60,1779114660000000,0.47103155690871995,53.07500024853895,-25.92569477540974,-25.0
ETH,eth-updown-15m-1779114600,UP,Up,1779114600000000,1779115500000000,1779114480000000,8.391796733122392,1065.0707911340774,0.6465071005710799,428788.735835,0.00013793793061339193,2121.3,2117.79,1020.0,False,True,21,2026,C_kalshi_open,1779114601000000,0.6245120945642918,40.03125034342521,-25.657103834512494,-25.0
ETH,eth-updown-15m-1779120900,UP,Up,1779120900000000,1779121800000000,1779120780000000,16.367077218349436,1249.7364609881622,0.6349736365620731,53516.69098599999,7.662069621069468e-05,2108.96,2107.18,1020.0,False,True,21,2026,A_poly_prewindow,1779120780000000,0.5138339790581787,48.65384738826192,-25.0,-25.0
