tag,fire_us,pnl,won,vwap,slug
cloud_ribbon_v6,1780120800000000,-5.0,0,0.68,eth-updown-5m-1780120500
v6c3_v7,1780120800000000,-5.0,0,0.68,eth-updown-5m-1780120500
cloud_ribbon_v6,1780121100000000,2.569807692307692,1,0.65,eth-updown-5m-1780120800
v8_grandparent,1780121100000000,2.569807692307692,1,0.65,eth-updown-5m-1780120800
cloud_vwap_v7,1780121100000000,2.569807692307692,1,0.65,eth-updown-5m-1780120800
v6c3_v7,1780121100000000,2.569807692307692,1,0.65,eth-updown-5m-1780120800
cloud_ribbon_v6,1780121400000000,1.8464444444444446,1,0.72,eth-updown-5m-1780121100
cloud_vwap_v7,1780121400000000,1.8464444444444446,1,0.72,eth-updown-5m-1780121100
v6c3_v7,1780121400000000,1.8464444444444446,1,0.72,eth-updown-5m-1780121100
cloud_ribbon_v6,1780121700000000,2.931516129032258,1,0.62,eth-updown-5m-1780121400
v6c3_v7,1780121700000000,2.931516129032258,1,0.62,eth-updown-5m-1780121400
v8_grandparent,1780121700000000,2.931516129032258,1,0.62,eth-updown-5m-1780121400
cloud_vwap_v7,1780121700000000,2.931516129032258,1,0.62,eth-updown-5m-1780121400
cloud_vwap_v7,1780122000000000,-5.0,0,0.67,eth-updown-5m-1780121700
v8_grandparent,1780122000000000,-5.0,0,0.67,eth-updown-5m-1780121700
v6c3_v7,1780122300000000,0.24565789473684235,1,0.95,eth-updown-5m-1780122000
cloud_ribbon_v6,1780122300000000,0.24565789473684235,1,0.95,eth-updown-5m-1780122000
v8_grandparent,1780122300000000,0.24565789473684235,1,0.95,eth-updown-5m-1780122000
cloud_vwap_v7,1780122600000000,-5.0,0,0.62,eth-updown-5m-1780122300
v8_grandparent,1780122900000000,0.9645963855421689,1,0.83,eth-updown-5m-1780122600
cloud_ribbon_v6,1780123200000000,-5.0,0,0.66,eth-updown-5m-1780122900
v6c3_v7,1780123200000000,-5.0,0,0.66,eth-updown-5m-1780122900
cloud_vwap_v7,1780123200000000,-5.0,0,0.66,eth-updown-5m-1780122900
v8_grandparent,1780123200000000,-5.0,0,0.66,eth-updown-5m-1780122900
cloud_vwap_v7,1780123800000000,2.931516129032258,1,0.62,eth-updown-5m-1780123500
v8_grandparent,1780124100000000,4.46361057442737,1,0.5191071357265503,eth-updown-5m-1780123800
cloud_vwap_v7,1780124100000000,4.46361057442737,1,0.5191071357265503,eth-updown-5m-1780123800
v6c3_v7,1780124400000000,1.5790824013612372,1,0.7500098685509019,eth-updown-5m-1780124100
cloud_vwap_v7,1780124400000000,1.5790824013612372,1,0.7500098685509019,eth-updown-5m-1780124100
cloud_ribbon_v6,1780124400000000,1.5790824013612372,1,0.7500098685509019,eth-updown-5m-1780124100
cloud_vwap_v7,1780124700000000,3.1400746632040253,1,0.6039603960396039,eth-updown-5m-1780124400
v8_grandparent,1780125000000000,4.191158331280282,1,0.5345264491605956,eth-updown-5m-1780124700
cloud_vwap_v7,1780125000000000,4.191158331280282,1,0.5345264491605956,eth-updown-5m-1780124700
cloud_vwap_v7,1780125900000000,4.632421568627452,1,0.51,eth-updown-5m-1780125600
