sid,asset,offset,fire_us,pnl,won,vwap,slug
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780313400000000,5.680565217391305,1,0.45999999999999996,btc-updown-15m-1780312500
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780313400000000,5.680565217391305,1,0.45999999999999996,btc-updown-15m-1780312500
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780313400000000,5.680565217391305,1,0.45999999999999996,btc-updown-15m-1780312500
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780314300000000,0.09407940794079361,1,0.9801980198019803,btc-updown-15m-1780313400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780315200000000,1.0345609756097565,1,0.82,btc-updown-15m-1780314300
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780315200000000,1.0345609756097565,1,0.82,btc-updown-15m-1780314300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780315200000000,1.0345609756097565,1,0.82,btc-updown-15m-1780314300
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780315200000000,1.0345609756097565,1,0.82,btc-updown-15m-1780314300
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780315200000000,1.0345609756097565,1,0.82,btc-updown-15m-1780314300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780316100000000,0.0008376300000000007,1,0.99,btc-updown-15m-1780315200
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780316100000000,0.0008376300000000007,1,0.99,btc-updown-15m-1780315200
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780316100000000,0.0008376300000000007,1,0.99,btc-updown-15m-1780315200
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780316100000000,0.0008376300000000007,1,0.99,btc-updown-15m-1780315200
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780316100000000,0.0008376300000000007,1,0.99,btc-updown-15m-1780315200
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780317000000000,0.24565789473684235,1,0.95,btc-updown-15m-1780316100
poly_sniper_v5_btc_15m_btceth_diverg_stoch_volcontr_v8,BTC,720,1780317000000000,0.047005050505050015,1,0.9900000000000001,btc-updown-15m-1780316100
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780317900000000,-5.0,0,0.58,btc-updown-15m-1780317000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780318800000000,0.1441391752577321,1,0.97,btc-updown-15m-1780317900
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780318800000000,0.1441391752577321,1,0.97,btc-updown-15m-1780317900
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780318800000000,0.1441391752577321,1,0.97,btc-updown-15m-1780317900
poly_sniper_v5_btc_15m_btceth_diverg_stoch_volcontr_v8,BTC,720,1780318800000000,-5.0,0,0.09,btc-updown-15m-1780317900
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780319700000000,0.047005050505050015,1,0.9900000000000001,btc-updown-15m-1780318800
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780319700000000,0.047005050505050015,1,0.9900000000000001,btc-updown-15m-1780318800
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780319700000000,0.047005050505050015,1,0.9900000000000001,btc-updown-15m-1780318800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780319700000000,0.047005050505050015,1,0.9900000000000001,btc-updown-15m-1780318800
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780319700000000,0.047005050505050015,1,0.9900000000000001,btc-updown-15m-1780318800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780319700000000,0.047005050505050015,1,0.9900000000000001,btc-updown-15m-1780318800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780320600000000,2.569807692307692,1,0.65,btc-updown-15m-1780319700
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780320600000000,2.569807692307692,1,0.65,btc-updown-15m-1780319700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780320600000000,2.569807692307692,1,0.65,btc-updown-15m-1780319700
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780321500000000,3.367459787106225,1,0.5874153723616089,eth-updown-15m-1780320600
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780321500000000,8.664888888888889,1,0.36,btc-updown-15m-1780320600
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780321500000000,8.664888888888889,1,0.36,btc-updown-15m-1780320600
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780321500000000,0.1441391752577321,1,0.97,btc-updown-15m-1780320600
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780322400000000,3.621429824561404,1,0.57,btc-updown-15m-1780321500
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780323300000000,4.825,1,0.5,btc-updown-15m-1780322400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780323300000000,4.825,1,0.5,btc-updown-15m-1780322400
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780323300000000,4.825,1,0.5,btc-updown-15m-1780322400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780324200000000,1.8464444444444446,1,0.72,btc-updown-15m-1780323300
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780324200000000,1.8464444444444446,1,0.72,btc-updown-15m-1780323300
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780324200000000,1.8464444444444446,1,0.72,btc-updown-15m-1780323300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780324200000000,1.8464444444444446,1,0.72,btc-updown-15m-1780323300
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1780325100000000,4.825,1,0.5,eth-updown-15m-1780324200
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780325100000000,2.1378768115942033,1,0.69,btc-updown-15m-1780324200
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780325100000000,2.1378768115942033,1,0.69,btc-updown-15m-1780324200
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780325100000000,2.1378768115942033,1,0.69,btc-updown-15m-1780324200
