label,n_trades,sharpe,cagr,max_dd,calmar,win_rate,final_equity,buy_hold_x,final_eq_x,outperform,entry_signals_total,symbol,entry,exit,risk_filter
A3_brigalS__TP8_SL2_TR5_H96__R_none,199,0.162,-0.0098,-0.5375,-0.018,0.357,9708.6,1.220223331780914,0.9708600000000001,0.7956412360867019,2818,ETHUSDT,A3_brigalS,TP8_SL2_TR5_H96,R_none
A3_brigalS__TP8_SL2_TR5_H96__R_3loss_pause,151,0.267,0.0337,-0.5725,0.059,0.331,11043.32,1.220223331780914,1.1043319999999999,0.9050244912037776,1953,ETHUSDT,A3_brigalS,TP8_SL2_TR5_H96,R_3loss_pause
A3_brigalS__TP6_SL2p5_TR4_H48__R_none,244,0.179,0.008,-0.3505,0.023,0.381,10241.8,1.220223331780914,1.0241799999999999,0.8393381550123377,2818,ETHUSDT,A3_brigalS,TP6_SL2p5_TR4_H48,R_none
A3_brigalS__TP6_SL2p5_TR4_H48__R_3loss_pause,184,0.236,0.0275,-0.3434,0.08,0.397,10848.41,1.220223331780914,1.084841,0.8890511857502973,2077,ETHUSDT,A3_brigalS,TP6_SL2p5_TR4_H48,R_3loss_pause
A4_cross_inst_lead__TP5_SL2_TR3p5_H72__R_none,164,-0.038,-0.0471,-0.508,-0.093,0.348,8652.57,1.220223331780914,0.8652569999999999,0.7090972426638973,3040,ETHUSDT,A4_cross_inst_lead,TP5_SL2_TR3p5_H72,R_none
A4_cross_inst_lead__TP5_SL2_TR3p5_H72__R_3loss_pause,123,0.248,0.0312,-0.3395,0.092,0.35,10965.88,1.220223331780914,1.096588,0.8986781119809696,2196,ETHUSDT,A4_cross_inst_lead,TP5_SL2_TR3p5_H72,R_3loss_pause
A4_cross_inst_lead__TP8_SL2_TR5_H96__R_none,116,0.198,0.0161,-0.4508,0.036,0.362,10489.78,1.220223331780914,1.048978,0.859660664305622,3040,ETHUSDT,A4_cross_inst_lead,TP8_SL2_TR5_H96,R_none
A4_cross_inst_lead__TP8_SL2_TR5_H96__R_3loss_pause,87,0.462,0.0868,-0.4128,0.21,0.368,12835.45,1.220223331780914,1.2835450000000002,1.051893507171895,2021,ETHUSDT,A4_cross_inst_lead,TP8_SL2_TR5_H96,R_3loss_pause
A4_cross_inst_lead__TP6_SL2p5_TR4_H48__R_none,130,0.088,-0.006,-0.4286,-0.014,0.369,9820.78,1.220223331780914,0.9820780000000001,0.8048346351209814,3040,ETHUSDT,A4_cross_inst_lead,TP6_SL2p5_TR4_H48,R_none
A4_cross_inst_lead__TP6_SL2p5_TR4_H48__R_3loss_pause,101,-0.267,-0.073,-0.4479,-0.163,0.347,7967.59,1.220223331780914,0.796759,0.6529616171468641,2314,ETHUSDT,A4_cross_inst_lead,TP6_SL2p5_TR4_H48,R_3loss_pause
A5_2of3_composite__TP5_SL2_TR3p5_H72__R_none,290,-0.076,-0.0889,-0.4284,-0.208,0.359,7564.11,1.220223331780914,0.756411,0.6198955390371198,2383,ETHUSDT,A5_2of3_composite,TP5_SL2_TR3p5_H72,R_none
