msg_id,post_ts,slot_et,type,direction,btc_price,beat_strike,mv_from,mv_to,mv_delta,entry_cents,mult,ptb,ptb_up,ptb_dn,btc_dir_arrow,conf_dots,conf_label,rec_w,rec_l,rec_wr,streak,raw
7385,2026-05-18T10:25:37+00:00,,LOSS,DOWN,,,,,,,,,0,0,,,,,,,,"❌ LOSS  BUY DOWN |  | ┌─────────────────────────┐ | │  May 18  6:20-6:25 AM ET | ├─────────────────────────┤ | │  📈 $76,717 → $76,723  (+6) | │  Entry     46¢ | ├─────────────────────────┤ | │  Record    4W 1L  (80%)  ❄️1L | └─────────────────────────┘"
7386,2026-05-18T10:30:10+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  6:30-6:35 AM ET | ├─────────────────────────┤ | │  BTC       $76,778 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7387,2026-05-18T10:30:38+00:00,,LOSS,DOWN,,,,,,,,,0,0,,,,,,,,"❌ LOSS  BUY DOWN |  | ┌─────────────────────────┐ | │  May 18  6:25-6:30 AM ET | ├─────────────────────────┤ | │  📈 $76,722 → $76,807  (+85) | │  Entry     54¢ | ├─────────────────────────┤ | │  Record    4W 2L  (66%)  ❄️2L | └─────────────────────────┘"
7388,2026-05-18T10:45:11+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  6:45-6:50 AM ET | ├─────────────────────────┤ | │  BTC       $76,804 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7389,2026-05-18T11:00:12+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  7:00-7:05 AM ET | ├─────────────────────────┤ | │  BTC       $76,741 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7390,2026-05-18T11:05:22+00:00,,SIGNAL,DOWN,,,,,,,2.17,"➡️
├────────",0,0,,4,Medium,,,,,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 18  7:05-7:10 AM ET | ├─────────────────────────┤ | │  BTC        $76,713 | │  Beat       $76,712 | │  BTC ≈ PTB  ➡️ | ├─────────────────────────┤ | │  Entry      46¢  (2.17x) | │  Confidence ●●●●○  Medium | │  Closes in  5 min | ├─────────────────────────┤ | │  Record     4W 2L  (66%)  ❄️ 2L streak | └─────────────────────────┘"
7391,2026-05-18T11:10:38+00:00,,WIN,DOWN,,,,,,,,,0,0,,,,,,,,"✅ WIN  BUY DOWN |  | ┌─────────────────────────┐ | │  May 18  7:05-7:10 AM ET | ├─────────────────────────┤ | │  📉 $76,712 → $76,626  (-86) | │  Entry     46¢ | ├─────────────────────────┤ | │  Record    5W 2L  (71%)  🔥1W | └─────────────────────────┘"
7392,2026-05-18T11:15:14+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  7:15-7:20 AM ET | ├─────────────────────────┤ | │  BTC       $76,706 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7393,2026-05-18T11:30:14+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  7:30-7:35 AM ET | ├─────────────────────────┤ | │  BTC       $76,779 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7394,2026-05-18T11:45:14+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  7:45-7:50 AM ET | ├─────────────────────────┤ | │  BTC       $77,288 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
