label,indicator,offset_h,n_samples,mean,median,std
bull,cross_real_money,-24,1205,-inf,0.10012849359057019,
bull,cross_real_money,-12,1205,-inf,-0.033991593989523894,
bull,cross_real_money,-8,1205,-inf,-0.11730373836414638,
bull,cross_real_money,-4,1207,-inf,-0.804756175745734,
bull,cross_real_money,-2,1209,-inf,-0.804756175745734,
bull,cross_real_money,-1,1210,-inf,-0.87010622886628,
bull,cross_real_money,0,1211,-inf,-0.932117975140104,
bull,rsi_14,-24,1229,50.67171500799576,50.65551953259056,11.908570046160666
bull,rsi_14,-12,1229,50.483095065050506,50.23317006833382,11.637327227485672
bull,rsi_14,-8,1231,50.64677329325586,50.50196326339077,12.379528340061666
bull,rsi_14,-4,1235,50.59335419086457,50.45122073433356,13.035814274173273
bull,rsi_14,-2,1235,50.64183842837739,50.17323591196938,12.623180163113647
bull,rsi_14,-1,1235,50.47824410566217,49.740549724054084,12.521715878704747
bull,rsi_14,0,1235,50.39938405239976,49.72007488855864,12.25953616559951
bull,atr_pct,-24,1229,0.006466145184577328,0.005864923333280688,0.0033119809824703824
bull,atr_pct,-12,1229,0.006381679973863214,0.00587199506092075,0.003313503480003649
bull,atr_pct,-8,1230,0.006419549575747653,0.005835785691752558,0.0034130305915273927
bull,atr_pct,-4,1233,0.006493310426061922,0.00601095340334588,0.003451833641285948
bull,atr_pct,-2,1235,0.006509923531376904,0.006017443708607945,0.0035118678502589376
bull,atr_pct,-1,1235,0.006524620805236706,0.0060057273097316125,0.0035779120680918533
bull,atr_pct,0,1235,0.006504894590902758,0.0060057273097316125,0.0036150914454159563
bear,z_lsr,-24,1059,0.02437548693207748,0.0005969108450915241,1.4392081440738151
bear,z_lsr,-12,1059,0.01473428827155884,0.03766970100837838,1.468514599628713
bear,z_lsr,-8,1059,0.004222893608296336,-0.009418114144246481,1.4531483566701253
bear,z_lsr,-4,1059,-0.05500822578905758,-0.14456429876953367,1.484582909329255
bear,z_lsr,-2,1059,0.006584719056317489,0.021944690231199205,1.4867136549504991
bear,z_lsr,-1,1059,0.03067978367769189,0.08416357381919164,1.468951218468815
bear,z_lsr,0,1059,0.07214187948107517,0.18872117262159968,1.4711107025201622
bear,z_fund,-24,1059,-0.014559175678269684,-0.22360679774977682,0.6524242154935033
bear,z_fund,-12,1059,0.029059708048110512,0.22360679774996267,0.6489366730370938
bear,z_fund,-8,1059,-0.01782437886728285,-0.223606797749848,0.6499205349461407
bear,z_fund,-4,1059,-0.040888294255252464,-0.22360679775003087,0.6492251073288584
bear,z_fund,-2,1059,-0.013475702078215279,-0.2236067977499349,0.6510644076736416
bear,z_fund,-1,1059,-0.01887018662689072,-0.2236067977499366,0.6566862045217039
bear,z_fund,0,1059,-0.008091050282349972,-0.22360679774989914,0.6520181740880788
bear,z_oi,-24,1059,0.13796552114728988,0.2507146442848169,1.371599524971588
bear,z_oi,-12,1059,0.14424026348034868,0.28119943581676327,1.4139109127742957
bear,z_oi,-8,1059,0.07672879397746525,0.13412579173111094,1.393383362591704
bear,z_oi,-4,1059,0.0920749580501112,0.16510734574886973,1.4248300174610022
bear,z_oi,-2,1059,0.04591263149268181,0.06504091518632577,1.426372267610461
bear,z_oi,-1,1059,0.044682405587186565,0.06504091518632577,1.4153678715246036
bear,z_oi,0,1059,0.04363399297916132,0.07467115858501812,1.4291335327632513
bear,z_oi_silent,-24,1059,0.113179414558405,-0.4082439755106614,1.2585544526553614
