ts_utc,event_slug,city,kind,target_date,station,run_extreme,n_obs,bracket,lo,hi,unit,price,best_bid,best_ask,dead,flag
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,31°C,31,31,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,32°C,32,32,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,33°C,33,33,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,34°C or higher,34,,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-shanghai-on-july-28-2026,shanghai,highest,2026-07-28,ZSPD,33.0,43,28°C or below,,28,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-shanghai-on-july-28-2026,shanghai,highest,2026-07-28,ZSPD,33.0,43,29°C,29,29,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-shanghai-on-july-28-2026,shanghai,highest,2026-07-28,ZSPD,33.0,43,30°C,30,30,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-shanghai-on-july-28-2026,shanghai,highest,2026-07-28,ZSPD,33.0,43,31°C,31,31,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-shanghai-on-july-28-2026,shanghai,highest,2026-07-28,ZSPD,33.0,43,32°C,32,32,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-shanghai-on-july-28-2026,shanghai,highest,2026-07-28,ZSPD,33.0,43,33°C,33,33,C,0.9995,0.999,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-shanghai-on-july-28-2026,shanghai,highest,2026-07-28,ZSPD,33.0,43,34°C,34,34,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-shanghai-on-july-28-2026,shanghai,highest,2026-07-28,ZSPD,33.0,43,35°C,35,35,C,0.0005,,0.001,,
