sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_28d_proj,bootstrap_p_lockbox,objective,lottery_top5_share,lottery_n_deep,lottery_deep_share,pass,fail_reason
F_g_parent_15m_regime_with+g_mp_skew_with,parent_15m+strong,g_parent_15m_regime_with+g_mp_skew_with,794,376,93,325,0.7101063829787234,0.8172043010752689,0.8369230769230769,-0.7039538272825546,3.3138479906683416,9.477816171767676,3123.7914798984107,3080.290255824495,1187.8236887901155,508.44241089363686,38,20,5.088335500143138,16.362026329666996,896.4516129032259,0.0,170.86376093365084,0.30491809508896256,1.0,0.05124405932691171,False,dd_lockbox_high
A_ensemble_q70_thr27.6,weighted_ensemble,sum>=27.6,8166,4655,1837,1674,0.9020408163265307,0.8807838867719108,0.8207885304659498,2.2238043508012315,1.4497105414897464,4.11770632039823,19907.967898043036,6893.040380346637,700.6779558353537,460.79612543404846,22,15,15.87693774390616,39.68726571724249,9219.677419354837,0.0,168.47408091725435,0.3903202675299631,5.0,0.1472550535654731,False,n_28d_out_of_band
F_g_parent_15m_slope_with+g_imb5_strong_with+g_queue_top_high,parent_15m+r2,g_parent_15m_slope_with+g_imb5_strong_with+g_queue_top_high,706,439,100,167,0.7813211845102506,0.81,0.5269461077844312,2.9756641911131316,7.534841352417849,12.88232937706471,4211.149721110256,2151.3490059698065,691.5454259579911,365.17528382393334,20,7,7.212034131302912,11.426261042982002,797.0967741935484,0.245,166.4763842108658,0.7407444310701919,5.0,0.6460514936054269,False,wr_lockbox_low
F_g_parent_15m_regime_with+g_within_dev,parent_15m+strong,g_parent_15m_regime_with+g_within_dev,1125,627,202,296,0.7543859649122807,0.8465346534653465,0.8581081081081081,-0.34527301152139767,2.778496365638868,9.4742462300189,3149.146971720729,2804.3768840855946,1333.8244134645652,375.7097231251423,41,15,6.143332830147691,157.78132319155392,1270.1612903225805,0.0,163.00109546134988,0.28092051145801405,1.0,0.058568469563477006,False,loss_streak_long
F_g_parent_15m_not_ranging+g_mp_skew_with+g_markov_with,parent_15m+r2,g_parent_15m_not_ranging+g_mp_skew_with+g_markov_with,801,373,137,291,0.6997319034852547,0.8394160583941606,0.8247422680412371,-0.9612527899143835,2.1706104840166076,9.496945295004847,2702.4374265186207,2763.6110808464105,1187.8236887901155,508.44241089363675,38,20,4.412316760554126,13.573610114995558,904.3548387096773,0.0,162.0057506740658,0.3136255652042153,1.0,0.05589668098826316,False,dd_lockbox_high
F_g_parent_15m_regime_with+g_mp_skew_with+g_markov_with,parent_15m+r2,g_parent_15m_regime_with+g_mp_skew_with+g_markov_with,748,368,90,290,0.7038043478260869,0.8111111111111111,0.8241379310344827,-0.8042864404391822,3.274540605611889,9.505864907875974,2755.4320677074843,2756.7008232840326,1187.8236887901155,508.44241089363675,38,20,4.501855941080736,13.519423004592351,844.516129032258,0.0,161.87904625852136,0.31416311338268904,1.0,0.0559924868229323,False,dd_lockbox_high
F_g_parent_15m_not_ranging+g_within_dev+g_hurst_trending,parent_15m+r2,g_parent_15m_not_ranging+g_within_dev+g_hurst_trending,1626,897,356,373,0.875139353400223,0.8398876404494382,0.871313672922252,2.7427527667518268,0.11080239405684578,8.309830938533025,5599.261824133445,3099.5669400728184,547.5684629457451,503.75472976949595,21,14,9.99516670529766,86.61407246178895,1835.8064516129032,0.0,160.48949266126817,0.29342412430155573,1.0,0.05250411456971367,False,dd_lockbox_high
F_g_parent_15m_slope_with+g_hawkes_imbalance_with+g_hurst_trending,parent_15m+r2,g_parent_15m_slope_with+g_hawkes_imbalance_with+g_hurst_trending,5410,3015,1229,1166,0.8676616915422886,0.838893409275834,0.8130360205831904,2.159034451129535,0.7012100386304029,4.683068806220122,12831.73423568498,5460.458228052663,1003.1437561063922,507.32199386378534,22,16,12.576082569202448,122.9424214906893,6108.064516129032,0.0,159.91154303383303,0.3058478689916782,1.0,0.03518031364378384,False,n_28d_out_of_band
F_g_parent_15m_slope_with+g_mp_no_extreme+g_hurst_trending,parent_15m+r2,g_parent_15m_slope_with+g_mp_no_extreme+g_hurst_trending,1432,299,129,1004,0.6956521739130435,0.7054263565891473,0.6842629482071713,0.1447335736855523,0.880785163718249,4.9247504891907505,5101.346115799148,4944.449491147514,947.8032019361422,561.8017669319652,27,13,7.886015528111141,40.32179658186805,1616.774193548387,0.0,156.04544226060457,0.31636199599736203,2.0,0.04610960595743096,False,dd_lockbox_high
F_g_parent_15m_slope_with+g_within_dev,parent_15m+strong,g_parent_15m_slope_with+g_within_dev,7059,3784,1473,1802,0.806553911205074,0.823489477257298,0.6870144284128746,0.7706173537105677,1.1155084607065389,3.637693892340108,11114.284423058394,6555.1243939968745,2731.7547379996986,2052.299149818209,40,37,7.9184896090798835,27.653123889707928,7969.838709677419,0.0,154.4199986127836,0.4601241295377472,9.0,0.20397929910609522,False,n_28d_out_of_band
