event_type,sleeve_id,asset,tf,direction,slug,fire_us,slot_start_us,fire_offset_s,fill_vwap,fill_shares,placed_size_usd,intended_size_usd,outcome,pnl_usd,book_source,exit_type,won,up_vwap,dn_vwap
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780054800,1780054860000000,1780054800000000,60,0.45999999999999996,10.869565217391305,5.0,5.0,,,ws_mirror,,,0.575951920647932,0.6507817877904583
sleeve_fire_placed,poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,15m,DOWN,eth-updown-15m-1780055100,1780055130000000,1780055100000000,30,0.4799999999999999,10.416666666666668,5.0,5.0,,,ws_mirror,,,0.6369527480978322,0.5911722792498266
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,UP,eth-updown-5m-1780055100,1780055160000000,1780055100000000,60,0.76,6.578947368421052,5.0,5.0,,,ws_mirror,,,0.9590255419968139,0.37202904613913457
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780055100,1780055160000000,1780055100000000,60,0.76,6.578947368421052,5.0,5.0,,,ws_mirror,,,0.9590255419968139,0.37202904613913457
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780054800,1780055100000000,1780054800000000,60,0.45999999999999996,10.869565217391305,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.575951920647932,0.6507817877904583
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,UP,eth-updown-5m-1780054800,1780055100000000,1780054800000000,60,0.45999999999999996,10.869565217391305,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.575951920647932,0.6507817877904583
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,UP,eth-updown-5m-1780055100,1780055190000000,1780055100000000,90,0.75,6.666666666666667,5.0,5.0,,,ws_mirror,,,0.9584705599949034,0.40785558207067074
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780055400,1780055460000000,1780055400000000,60,0.73,6.8493150684931505,5.0,5.0,,,ws_mirror,,,0.8931438169558242,0.40616139756732217
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,UP,eth-updown-5m-1780055400,1780055460000000,1780055400000000,60,0.73,6.8493150684931505,5.0,5.0,,,ws_mirror,,,0.8931438169558242,0.40616139756732217
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,UP,eth-updown-5m-1780055100,1780055400000000,1780055100000000,90,0.75,6.666666666666667,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.9584705599949034,0.40785558207067074
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,UP,eth-updown-5m-1780055100,1780055400000000,1780055100000000,60,0.76,6.578947368421052,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.9590255419968139,0.37202904613913457
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780055100,1780055400000000,1780055100000000,60,0.76,6.578947368421052,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.9590255419968139,0.37202904613913457
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780055700,1780055760000000,1780055700000000,60,0.8,6.25,5.0,5.0,,,ws_mirror,,,0.9682195003057837,0.3357774039855146
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780055400,1780055700000000,1780055400000000,60,0.73,6.8493150684931505,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.8931438169558242,0.40616139756732217
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,UP,eth-updown-5m-1780055400,1780055700000000,1780055400000000,60,0.73,6.8493150684931505,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.8931438169558242,0.40616139756732217
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780055700,1780056000000000,1780055700000000,60,0.8,6.25,5.0,5.0,Up,1.1799999999999997,ws_mirror,hold_to_resolve,True,0.9682195003057837,0.3357774039855146
sleeve_fire_resolved,poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,15m,DOWN,eth-updown-15m-1780055100,1780056000000000,1780055100000000,30,0.4799999999999999,10.416666666666668,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.6369527480978322,0.5911722792498266
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780056600,1780056660000000,1780056600000000,60,0.69,7.246376811594203,5.0,5.0,,,ws_mirror,,,0.8137617993002849,0.4409987571109158
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,UP,eth-updown-5m-1780056600,1780056660000000,1780056600000000,60,0.69,7.246376811594203,5.0,5.0,,,ws_mirror,,,0.8137617993002849,0.4409987571109158
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,UP,eth-updown-5m-1780056600,1780056900000000,1780056600000000,60,0.69,7.246376811594203,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.8137617993002849,0.4409987571109158
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780056600,1780056900000000,1780056600000000,60,0.69,7.246376811594203,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.8137617993002849,0.4409987571109158
