event_type,sleeve_id,asset,tf,direction,slug,fire_us,slot_start_us,fire_offset_s,fill_vwap,fill_shares,placed_size_usd,intended_size_usd,outcome,pnl_usd,book_source,exit_type,won,up_vwap,dn_vwap
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780068000,1780068030000000,1780068000000000,30,0.22,22.727272727272727,5.0,5.0,,,ws_mirror,,,0.38776657544240883,0.9741887235958416
sleeve_fire_resolved,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780067700,1780068000000000,1780067700000000,30,0.43000000000000005,11.627906976744185,5.0,5.0,Down,6.428406976744185,ws_mirror,hold_to_resolve,True,0.7172115910901123,0.5695150026939574
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_a2_hlcascade50k_v9,BTC,5m,UP,btc-updown-5m-1780067700,1780068000000000,1780067700000000,30,0.58,8.620689655172415,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.7172115910901123,0.5695150026939574
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780067700,1780068000000000,1780067700000000,30,0.58,8.620689655172415,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.7172115910901123,0.5695150026939574
sleeve_fire_resolved,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,DOWN,btc-updown-5m-1780067700,1780068000000000,1780067700000000,30,0.43000000000000005,11.627906976744185,5.0,5.0,Down,6.428406976744185,ws_mirror,hold_to_resolve,True,0.7172115910901123,0.5695150026939574
sleeve_fire_resolved,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,UP,btc-updown-5m-1780067700,1780068000000000,1780067700000000,30,0.58,8.620689655172415,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.7172115910901123,0.5695150026939574
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780068300,1780068330000000,1780068300000000,30,0.22999999999999998,21.73913043478261,5.0,5.0,,,ws_mirror,,,0.3404233698185544,0.9656277970679195
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780068300,1780068330000000,1780068300000000,30,0.78,6.41025641025641,5.0,5.0,,,ws_mirror,,,0.3404233698185544,0.9656277970679195
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780068000,1780068300000000,1780068000000000,30,0.22,22.727272727272727,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.38776657544240883,0.9741887235958416
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780068600,1780068630000000,1780068600000000,30,0.62,8.064516129032258,5.0,5.0,,,ws_mirror,,,0.7508644108594554,0.5358310668440237
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780068600,1780068630000000,1780068600000000,30,0.39,12.82051282051282,5.0,5.0,,,ws_mirror,,,0.7508644108594554,0.5358310668440237
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780068300,1780068600000000,1780068300000000,30,0.22999999999999998,21.73913043478261,5.0,5.0,Up,16.46963043478261,ws_mirror,hold_to_resolve,True,0.3404233698185544,0.9656277970679195
