sleeve,family,arm,coin,entry_ts,exit_ts,direction,entry_price,exit_price,bars_held,reason,ret_pct,paper_pnl_usd,status
STF_ETH,STF,DEPLOY,ETH,2026-05-11T00:00:00+00:00,2026-05-11T12:00:00+00:00,LONG,2371.41121,2317.402129,3,SL,-3.159,-7.9,CLOSED
VP_SOL,VP,OBSERVE,SOL,2026-05-11T00:00:00+00:00,2026-05-21T00:00:00+00:00,SHORT,96.491044,86.833,60,TIME,9.361,23.4,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-05-11T04:00:00+00:00,2026-05-11T20:00:00+00:00,SHORT,651.8044,666.95517,4,SL,-3.158,-7.9,CLOSED
VP_ADA,VP,OBSERVE,ADA,2026-05-11T20:00:00+00:00,2026-05-21T20:00:00+00:00,SHORT,0.281076,0.25059,60,TIME,8.334,20.83,CLOSED
VP_AVAX,VP,OBSERVE,AVAX,2026-05-12T04:00:00+00:00,2026-05-22T04:00:00+00:00,SHORT,10.008996,9.5098,60,TIME,3.858,9.65,CLOSED
VP_BTC,VP,OBSERVE,BTC,2026-05-12T04:00:00+00:00,2026-05-22T04:00:00+00:00,SHORT,81001.6922,77363.0,60,TIME,6.924,17.31,CLOSED
STF_ETH,STF,DEPLOY,ETH,2026-05-12T12:00:00+00:00,2026-05-22T12:00:00+00:00,SHORT,2285.21423,2119.1,60,TIME,9.376,23.44,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-05-12T16:00:00+00:00,2026-05-13T00:00:00+00:00,SHORT,651.824394,668.462988,2,SL,-3.144,-7.86,CLOSED
VP_XRP,VP,OBSERVE,XRP,2026-05-13T12:00:00+00:00,2026-05-14T16:00:00+00:00,SHORT,1.447466,1.490626,7,SL,-3.124,-7.81,CLOSED
STF_XRP,STF,DEPLOY,XRP,2026-05-14T20:00:00+00:00,2026-05-15T04:00:00+00:00,LONG,1.516255,1.46295,2,SL,-3.101,-7.75,CLOSED
VP_LINK,VP,OBSERVE,LINK,2026-05-16T00:00:00+00:00,2026-05-16T08:00:00+00:00,LONG,10.06902,9.660551,2,SL,-3.087,-7.72,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-05-16T04:00:00+00:00,2026-05-23T16:00:00+00:00,SHORT,664.350635,649.51843,45,SL,2.342,5.85,CLOSED
VP_ETH,VP,OBSERVE,ETH,2026-05-16T04:00:00+00:00,2026-05-16T08:00:00+00:00,LONG,2227.56807,2172.272938,1,SL,-3.144,-7.86,CLOSED
VP_DOGE,VP,OBSERVE,DOGE,2026-05-17T04:00:00+00:00,2026-05-18T04:00:00+00:00,LONG,0.109193,0.104787,6,SL,-3.088,-7.72,CLOSED
VP_XRP,VP,OBSERVE,XRP,2026-05-17T04:00:00+00:00,2026-05-18T12:00:00+00:00,LONG,1.411623,1.369442,8,SL,-3.119,-7.8,CLOSED
VP_ETH,VP,OBSERVE,ETH,2026-05-19T12:00:00+00:00,2026-05-23T04:00:00+00:00,LONG,2110.43294,2047.955592,22,SL,-3.124,-7.81,CLOSED
VP_LINK,VP,OBSERVE,LINK,2026-05-21T04:00:00+00:00,2026-05-22T16:00:00+00:00,LONG,9.764228,9.448126,9,SL,-3.111,-7.78,CLOSED
STF_SOL,STF,DEPLOY,SOL,2026-05-21T20:00:00+00:00,2026-05-22T16:00:00+00:00,LONG,87.863351,85.195904,5,SL,-3.118,-7.8,CLOSED
VP_XRP,VP,OBSERVE,XRP,2026-05-21T20:00:00+00:00,2026-05-22T16:00:00+00:00,LONG,1.379314,1.339971,5,SL,-3.125,-7.81,CLOSED
STF_BNB,STF,DEPLOY,BNB,2026-05-22T00:00:00+00:00,2026-05-23T04:00:00+00:00,LONG,658.767571,645.632542,7,SL,-3.183,-7.96,CLOSED
STF_AVAX,STF,DEPLOY,AVAX,2026-05-22T04:00:00+00:00,2026-05-22T16:00:00+00:00,LONG,9.510352,9.217963,3,SL,-3.117,-7.79,CLOSED
VP_DOGE,VP,OBSERVE,DOGE,2026-05-22T12:00:00+00:00,2026-05-22T16:00:00+00:00,LONG,0.106432,0.102954,1,SL,-3.109,-7.77,CLOSED
VP_SOL,VP,OBSERVE,SOL,2026-05-22T20:00:00+00:00,2026-05-23T04:00:00+00:00,LONG,84.567363,81.812656,2,SL,-3.109,-7.77,CLOSED
VP_AVAX,VP,OBSERVE,AVAX,2026-05-23T00:00:00+00:00,2026-05-28T04:00:00+00:00,LONG,9.153245,8.829994,31,SL,-3.104,-7.76,CLOSED
VP_ADA,VP,OBSERVE,ADA,2026-05-23T04:00:00+00:00,2026-05-28T00:00:00+00:00,LONG,0.243633,0.235409,29,SL,-3.102,-7.76,CLOSED
STF_AVAX,STF,DEPLOY,AVAX,2026-05-23T08:00:00+00:00,2026-05-23T16:00:00+00:00,SHORT,8.915724,9.258162,2,SL,-3.097,-7.74,CLOSED
