label,hypothesis,asset,hold_h,z_thresh,regime_filter,n_signals,status,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,g1_p,g1_pass,g2_pnl_pos,g3_wf_stable,g3_wf_mean_sharpe,g4_perm_p,g4_pass,boot_lo,boot_hi,boot_pos,avg_funding,avg_fees
N2-A|SOL|h24h|z2.0|reg-trending_up,N2-A,SOL,24,2.0,trending_up,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|SOL|h24h|z2.0|reg-trending_dn,N2-A,SOL,24,2.0,trending_dn,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|SOL|h24h|z2.0|reg-ranging,N2-B,SOL,24,2.0,ranging,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|SOL|h24h|z2.0|reg-trending_up,N2-B,SOL,24,2.0,trending_up,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|SOL|h24h|z2.0|reg-trending_dn,N2-B,SOL,24,2.0,trending_dn,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|HYPE|h1h|z1.5,N2-A,HYPE,1,1.5,,7,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|HYPE|h1h|z2.0,N2-A,HYPE,1,2.0,,7,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|HYPE|h4h|z1.5,N2-A,HYPE,4,1.5,,7,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|HYPE|h4h|z2.0,N2-A,HYPE,4,2.0,,7,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|HYPE|h8h|z1.5,N2-A,HYPE,8,1.5,,7,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|HYPE|h8h|z2.0,N2-A,HYPE,8,2.0,,7,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|HYPE|h24h|z1.5,N2-A,HYPE,24,1.5,,7,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|HYPE|h24h|z2.0,N2-A,HYPE,24,2.0,,7,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|HYPE|h72h|z1.5,N2-A,HYPE,72,1.5,,7,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|HYPE|h72h|z2.0,N2-A,HYPE,72,2.0,,7,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|HYPE|h1h|z1.5,N2-B,HYPE,1,1.5,,116,OK,116,0.4482758620689655,1.0830103205388117,0.009336295866713895,0.04970260249962256,0.30708966364918366,False,True,True,-2.1307712553061506,0.4875124875124875,False,-0.18504061887603332,0.17988804940596148,False,-0.0019778405172413685,0.22500000000000012
N2-B|HYPE|h1h|z2.0,N2-B,HYPE,1,2.0,,90,OK,90,0.37777777777777777,-38.475811792636854,-0.4275090199181873,-2.238495314632979,0.026301665131122268,True,False,False,-5.506139243487262,0.8981018981018981,False,-0.3728730116541775,0.06433365050505635,False,-0.0023558330555555496,0.2250000000000001
