asset,tf,feature,sign,n_signals,n_trades,n_wins,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,max_dd_usd,avg_funding_paid,avg_fees_paid,avg_bars_held,g1_pvalue,g1_pass,g3_pass,g6_frac_positive,g6_ci_lo,g6_ci_hi,g6_pass,skipped_reason
ETH,5m,rf_band_pos,trend,34440,34440.0,15951.0,0.4631533101045296,-6132.4517290332205,-0.1780618968941121,-0.4527058589432416,-7702.908588997741,-0.04650362495138979,0.22500000000000006,143.98353658536584,1.397022739171929e-42,True,False,0.0,-0.2447110657552728,-0.11105163848326774,False,
ETH,5m,rf_band_pos,fade,34440,34440.0,16252.0,0.4718931475029036,-14531.548270966781,-0.421938103105888,-1.072738495541374,-14648.029133311047,0.04650362495138979,0.22500000000000006,143.98353658536584,1.8187857879733308e-25,True,False,0.0,-0.48894836151673227,-0.3552889342447272,False,
ETH,5m,rsi_14,trend,40635,40635.0,18461.0,0.4543127845453427,-1064.2169425163443,-0.02618966266805326,-0.06464273791406223,-5568.452000560272,0.005251340761043211,0.22500000000000003,143.98513596653132,7.946708883459729e-76,True,False,0.22,-0.08944794628570257,0.03941785281723674,False,
ETH,5m,rsi_14,fade,40635,40635.0,19611.0,0.4826135105204873,-23316.783057483655,-0.5738103373319468,-1.4163096225662786,-23674.034413263642,-0.005251340761043211,0.22500000000000003,143.98513596653132,2.4643867851717066e-12,True,False,0.0,-0.639417852817237,-0.5105520537142973,False,
ETH,5m,bb_pos_20,trend,39008,39008.0,17581.0,0.45070242001640687,-7957.129592781246,-0.20398712040558978,-0.5291782112488873,-8692.847657994294,-0.0010266895220226576,0.22499999999999998,143.97854286300247,1.5098382964460681e-84,True,False,0.0,-0.26362929214022524,-0.14279521703779116,False,
ETH,5m,bb_pos_20,fade,39008,39008.0,18747.0,0.480593724364233,-15447.670407218753,-0.3960128795944102,-1.0273265627683643,-15579.870417007902,0.0010266895220226576,0.22499999999999998,143.97854286300247,1.8372780554138924e-14,True,False,0.0,-0.4572047829622089,-0.33637070785977485,False,
ETH,15m,rf_band_pos,trend,13363,13362.0,5974.0,0.44708875916778923,-1670.3762042163075,-0.12500944500945274,-0.3292869820319296,-2444.576247637247,-0.03383985454836554,0.22500000000000006,47.99206705582996,2.0169205731243308e-34,True,False,0.009,-0.22745749316929545,-0.023775247303027797,False,
ETH,15m,rf_band_pos,fade,13363,13362.0,6452.0,0.4828618470288879,-6346.823795783694,-0.4749905549905473,-1.2511711121882159,-6450.80308408468,0.03383985454836554,0.22500000000000006,47.99206705582996,7.690387242908067e-05,True,False,0.0,-0.5762247526969724,-0.3725425068307046,False,
ETH,15m,bb_pos_20,trend,13063,13063.0,5774.0,0.44201178902242977,-2497.663606486973,-0.19120137843427798,-0.4825149753546766,-3036.486949691031,0.00039006245693805764,0.2250000000000001,47.992268238536326,3.8751423706894825e-40,True,False,0.0,-0.29982493435849084,-0.08734243629716777,False,
ETH,15m,bb_pos_20,fade,13063,13063.0,6452.0,0.49391410855086887,-5340.1363935130275,-0.40879862156572205,-1.0316424412055782,-5463.524154339445,-0.00039006245693805764,0.2250000000000001,47.992268238536326,0.1668445963101481,False,False,0.0,-0.5126575637028323,-0.30017506564150925,False,
ETH,15m,rf_dist_bps,trend,13275,13275.0,6258.0,0.47141242937853106,-141.09967237821797,-0.010628977203632239,-0.023273249229605317,-3083.9313905931203,0.005783382871938628,0.22500000000000006,47.9819209039548,4.6846574981670995e-11,True,False,0.424,-0.1360903671091875,0.11183972861969517,False,
ETH,15m,rf_dist_bps,fade,13275,13275.0,6336.0,0.47728813559322036,-7823.900327621783,-0.5893710227963678,-1.2904890507771436,-7919.054017091999,-0.005783382871938628,0.22500000000000006,47.9819209039548,1.7342413841324115e-07,True,False,0.0,-0.7118397286196952,-0.4639096328908126,False,
ETH,1h,rsi_14,trend,3766,3766.0,1537.0,0.4081253319171535,-408.0827941553154,-0.10835974353566527,-0.4818705636326352,-534.2955320890431,0.003307701234732072,0.22500000000000006,3.0,1.4419729171992752e-29,True,False,0.039,-0.22682550832834447,0.01067745761740437,False,
ETH,1h,rsi_14,fade,3766,3766.0,1783.0,0.47344662772172064,-1851.5172058446847,-0.49164025646433474,-2.1863005555101496,-1859.506051890837,-0.003307701234732072,0.22500000000000006,3.0,0.0011810009355592683,True,False,0.0,-0.6106774576174044,-0.3731744916716555,False,
ETH,1h,rf_band_pos,trend,3068,3067.0,1139.0,0.3713726768829475,-1010.6345209082618,-0.32951891780510656,-1.6443431987270045,-1086.1335511762961,-0.003761490683080981,0.22500000000000006,2.9996739484838604,1.9327836462282256e-46,True,False,0.0,-0.4432037951516579,-0.21284850812952344,False,
ETH,1h,rf_band_pos,fade,3068,3067.0,1525.0,0.4972285621128138,-829.5654790917381,-0.2704810821948934,-1.3497365518617894,-831.7905531103756,0.003761490683080981,0.22500000000000006,2.9996739484838604,0.7726554948385562,False,False,0.0,-0.38715149187047654,-0.15679620484834214,False,
ETH,1h,ribbon_lead_slope_bps,trend,2886,2886.0,1222.0,0.42342342342342343,-534.7537270478238,-0.18529235171442265,-0.7648366125606528,-588.5665852280317,0.004245863704088421,0.22500000000000006,2.9996534996535,1.9539729175679398e-16,True,False,0.006,-0.3270416289132087,-0.043122161783184294,False,
ETH,1h,ribbon_lead_slope_bps,fade,2886,2886.0,1365.0,0.47297297297297297,-1196.8462729521764,-0.4147076482855774,-1.71180078391248,-1231.4350684968335,-0.004245863704088421,0.22500000000000006,2.9996534996535,0.0039034399546894797,True,False,0.0,-0.5568778382168156,-0.2729583710867912,False,
ETH,4h,rf_dist_bps,trend,960,960.0,375.0,0.390625,-369.0985884566175,-0.38447769630897655,-1.4360744960642897,-405.3919872883874,0.00030279127604028477,0.22500000000000006,1.0,1.2704965785793197e-11,True,False,0.003,-0.6449843504716453,-0.11337636762579986,False,
ETH,4h,rf_dist_bps,fade,960,960.0,488.0,0.5083333333333333,-206.90141154338247,-0.2155223036910234,-0.8050040005831025,-229.85010605895798,-0.00030279127604028477,0.22500000000000006,1.0,0.6283215158299663,False,False,0.045,-0.4866236323742002,0.044984350471645174,False,
ETH,4h,ribbon_lead_slope_bps,trend,867,867.0,365.0,0.4209919261822376,-221.69007996577548,-0.2556979007679071,-0.898627919942855,-268.36282991420865,0.004920729959629995,0.22500000000000006,1.0,3.6937395932295013e-06,True,False,0.048,-0.5504374918782832,0.056148839111119765,False,
ETH,4h,ribbon_lead_slope_bps,fade,867,867.0,405.0,0.4671280276816609,-298.5099200342245,-0.3443020992320928,-1.210019629944991,-311.39183006721333,-0.004920729959629995,0.22500000000000006,1.0,0.057126899374623424,False,False,0.008,-0.6561488391111198,-0.049562508121716774,False,
ETH,4h,ribbon_lead_vs_ref_bps,trend,1363,1363.0,591.0,0.43360234776228906,-361.71094991269933,-0.2653785399212761,-1.0056633244189568,-376.54520523967955,0.0072706435253126,0.22500000000000006,1.0,1.0480675744667284e-06,True,False,0.017,-0.49291563395891363,-0.028029650165359767,False,
ETH,4h,ribbon_lead_vs_ref_bps,fade,1363,1363.0,623.0,0.4570799706529714,-456.0890500873006,-0.33462146007872384,-1.2680623311309254,-523.9852063885616,-0.0072706435253126,0.22500000000000006,1.0,0.0016680534607334862,True,False,0.001,-0.5719703498346403,-0.1070843660410863,False,
SOL,5m,rsi_14,trend,42017,42017.0,19876.0,0.47304662398552966,-12722.725149041435,-0.30279946566964405,-0.5747610562529479,-15672.223083557119,0.008793168823928133,0.22500000000000006,143.9805078896637,2.251363478780385e-28,True,False,0.0,-0.3852259117866395,-0.21993190311780128,False,
SOL,5m,rsi_14,fade,42017,42017.0,20521.0,0.4883975533712545,-12487.47485095857,-0.29720053433035604,-0.5641334031184216,-12823.119057581418,-0.008793168823928133,0.22500000000000006,143.9805078896637,2.01538757844345e-06,True,False,0.0,-0.38006809688219884,-0.21477408821336066,False,
SOL,5m,bb_pos_20,trend,39015,39015.0,18373.0,0.4709214404716135,-16317.393284091751,-0.41823384042270284,-0.8193100443850969,-17291.679152629553,0.002011204708444386,0.225,143.96926823016787,1.5608547002284019e-30,True,False,0.0,-0.5007935436437622,-0.3361990968354715,False,
SOL,5m,bb_pos_20,fade,39015,39015.0,19047.0,0.4881968473663975,-7091.606715908254,-0.1817661595772973,-0.35607553927360336,-7282.291073983472,-0.002011204708444386,0.225,143.96926823016787,3.19433655382185e-06,True,False,0.0,-0.26380090316452864,-0.09920645635623804,False,
SOL,5m,minus_di_14,trend,39281,39281.0,19197.0,0.4887095542374176,-9912.57192195238,-0.25235029459413916,-0.48549690833331066,-10431.812955262252,0.002282778664625166,0.22500000000000006,143.98561645579287,7.802248878152954e-06,True,False,0.0,-0.33189943758736795,-0.17379987813361936,False,
SOL,5m,minus_di_14,fade,39281,39281.0,18506.0,0.47111835238410427,-13656.028078047626,-0.347649705405861,-0.668843511472769,-17931.360466022234,-0.002282778664625166,0.22500000000000006,143.98561645579287,2.4491261075816196e-30,True,False,0.0,-0.4262001218663809,-0.26810056241263225,False,
SOL,15m,rf_band_pos,trend,10491,10490.0,4960.0,0.47283126787416585,-3779.1704193893784,-0.36026410099040784,-0.7403822962443757,-5025.580845058583,-0.04509121042660674,0.22500000000000003,47.98331744518589,2.747071909721565e-08,True,False,0.0,-0.5109268198683476,-0.2097832623910157,False,
SOL,15m,rf_band_pos,fade,10491,10490.0,5099.0,0.4860819828408008,-2514.829580610623,-0.23973589900959227,-0.4926836032593144,-2593.2372754167604,0.04509121042660674,0.22500000000000003,47.98331744518589,0.004491844703767906,True,False,0.0,-0.39021673760898445,-0.08907318013165257,False,
SOL,15m,rsi_14,trend,14046,14046.0,6643.0,0.47294603445820876,-3728.3515411791036,-0.26543866874406263,-0.5032735044924231,-5826.995374614815,0.013755840703758892,0.22500000000000006,47.99985761070767,1.4965142859362913e-10,True,False,0.0,-0.4054171133822024,-0.12578792315389167,False,
SOL,15m,rsi_14,fade,14046,14046.0,6843.0,0.48718496369073044,-4699.248458820897,-0.33456133125593746,-0.6343305383707112,-5845.544339304233,-0.013755840703758892,0.22500000000000006,47.99985761070767,0.002451386791552104,True,False,0.0,-0.47421207684610844,-0.1945828866177977,False,
SOL,15m,bb_pos_20,trend,13122,13122.0,6184.0,0.471269623532998,-5130.695838435697,-0.3909995304401537,-0.7623379129371237,-5731.466392999851,0.0032455685509059145,0.22500000000000006,47.99344612101814,4.857528744208568e-11,True,False,0.0,-0.5252994267221008,-0.25213530748744944,False,
SOL,15m,bb_pos_20,fade,13122,13122.0,6433.0,0.49024538942234414,-2742.504161564306,-0.2090004695598465,-0.4074914913267884,-2884.884658462298,-0.0032455685509059145,0.22500000000000006,47.99344612101814,0.026005285603767154,True,False,0.002,-0.3478646925125507,-0.07470057327789933,False,
SOL,1h,cvd_60s,trend,2483,2483.0,1079.0,0.43455497382198954,-1131.9888538072544,-0.4558956318192728,-1.241862327830619,-1170.3922757978273,0.002599107239226708,0.22500000000000006,3.0,7.454856283956554e-11,True,False,0.0,-0.6836602464021826,-0.21053486524053405,False,
SOL,1h,cvd_60s,fade,2483,2483.0,1249.0,0.5030205396697544,-357.8111461927458,-0.14410436818072728,-0.39254112921709544,-401.08783165915884,-0.002599107239226708,0.22500000000000006,3.0,0.7787501364323023,False,False,0.113,-0.389465134759466,0.0836602464021826,False,
SOL,1h,stoch_k_14,trend,2921,2921.0,1249.0,0.42759328996918866,-822.021344963132,-0.281417783280771,-1.1348112725536708,-1142.6690081246243,-0.0005913458062311432,0.22500000000000003,3.0,5.21631408337576e-15,True,False,0.0,-0.4191924917913042,-0.1267489207001634,False,
SOL,1h,stoch_k_14,fade,2921,2921.0,1410.0,0.4827114002054091,-930.5786550368679,-0.318582216719229,-1.2846760661440424,-938.9191587159554,0.0005913458062311432,0.22500000000000003,3.0,0.06425675597202718,False,False,0.0,-0.4732510792998366,-0.18080750820869584,False,
SOL,1h,bb_pos_20,trend,3239,3239.0,1369.0,0.4226613152207471,-1137.7536065684951,-0.35126693626690186,-1.2754754512760438,-1295.3756316493234,0.0029760030873723807,0.2250000000000001,3.0,1.3340840033212885e-18,True,False,0.0,-0.4945172545588991,-0.20527012035275588,False,
SOL,1h,bb_pos_20,fade,3239,3239.0,1601.0,0.49428836060512504,-805.646393431505,-0.24873306373309817,-0.9031676026325155,-971.8484175024928,-0.0029760030873723807,0.2250000000000001,3.0,0.5270318677385358,False,False,0.002,-0.3947298796472442,-0.10548274544110085,False,
SOL,4h,cvd_60s,trend,682,682.0,300.0,0.4398826979472141,-255.08307234669473,-0.3740221002150949,-0.8923421598681347,-422.1109407031594,0.005140010850439802,0.22500000000000006,1.0,0.001903216247703775,True,False,0.075,-0.8782708476102388,0.13946200414040646,False,
SOL,4h,cvd_60s,fade,682,682.0,347.0,0.5087976539589443,-154.1169276533053,-0.22597789978490515,-0.53913821418724,-309.7540513500778,-0.005140010850439802,0.22500000000000006,1.0,0.6736314431821232,False,False,0.172,-0.7394620041404065,0.2782708476102386,False,
SOL,4h,rf_band_pos,trend,735,735.0,298.0,0.4054421768707483,-493.5617989777537,-0.6715126516704132,-2.126089000242981,-510.93275327554664,-0.008928078911565725,0.2250000000000001,1.0,3.311983376170389e-07,True,False,0.0,-1.024062992831962,-0.3154890315589537,False,
SOL,4h,rf_band_pos,fade,735,735.0,389.0,0.5292517006802722,52.56179897775375,0.07151265167041326,0.22641756892660558,-127.64555209106268,0.008928078911565725,0.2250000000000001,1.0,0.12127616203905091,False,True,0.66,-0.28451096844104623,0.42406299283196214,False,
SOL,4h,tr_in_london,trend,0,,,,,,,,,,,,,,,,,,too_few_signals
SOL,4h,tr_in_london,fade,0,,,,,,,,,,,,,,,,,,too_few_signals
