asset,tf,target,window,train_start,train_end,test_start,test_end,n_train,n_test,n_features,base_rate_y,rf_auc,rf_acc,rf_prec,rf_rec,rf_logloss,lgb_auc,lgb_acc,lgb_prec,lgb_rec,lgb_logloss,lgb_n_trades,lgb_sharpe_oos,rf_n_trades,rf_sharpe_oos
ETH,4h,y_next_3,0,2022-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,4386,1104,126,0.5090579710144928,0.5380231382384999,0.5108695652173914,0.5533980582524272,0.20284697508896798,0.6959838032506946,0.5313324841433468,0.5226449275362319,0.5609756097560976,0.28647686832740216,0.7998586614064724,937,0.48407143437926553,471,0.24218570269327616
ETH,4h,y_next,1,2022-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,4386,1086,126,0.496316758747698,0.5184867365593404,0.5174953959484346,0.5138632162661737,0.5157699443413729,0.6938644907151847,0.5114386788453125,0.5064456721915286,0.5026362038664324,0.5306122448979592,0.7734778588689459,844,0.29851311181500834,304,0.1657767022522562
ETH,4h,y_next_3,1,2022-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,4386,1086,126,0.498158379373849,0.5362207261442453,0.5230202578268877,0.517829457364341,0.6173752310536045,0.6959636243383426,0.5418033203886787,0.5313075506445673,0.5253164556962026,0.6136783733826248,0.782919870593258,900,0.868373724123356,553,0.7176855781107325
ETH,4h,y_next,2,2023-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,4386,1104,126,0.5208333333333334,0.5333114161255856,0.5217391304347826,0.5547785547785548,0.41391304347826086,0.6944634762568906,0.5303986192159119,0.5108695652173914,0.543859649122807,0.3773913043478261,0.8350028231849222,923,0.4247506507066464,486,0.7376406995139405
ETH,4h,y_next_3,2,2023-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,4386,1104,126,0.5380434782608695,0.5544233181488083,0.542572463768116,0.5940803382663847,0.4730639730639731,0.6974870740582596,0.5577143988908694,0.5253623188405797,0.5802752293577982,0.42592592592592593,0.9873025240150627,958,0.8036967354107024,649,0.4315007984465851
ETH,4h,y_next,3,2023-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2026-03-31 20:00:00+00:00,4386,1092,126,0.51007326007326,0.5309317270424,0.5228937728937729,0.5375,0.4631956912028725,0.6925127601698023,0.5129280692629071,0.4990842490842491,0.5112107623318386,0.40933572710951527,0.7711459803496721,891,0.33803980173902454,324,0.9088788803600304
ETH,4h,y_next_3,3,2023-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2026-03-31 20:00:00+00:00,4386,1090,126,0.4944954128440367,0.5329995387034537,0.5174311926605505,0.5117967332123412,0.5231910946196661,0.6959537681992821,0.532218364989949,0.5238532110091743,0.5239234449760766,0.40630797773654914,0.8345926858507443,930,0.915999739150254,489,1.24318320540856
SOL,4h,y_next,0,2022-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,4386,1104,126,0.5063405797101449,0.5330980945659844,0.5217391304347826,0.5228276877761414,0.6350626118067979,0.6922134082222998,0.5466839539807323,0.5371376811594203,0.5641711229946524,0.3774597495527728,0.7506080313900717,894,1.2179657979088174,268,0.525604122754793
SOL,4h,y_next_3,0,2022-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,4386,1104,126,0.4891304347826087,0.5469299973732598,0.5271739130434783,0.5142405063291139,0.6018518518518519,0.6905808841850807,0.5007945889151563,0.5,0.49101796407185627,0.6074074074074074,0.8055426070628621,932,-0.21911755911962372,222,0.5133176092615975
SOL,4h,y_next,1,2022-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,4386,1086,126,0.4990791896869245,0.5207700238767093,0.507366482504604,0.5105740181268882,0.3118081180811808,0.6958586950723457,0.5383587475580638,0.5220994475138122,0.5454545454545454,0.25461254612546125,0.8270876968139323,963,0.9173777549006917,465,0.7828063128910174
SOL,4h,y_next_3,1,2022-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,4386,1086,126,0.48987108655616945,0.5349271192421488,0.5193370165745856,0.5217391304347826,0.22556390977443608,0.7027776048022938,0.5331729594744986,0.5239410681399632,0.5342465753424658,0.2199248120300752,0.9961031792049979,972,0.8044749511109215,679,0.49937755232799014
SOL,4h,y_next,2,2023-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,4386,1104,126,0.5117753623188406,0.5285008291329404,0.5217391304347826,0.5330948121645797,0.5274336283185841,0.6926429377576739,0.49450802042458175,0.5027173913043478,0.5125786163522013,0.5769911504424778,0.7404585201590923,799,0.11831844322846029,148,0.7864065492010405
SOL,4h,y_next_3,2,2023-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,4386,1104,126,0.5362318840579711,0.5521174250422297,0.5407608695652174,0.6307692307692307,0.34628378378378377,0.6935612500228566,0.5271919869087838,0.5253623188405797,0.5723404255319149,0.4543918918918919,0.7599686230770826,852,0.6224624368139203,355,0.1267901201662034
SOL,4h,y_next,3,2023-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2026-03-31 20:00:00+00:00,4386,1092,126,0.49633699633699635,0.5351828245555182,0.5228937728937729,0.511400651465798,0.8690036900369004,0.6955008303625113,0.5138443475343845,0.51007326007326,0.5053110773899848,0.6143911439114391,0.7513375771170917,795,0.11926573352292791,453,0.5193977032499258
