poly_updown_sol_15m_momo_v2_HEDGE,75,52.0,-65.78,-0.8770,24.0179,-0.32,,0,05-07,05-21,13.5
poly_updown_eth_5m_momo_SELL_f7,105,46.7,-81.28,-0.7741,24.1124,-0.33,,0,05-20,05-27,6.5
poly_updown_eth_15m_sniper_hod,53,49.1,-45.91,-0.8662,17.4124,-0.36,,0,05-23,06-01,9.9
poly_sniper_v5_sol_5m_b3_abs500_v9,214,50.0,-34.89,-0.1630,6.5936,-0.36,0.510,50,05-29,06-02,3.6
poly_updown_eth_5m_momo_HEDGE_f7,105,47.6,-91.16,-0.8682,24.2685,-0.37,,0,05-20,05-27,6.5
poly_updown_sol_5m_momo_HOLD,353,51.0,-178.26,-0.5050,24.4864,-0.39,,0,05-07,05-21,14.1
poly_updown_sol_5m_momo_v2_hod,47,48.9,-67.23,-1.4304,24.8171,-0.40,,0,05-22,06-01,10.6
poly_updown_sol_5m_v3_1,370,53.5,-182.07,-0.4921,20.6859,-0.46,,0,05-07,06-02,26.1
poly_updown_sol_15m_momo_v2_hod,16,43.8,-56.53,-3.5331,25.4550,-0.56,,0,05-24,06-02,8.1
shadow_poly_updown_ALL_5m_phase1_kelly,1285,50.9,-1562.40,-1.2159,75.0144,-0.58,,0,05-26,06-02,6.6
poly_sniper_v5_eth_5m_v6c3_parent15mrang_v7,111,68.5,-20.79,-0.1873,3.3800,-0.58,0.707,40,05-29,06-02,3.4
shadow_poly_updown_sol_5m_momo_v1_m5v,18,44.4,-62.81,-3.4893,25.2142,-0.59,,0,06-01,06-02,0.6
poly_updown_btc_15m_volume_INV_NIGHT,982,50.9,-463.51,-0.4720,24.2526,-0.61,,0,05-07,06-02,26.1
poly_updown_sol_5m_v4,185,53.0,-186.33,-1.0072,20.8944,-0.66,,0,05-07,05-22,15.2
shadow_poly_updown_sol_5m_fade_sniper,217,50.7,-268.08,-1.2354,24.1367,-0.75,,0,05-24,06-02,8.3
poly_updown_eth_5m_momo_v2_HOLD_f7,73,46.6,-160.82,-2.2030,24.7549,-0.76,,0,05-27,06-02,5.2
poly_sniper_v5_eth_5m_v6c3_parent15mrang_v7_vL,129,67.4,-31.01,-0.2404,3.4204,-0.80,0.700,40,05-29,06-02,3.4
shadow_poly_updown_ALL_5m_phase1_kelly_fe1000_V10,402,49.0,-713.38,-1.7746,38.4586,-0.93,,0,06-01,06-02,0.6
poly_updown_sol_5m_v3_2,507,52.9,-440.79,-0.8694,20.8112,-0.94,,0,05-07,06-02,26.1
shadow_poly_updown_btc_5m_fade_momo_v2,231,48.5,-363.76,-1.5747,24.2324,-0.99,,0,05-24,06-02,8.3
poly_sniper_v5_eth_15m_trstack_vwap_offearly,83,51.8,-41.08,-0.4949,4.4757,-1.01,0.575,48,05-27,06-02,5.5
poly_updown_sol_15m_sniper,453,51.4,-485.18,-1.0710,21.9816,-1.04,,0,05-07,05-22,15.2
poly_fast_taker_lagv2_eth_5m,19,88.9,-70.94,-3.7337,15.4763,-1.05,0.680,68,06-01,06-02,0.4
poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1232,74.1,-117.28,-0.0952,3.1270,-1.07,0.748,47,05-29,06-02,3.4
poly_updown_btc_5m_vwap_off240_m1v,30,40.0,-147.74,-4.9247,25.0383,-1.08,,0,06-01,06-02,0.7
poly_updown_btc_15m_momo_v2_HOLD_f7,23,39.1,-129.65,-5.6370,24.7078,-1.09,,0,05-22,06-02,11.0
poly_updown_btc_5m_v3_1,267,50.6,-325.96,-1.2208,18.1648,-1.10,,0,05-07,06-02,26.1
