slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
eth-updown-5m-1778339100,1778338800,Down,2308.24,3,1,1,0,0.6706970128022895,0.04780046633263631,0.11950116583159076,0.0,0.0,no_data,,False,vwap_guard_0.150<0.30,,,,,,,,,
eth-updown-5m-1778339400,1778339100,Up,2306.1,3,1,1,1,0.792460881934573,0.32278354341714627,0.0504877475428657,0.008628148,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778339700,1778339400,Up,2301.08,3,1,-1,0,0.13511450381679657,0.048820961314854035,0.12205240328713508,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
eth-updown-5m-1778340000,1778339700,Up,2305.67,3,1,1,1,0.8169274537695567,0.22384104424927057,-0.19322255153682352,0.00376688288,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778340300,1778340000,Up,2307.38,3,1,1,1,0.7196301564722569,0.26067179680926955,-0.10199275271682613,0.00489632632,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778340600,1778340300,Up,2309.74,3,1,0,0,0.5853485064011512,-0.031522212093958106,-0.07880553023489525,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778340900,1778340600,Up,2310.72,3,1,1,0,0.8521793275217926,0.007383725771305818,0.018459314428264543,0.0,0.0,no_data,,True,,Up,25.0,0.93,26.881720430107524,1.0,False,True,1.8440860215053738,-343.0702857957994
eth-updown-5m-1778341200,1778340900,Down,2313.5,3,1,1,0,0.6506493506493616,0.023175215371085148,0.05793803842771287,0.0,0.0,no_data,,True,,Up,25.0,0.66,37.878787878787875,1.0,False,False,-25.0,-368.0702857957994
eth-updown-5m-1778341500,1778341200,Up,2315.14,3,1,1,0,0.6716894977169007,0.08463882514824587,0.21129706287061467,0.0004,0.0,no_data,,True,,Up,25.0,0.9067791205637575,27.57010989010989,2.0,False,True,2.5187076923076925,-365.5515781034917
eth-updown-5m-1778341800,1778341500,Up,2315.85,2,1,0,1,0.5420091324200936,0.41793857154122394,0.2942341840530598,0.0008163264,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778342100,1778341800,Up,2315.01,2,1,1,0,0.6954337899542798,-0.09889980996983218,-0.24724952492458044,0.0,0.0,no_data,,True,,Up,25.0,0.3050148374959659,81.96322580645162,2.0,False,True,55.823961290322586,-309.7276168131691
eth-updown-5m-1778342400,1778342100,Down,2316.25,2,1,0,0,0.4689497716894852,-0.10390309358412031,-0.2597577339603008,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
