slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
sol-updown-5m-1778510700,1778510400,Down,94.81,2,1,1,-1,0.7835443037974663,-0.15830880385335833,-0.39577200963339576,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1778511000,1778510700,Up,94.55,2,1,0,0,0.6405405405405546,0.030605710509030687,0.07651427627257672,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778511300,1778511000,Up,94.52,2,1,1,0,0.7054054054054237,-0.037915667507645905,-0.09478916876911475,0.0,0.0,no_data,,True,,Up,25.0,0.9065587031627942,27.576813186813183,2.0,False,True,2.5252769230769196,-547.5394434308407
sol-updown-5m-1778511600,1778511300,Down,95.06,2,1,1,0,0.6569620253164534,-0.07762122498135769,-0.1940530624533942,0.0,0.0,no_data,,False,vwap_guard_0.100<0.30,,,,,,,,,
sol-updown-5m-1778511900,1778511600,Up,94.95,2,1,1,1,0.7126582278480987,0.1530187758382173,0.3825469395955432,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1778512200,1778511900,Up,95.0,2,1,1,0,0.6873417721518976,0.06374605571529617,0.1593651392882404,0.0,0.0,no_data,,True,,Up,25.0,0.97,25.77319587628866,1.0,False,True,0.7577319587628873,-546.7817114720779
sol-updown-5m-1778512500,1778512200,Up,95.33,2,1,1,0,0.8904761904761856,0.009007964090735078,0.022519910226837695,0.0,0.0,no_data,,True,,Up,25.0,0.94,26.595744680851066,1.0,False,True,1.5638297872340448,-545.2178816848439
sol-updown-5m-1778512800,1778512500,Up,95.53,2,1,1,0,0.6999999999999933,0.0728877373259399,0.18221934331484974,0.0,0.0,no_data,,True,,Up,25.0,0.8171079049353317,30.595714285714287,4.0,False,True,5.483800000000001,-539.7340816848439
sol-updown-5m-1778513100,1778512800,Up,95.56,2,1,1,1,0.6714285714285637,0.17461211855819425,0.43653029639548563,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1778513400,1778513100,Down,96.04,2,1,-1,0,0.2142857142857046,0.08320727943788847,0.20801819859472115,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
