slug,outcome,n_fills,n_buys,n_sells,n_maker,n_taker,buy_shares,sell_shares,buy_usd,sell_usd,avg_buy_px,avg_sell_px,size_p50,size_p90,first_offset,last_offset,median_offset,n_unique_offsets,mc,asset_sym,slot_start_s,median_book_spread,wallet,span_s,fires_per_min,maker_pct,sell_pct
btc-updown-5m-1778864400,Down,98,0,98,98,0,0.0,2839.6471240000005,0.0,2028.7287422280608,,0.6975510175130806,12.46,64.26672669999991,18,212,99.0,23,updown_5m,BTC,1778864400,0.010000050067901611,0x04b6d7e9,194,30.309278350515463,100.0,100.0
btc-updown-5m-1778864400,Up,211,0,211,211,0,0.0,2834.189268,0.0,815.54257797685,,0.24905213374662175,5.0,30.0,8,240,79.0,36,updown_5m,BTC,1778864400,0.01000000536441803,0x04b6d7e9,232,54.56896551724138,100.0,100.0
btc-updown-5m-1778864700,Down,115,0,115,115,0,0.0,2620.058416,0.0,801.175459358558,,0.3149565231540929,7.5,50.0,28,212,101.0,24,updown_5m,BTC,1778864700,0.01000000536441803,0x04b6d7e9,184,37.5,100.0,100.0
btc-updown-5m-1778864700,Up,49,0,49,49,0,0.0,2020.876217,0.0,1627.8922160430072,,0.7469387711310873,14.63,138.87876160000005,17,241,79.0,20,updown_5m,BTC,1778864700,0.009999990463256836,0x04b6d7e9,224,13.125,100.0,100.0
btc-updown-5m-1778865000,Down,113,0,113,113,0,0.0,2912.108394,0.0,1734.300613247891,,0.5135398164259649,10.416665,57.48861479999998,18,227,67.0,27,updown_5m,BTC,1778865000,0.010000020265579224,0x04b6d7e9,209,32.44019138755981,100.0,100.0
btc-updown-5m-1778865000,Up,152,0,152,152,0,0.0,2631.19239,0.0,1254.7540469700552,,0.47855262786738184,7.8125,44.158897800000005,11,228,111.0,28,updown_5m,BTC,1778865000,0.009999990463256836,0x04b6d7e9,217,42.02764976958525,100.0,100.0
btc-updown-5m-1778865300,Down,162,0,162,162,0,0.0,2375.15016,0.0,917.7008724271861,,0.3735802471637726,6.3195545,34.41484380000001,11,275,79.0,38,updown_5m,BTC,1778865300,0.009999990463256836,0x04b6d7e9,264,36.81818181818181,100.0,100.0
btc-updown-5m-1778865300,Up,70,0,70,70,0,0.0,1752.711595,0.0,1081.1193650134944,,0.5754285688911166,8.597825499999999,83.706,37,257,93.0,18,updown_5m,BTC,1778865300,0.009999990463256836,0x04b6d7e9,220,19.09090909090909,100.0,100.0
btc-updown-5m-1778865600,Down,114,0,114,114,0,0.0,2556.06185,0.0,1286.697960888147,,0.5050877157533378,10.290355,46.3578052,10,160,82.0,32,updown_5m,BTC,1778865600,0.009999990463256836,0x04b6d7e9,150,45.6,100.0,100.0
btc-updown-5m-1778865600,Up,138,0,138,138,0,0.0,2360.49129,0.0,1395.327340722844,,0.5436231848122417,8.392726499999998,44.886362399999996,8,236,91.0,33,updown_5m,BTC,1778865600,0.009999990463256836,0x04b6d7e9,228,36.31578947368421,100.0,100.0
btc-updown-5m-1778865900,Down,116,0,116,116,0,0.0,2117.0842740000003,0.0,352.16568959859126,,0.17784482980917754,6.0,49.29,13,193,107.0,29,updown_5m,BTC,1778865900,0.01000000536441803,0x04b6d7e9,180,38.666666666666664,100.0,100.0
btc-updown-5m-1778865900,Up,70,0,70,70,0,0.0,2324.08022,0.0,1841.9248382094634,,0.8065714325223651,11.4551605,81.05263030000003,27,186,109.0,23,updown_5m,BTC,1778865900,0.010000020265579224,0x04b6d7e9,159,26.41509433962264,100.0,100.0
btc-updown-5m-1778866200,Down,138,0,138,138,0,0.0,1902.019531,0.0,568.0375439043298,,0.3167391250422899,5.848148,33.89999999999999,54,192,110.0,26,updown_5m,BTC,1778866200,0.009999990463256836,0x04b6d7e9,138,60.00000000000001,100.0,100.0
