slug,outcome_truth,n_events,n_l25,n_trades,span_s,accm_inv_up,accm_inv_dn,accm_cost,accm_rebates,accm_taker_fees,accm_cash_recovered,accm_leftover_redeemed_usd,accm_leftover_burned_usd,accm_pnl,accm_n_merges,accm_pairs_merged,accm_n_maker_fills_up,accm_n_maker_fills_dn,accm_n_taker_buys_up,accm_n_taker_buys_dn,accpc_inv_up,accpc_inv_dn,accpc_cost,accpc_rebates,accpc_taker_fees,accpc_cash_recovered,accpc_leftover_redeemed_usd,accpc_leftover_burned_usd,accpc_pnl,accpc_n_merges,accpc_pairs_merged,accpc_n_maker_fills_up,accpc_n_maker_fills_dn,accpc_n_taker_buys_up,accpc_n_taker_buys_dn,pnl_diff,accm_total_buys,accpc_total_buys
btc-updown-5m-1777282500,Down,9754,9754,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777294500,Down,9931,6074,3857,300.0,0.0,1.1799999999999997,47.239200863689184,0.21822146593733094,0.0,45.0,1.1799999999999997,0.0,-2.0209793977518515,8,43.82,12,9,0,0,5.0,0.0,52.264401013702155,0.23201846628279946,0.14854896130470271,48.82,0.0,16.13920012459159,-3.360931508724055,9,48.82,13,9,1,1,-1.3399521109722037,21,24
btc-updown-5m-1777306500,Up,10126,6156,3970,300.0,0.0,8.089999886751176,50.37940065749288,0.21742091919405707,0.0,50.1399999988079,0.0,10.384500090271235,-0.021979739490923578,10,50.1399999988079,19,12,0,0,0.0,3.0899998867511744,53.429400729018454,0.2340739189737583,0.0,55.13999999880791,0.0,10.384500090271235,1.9446731887632112,10,55.13999999880791,20,12,0,0,1.9666529282541347,31,32
btc-updown-5m-1777318500,Up,7562,7562,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777330500,Down,4116,4116,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777348500,Up,4284,4284,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777360500,Down,6966,6966,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777372500,Down,4464,4464,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777384500,Up,5654,5654,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777396500,Down,5060,5060,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777409100,Up,9094,5698,3396,300.0,0.0,10.0,24.100000206381083,0.09498999863773577,0.0,20.0,0.0,7.050000075250864,-4.0050102077433465,4,20.0,5,8,0,0,0.0,15.0,30.450000260025263,0.12739999869614832,0.08746500006675718,25.0,0.0,10.950000081211329,-5.4100652613958715,5,25.0,5,10,1,0,-1.405055053652525,13,16
btc-updown-5m-1777420800,Up,10050,5392,4658,300.0,0.0,9.849998474121094,21.747500848919117,0.09859675548765072,0.0,15.150001525878906,0.0,9.600000027567148,-6.498902567552561,3,15.150001525878906,4,8,0,0,0.0,14.849998474121094,23.497500819116794,0.11452175536248096,0.0,15.150001525878906,0.0,11.349999997764826,-8.232977537875406,3,15.150001525878906,4,9,0,0,-1.7340749703228457,12,13
btc-updown-5m-1777432800,Up,11274,6860,4414,300.0,0.0,7.639999856948852,48.71360029277206,0.2615718529915464,0.0,47.360000143051145,0.0,13.899999912828209,-1.0920282967293673,10,47.360000143051145,16,13,0,0,0.0,7.639999856948852,58.263600423902275,0.31035485323854806,0.08064000140190118,57.360000143051145,0.0,17.45000010356307,-0.6738854290144808,12,57.360000143051145,19,14,0,1,0.4181428677148865,29,34
btc-updown-5m-1777449300,Up,10840,6232,4608,300.0,5.029999732971191,0.0,50.51799966168403,0.281262799346113,0.0,50.02999973297119,5.029999732971191,0.0,-0.20673712936672217,9,45.0,15,15,0,0,5.029999732971191,0.0,50.51799966168403,0.281262799346113,0.0,50.02999973297119,5.029999732971191,0.0,-0.20673712936672217,9,45.0,15,15,0,0,0.0,30,30
btc-updown-5m-1777461300,Down,10481,6842,3639,300.0,9.610000400543212,0.0,31.706899847519402,0.17796686505218445,0.0,31.539999618530274,0.0,11.944700036299235,0.011066636063056023,6,31.539999618530274,12,8,0,0,14.610000400543212,0.0,40.55689990116358,0.23411386477180418,0.08693999939918504,41.539999618530274,0.0,16.694700125706202,1.1302735827393133,8,41.539999618530274,14,11,1,0,1.1192069466762573,20,26
btc-updown-5m-1777473300,Up,9229,5903,3326,300.0,0.0,5.0,15.600000005215406,0.03908800023448465,0.0,15.0,0.0,1.8500000052154064,-0.5609120049809224,3,15.0,5,5,0,0,0.0,5.0,23.950000163167715,0.058289000161051735,0.1429399968957899,25.0,0.0,3.4999999962747097,0.9653488400975452,5,25.0,5,7,2,0,1.5262608450784676,10,14
