sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_full,wr_train,wr_val,wr_lockbox,dpt_25_full,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_32d_proj,bootstrap_p_lockbox,pass,fail_reason
stack_r5,any_offset,g_imb5_strong_with+g_within_dev+g_stoch_with+g_mp_skew_with+g_mp_no_extreme,108,72,11,25,0.7685185185185185,0.7916666666666666,0.9090909090909091,0.64,10.179429001903793,7.980305325512017,6.5051054557716474,18.129607550210252,1099.3783322056097,453.24018875525627,158.21590860823767,75.0,6,3,9.872819361709086,28.73975071984448,139.3548387096774,0.0,False,wr_lockbox_low
offset_60-150|r3,offset_60-150,g_imb5_strong_with+g_stoch_with+g_mp_no_extreme,116,88,10,18,0.8275862068965517,0.875,0.8,0.6111111111111112,12.889518013995739,12.70286287020212,5.520068127831857,17.89619309818891,1495.1840896235058,322.1314757674004,150.0,91.83333333333331,6,3,13.65254789665167,36.447224037445565,149.67741935483872,0.0,False,wr_lockbox_low
offset_240-300|r3,offset_240-300,g_trend_slope_strong_with+g_vol_high+g_tr_above_ema200,138,93,23,22,0.8913043478260869,0.9247311827956989,0.8695652173913043,0.7727272727272727,2.329072370024301,-0.4612897607473093,-1.2616486779934524,17.878629745759213,321.41198706335354,393.3298544067027,115.9729019712525,60.81635565688903,2,2,3.3935546495216986,13.426280845204744,178.06451612903226,0.245,False,bootstrap_p_high
s15_5m|240-300+r3|g_trend_slope_strong_with+g_vol_high+g_tr_above_ema200,s15_5m|240-300,g_trend_slope_strong_with+g_vol_high+g_tr_above_ema200,138,93,23,22,0.8913043478260869,0.9247311827956989,0.8695652173913043,0.7727272727272727,2.329072370024301,-0.4612897607473093,-1.2616486779934524,17.878629745759213,321.41198706335354,393.3298544067027,115.9729019712525,60.81635565688903,2,2,3.3935546495216986,13.426280845204744,178.06451612903226,0.245,False,bootstrap_p_high
offset_60-150|r2,offset_60-150,g_imb5_strong_with+g_mp_no_extreme,118,89,10,19,0.8305084745762712,0.8764044943820225,0.8,0.631578947368421,12.850213710978817,12.628954293499312,5.520068127831857,17.744610762933842,1516.3252178955004,337.147604495743,150.0,91.83333333333331,6,3,13.729143425177902,33.884715860682014,152.25806451612902,0.0,False,wr_lockbox_low
offset_60-150|r3,offset_60-150,g_imb5_strong_with+g_within_dev+g_mp_no_extreme,118,89,10,19,0.8305084745762712,0.8764044943820225,0.8,0.631578947368421,12.850213710978817,12.628954293499312,5.520068127831857,17.744610762933842,1516.3252178955004,337.147604495743,150.0,91.83333333333331,6,3,13.729143425177902,33.884715860682014,152.25806451612902,0.0,False,wr_lockbox_low
stack_r5,any_offset,g_imb5_strong_with+g_tr_above_ema200+g_ribbon_agrees+g_mp_skew_with+g_mp_no_extreme,83,59,8,16,0.8192771084337349,0.847457627118644,0.875,0.6875,9.093271271229048,6.9640577949825815,7.8837439601496015,17.54950962042762,754.741515512011,280.79215392684193,93.05988235895478,75.0,3,3,8.131073346955684,20.548754076693218,107.09677419354838,0.0,False,wr_lockbox_low
stack_r4,any_offset,g_imb5_strong_with+g_ribbon_agrees+g_mp_skew_with+g_mp_no_extreme,102,73,8,21,0.7549019607843137,0.7808219178082192,0.875,0.6190476190476191,9.491586154703958,7.565475098243358,7.8837439601496015,16.79962637746866,968.1417877798037,352.7921539268418,174.2421800726869,86.30409064261636,6,3,9.653349597525546,76.13394686238037,131.61290322580643,0.0,False,wr_lockbox_low
stack_r5,any_offset,g_imb5_strong_with+g_within_dev+g_ribbon_agrees+g_mp_skew_with+g_mp_no_extreme,102,73,8,21,0.7549019607843137,0.7808219178082192,0.875,0.6190476190476191,9.491586154703958,7.565475098243358,7.8837439601496015,16.79962637746866,968.1417877798037,352.7921539268418,174.2421800726869,86.30409064261636,6,3,9.653349597525546,76.13394686238037,131.61290322580643,0.0,False,wr_lockbox_low
offset_240-300|r3,offset_240-300,g_queue_top_high+g_trend_slope_strong_with+g_vol_high,104,71,16,17,0.8653846153846154,0.9436619718309859,0.8125,0.5882352941176471,2.2266065799676884,0.07461918258184225,-3.6760115523170493,16.769723952376566,231.56708431663958,285.08530719040164,124.89643218291222,85.81635565688902,2,2,3.4875789120316174,13.341327824787369,134.19354838709677,0.245,False,wr_lockbox_low
s15_5m|240-300+r3|g_queue_top_high+g_trend_slope_strong_with+g_vol_high,s15_5m|240-300,g_queue_top_high+g_trend_slope_strong_with+g_vol_high,104,71,16,17,0.8653846153846154,0.9436619718309859,0.8125,0.5882352941176471,2.2266065799676884,0.07461918258184225,-3.6760115523170493,16.769723952376566,231.56708431663958,285.08530719040164,124.89643218291222,85.81635565688902,2,2,3.4875789120316174,13.341327824787369,134.19354838709677,0.245,False,wr_lockbox_low
offset_s150|r2|g_imb5_strong_with+g_stoch_with,offset_s150,g_imb5_strong_with+g_stoch_with,145,95,28,22,0.8206896551724138,0.8421052631578947,0.8928571428571429,0.6363636363636364,5.313137418241707,2.9863549619480643,4.3039462486526086,16.64503224080494,770.4049256450476,366.1907092977087,72.27777705663513,54.212122687185584,2,2,7.524132049922683,11.567565057391684,187.09677419354838,0.245,False,wr_lockbox_low
stack_r4,any_offset,g_queue_top_high+g_trend_slope_strong_with+g_imb5_strong_with+g_stoch_with,272,199,34,39,0.8897058823529411,0.9296482412060302,0.8235294117647058,0.7435897435897436,6.895138662866087,5.206409201306254,5.676571940548716,16.574329211819865,1875.4777162995756,646.3988392609747,195.11701070025583,150.0,6,6,9.511509549657912,13.64251789692298,350.96774193548384,0.0,False,wr_lockbox_low
stack_r5,any_offset,g_queue_top_high+g_trend_slope_strong_with+g_imb5_strong_with+g_within_dev+g_stoch_with,272,199,34,39,0.8897058823529411,0.9296482412060302,0.8235294117647058,0.7435897435897436,6.895138662866087,5.206409201306254,5.676571940548716,16.574329211819865,1875.4777162995756,646.3988392609747,195.11701070025583,150.0,6,6,9.511509549657912,13.64251789692298,350.96774193548384,0.0,False,wr_lockbox_low
stack_r5,any_offset,g_queue_top_high+g_trend_slope_strong_with+g_imb5_strong_with+g_tr_above_ema800+g_stoch_with,266,194,33,39,0.8984962406015038,0.9432989690721649,0.8181818181818182,0.7435897435897436,7.147809982744597,5.600566175663165,5.103296305164671,16.574329211819865,1901.3174554100628,646.3988392609747,150.0,150.0,6,6,9.885592256310332,13.64251789692298,343.22580645161287,0.0,False,wr_lockbox_low
