edge,daily,liq,competitive,dte,max_spread,min_size,price,q,slug,cid,vol24
0.897,100.0,110543.0,0.989,,3.5,200,0.605,Will the Republicans win the Texas Senate race in 2026?,will-the-republicans-win-the-texas-senate-race-in-2026,0x94521176f57d2ce81dde01e0b7699ca4279423042d37ed53908f0c8bfefe7e14,1519.0
0.896,50.0,54775.0,0.948,,4.5,200,0.735,Will Andy Burnham win the 2026 Makerfield by-election?,will-andy-burnham-win-the-2026-makerfield-by-election,0x77954e0830eafc9539916c591f717fb0635f6483bc9949524cb46483cd9b9d39,11125.0
0.875,100.0,113313.0,0.982,149,4.5,200,0.635,"US x Iran permanent peace deal by October 31, 2026?",us-x-iran-permanent-peace-deal-by-october-31-2026,0x087713ab2905e789c42c3fafdf747512f8d7883b7fab1ac554b703310c09d869,9011.0
0.847,121.0,141910.0,0.966,210,4.5,50,0.6875,Will no Fed rate cuts happen in 2026?,will-no-fed-rate-cuts-happen-in-2026,0xd4e77ba6f29fc093509d24f508631abd445ecf506bbdc9c4c80e60256a318527,31121.0
0.834,70.0,82885.0,0.985,210,3.5,200,0.375,Iran agrees to surrender enriched uranium stockpile by Decem,iran-agrees-to-surrender-enriched-uranium-stockpile-by-december-31-2026,0xe846dd72f8a654ef137a3e23a88226400b42cc0ca817ab4390a615860e08cafa,10493.0
0.781,55.0,69418.0,0.91,210,4.5,50,0.185,Will 1 Fed rate cut happen in 2026?,will-1-fed-rate-cut-happen-in-2026,0x5e082f0b57f47a29044aa35b4c5658393122e659d5feae521c06b57cdd7f905c,3968.0
0.689,74.0,106469.0,0.999,17,4.5,100,0.465,Will Vitality win IEM Cologne Major 2026?,will-vitality-win-iem-cologne-major-2026,0xdf6e9ed2eaf69707c7a1162a240ca025a02b0a5028dc286c9248769e0044bdf7,32014.0
0.686,70.0,101009.0,0.977,210,4.5,200,0.655,US-Iran nuclear deal before 2027?,us-iran-nuclear-deal-before-2027,0x182390641d3b1b47cc64274b9da290efd04221c586651ba190880713da6347d9,13823.0
0.646,150.0,231353.0,0.989,122,4.5,200,0.395,Will Luiz Inácio Lula da Silva win the 2026 Brazilian presid,will-luiz-incio-lula-da-silva-win-the-2026-brazilian-presidential-election,0xdf8e2dc5860027decbe6164555c3c1c9645c3bd33e16b9dc57ca87125047d4a8,46807.0
0.63,300.0,475475.0,0.904,210,3.5,200,0.175,Will the U.S. invade Iran before 2027?,will-the-us-invade-iran-before-2027,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,109924.0
0.599,100.0,165893.0,0.969,122,4.5,200,0.3215,Will Flávio Bolsonaro win the 2026 Brazilian presidential el,will-flvio-bolsonaro-win-the-2026-brazilian-presidential-election,0x1a01bf78f56a507fcb666d564d8c8b91b0750679163ed6e96746102c9b7d285d,77486.0
0.558,50.0,88559.0,0.92,210,3.5,200,0.205,US obtains Iranian enriched uranium by December 31?,us-obtains-iranian-enriched-uranium-by-december-31-725-733,0x58998da8fa20593cf07618032acd580344a79279a8bcc3ed128b668d793c3d6f,36206.0
0.543,100.0,183273.0,0.939,210,4.5,200,0.755,Strait of Hormuz traffic returns to normal by December 31?,strait-of-hormuz-traffic-returns-to-normal-by-december-31,0x5c79dfde05559b79a9cb9f7c4187e4d49632dd042572ae676952f812732591cc,3418.0
0.175,100.0,571399.0,0.894,210,3.5,200,0.155,Will the US confirm that aliens exist before 2027?,will-the-us-confirm-that-aliens-exist-before-2027-789-924-249,0x747dc809fb79e1b05be09c42d6179459a58de2ef3e40f02484a4e1260f741f75,103559.0
