bin,low,high,n,pred_mean,actual_mean,sleeve,model
8,0.9850560644990809,0.9970557115928079,43,0.9921975737945173,0.7674418604651163,BTC_S6_60_150,logistic_poly2
9,0.9970557115928079,1.0,43,0.9992005041222995,0.813953488372093,BTC_S6_60_150,logistic_poly2
0,0.001183574136495645,0.1301431411319898,33,0.08172929021205116,0.6363636363636364,ETH_S6_60_150,logistic_l2
1,0.1301431411319898,0.2639294977151831,33,0.19644212326724056,0.6666666666666666,ETH_S6_60_150,logistic_l2
2,0.2639294977151831,0.4233537550437595,33,0.3366798115907552,0.7272727272727273,ETH_S6_60_150,logistic_l2
3,0.4233537550437595,0.618978027850791,32,0.52176864118603,0.625,ETH_S6_60_150,logistic_l2
4,0.618978027850791,0.7607705998834463,33,0.690814698543575,0.6363636363636364,ETH_S6_60_150,logistic_l2
5,0.7607705998834463,0.8440004642773837,33,0.8008447711865724,0.696969696969697,ETH_S6_60_150,logistic_l2
6,0.8440004642773837,0.9025726541755955,32,0.8778512664857465,0.59375,ETH_S6_60_150,logistic_l2
7,0.9025726541755955,0.9501598304602107,33,0.9277007884030253,0.7575757575757576,ETH_S6_60_150,logistic_l2
8,0.9501598304602107,0.9760454551294826,33,0.963724788474036,0.7878787878787878,ETH_S6_60_150,logistic_l2
9,0.9760454551294826,0.9996178818500135,33,0.9893632114148233,0.6363636363636364,ETH_S6_60_150,logistic_l2
0,6.951741880614944e-09,0.030854310124175437,33,0.012028454782697446,0.5151515151515151,ETH_S6_60_150,logistic_poly2
1,0.030854310124175437,0.13112691354617179,33,0.07425256627809074,0.6060606060606061,ETH_S6_60_150,logistic_poly2
2,0.13112691354617179,0.3140315607183729,33,0.23478687138473653,0.6666666666666666,ETH_S6_60_150,logistic_poly2
3,0.3140315607183729,0.4839077804499793,32,0.39973534341736333,0.6875,ETH_S6_60_150,logistic_poly2
4,0.4839077804499793,0.6574423468923639,33,0.5707453256475011,0.8181818181818182,ETH_S6_60_150,logistic_poly2
5,0.6574423468923639,0.7878185216137356,33,0.7233980424408564,0.7878787878787878,ETH_S6_60_150,logistic_poly2
6,0.7878185216137356,0.8775190709303428,32,0.833618079032769,0.6875,ETH_S6_60_150,logistic_poly2
7,0.8775190709303428,0.9591988669925653,33,0.9155408236656412,0.6666666666666666,ETH_S6_60_150,logistic_poly2
8,0.9591988669925653,0.9910754083622411,33,0.9752077944976189,0.7575757575757576,ETH_S6_60_150,logistic_poly2
9,0.9910754083622411,0.9999992410691305,33,0.9975699060644184,0.5757575757575758,ETH_S6_60_150,logistic_poly2
0,4.801125856650307e-05,0.1496454559962475,33,0.05383970114732675,0.5454545454545454,SOL_S6_60_150,logistic_l2
1,0.1496454559962475,0.33252859863382855,32,0.2369692515972617,0.71875,SOL_S6_60_150,logistic_l2
2,0.33252859863382855,0.5582801741823246,32,0.44106159089942815,0.84375,SOL_S6_60_150,logistic_l2
3,0.5582801741823246,0.722522167386338,32,0.6567926921118031,0.625,SOL_S6_60_150,logistic_l2
4,0.722522167386338,0.8122031732898021,32,0.7814023078292098,0.75,SOL_S6_60_150,logistic_l2
5,0.8122031732898021,0.8837150705785998,32,0.849029651069859,0.78125,SOL_S6_60_150,logistic_l2
