rule,side,asset,tf,fire_offset_s,n,WR,per_trade,sum_pnl
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,15m,840,49,0.6122448979591837,-8.88786248897553,-435.50526195980103
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,15m,840,67,0.6865671641791045,-4.3967886029012835,-294.584836394386
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,5m,30,96,0.625,-0.35303911430028095,-33.89175497282697
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,5m,30,199,0.5628140703517588,-1.3643190407339412,-271.4994891060543
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,5m,60,117,0.6752136752136753,-1.6525756985106,-193.3513567257402
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,5m,60,225,0.7022222222222222,0.8989933548990562,202.27350485228763
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,5m,90,149,0.7651006711409396,-1.3285529589446035,-197.9543908827459
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,5m,90,239,0.7656903765690377,0.5755858331872366,137.56501413174954
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,5m,120,171,0.8538011695906432,-0.34066580693145015,-58.25385298527797
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,5m,120,293,0.7986348122866894,0.6988197903262444,204.7541985655896
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,5m,150,226,0.8716814159292036,-0.7957240081233681,-179.83362583588118
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,5m,150,317,0.8359621451104101,-0.7752919453913691,-245.76754668906403
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,5m,180,260,0.9076923076923077,0.4233859893934474,110.08035724229633
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,5m,180,357,0.865546218487395,0.37673061992894974,134.49283131463505
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,5m,210,248,0.9274193548387096,0.9372247449786393,232.43173675470254
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,5m,210,334,0.8413173652694611,-0.38483324606999714,-128.53430418737904
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,5m,240,220,0.8909090909090909,-0.40721461208298565,-89.58721465825684
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,5m,240,341,0.8592375366568915,-0.9458128335304513,-322.5221762338839
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,5m,270,159,0.8553459119496856,-0.3493998217311646,-55.55457165525517
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,5m,270,261,0.7969348659003831,-2.6426370366336744,-689.728266561389
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,5m,300,55,0.5636363636363636,-9.10647425496877,-500.85608402328234
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,15m,60,63,0.5873015873015873,-0.9126405221957697,-57.49635289833349
