rule,side,asset,tf,fire_offset_s,n,wins,WR,sum_pnl,per_trade,ha_n,ha_WR,ha_per_trade,ha_sum,lm_n,lm_WR,lm_per_trade,lm_sum,edge_vs_HA_per_trade,edge_vs_LM_per_trade,additive_per_trade
XF-A,UP,ETH,5m,150,4,4,1.0,14.623157196285833,3.655789299071458,1988,0.7947686116700201,0.57364185110664,1140.4000000000003,235,0.6936170212765957,-2.839855179396207,-667.3659671581086,3.082147447964818,6.495644478467665,False
XF-A,DN,ETH,5m,150,14,8,0.5714285714285714,-100.50731717338412,-7.17909408381315,1988,0.7947686116700201,0.57364185110664,1140.4000000000003,235,0.6936170212765957,-2.839855179396207,-667.3659671581086,-7.75273593491979,-4.339238904416943,False
XF-A,BOTH,ETH,5m,150,18,12,0.6666666666666666,-85.88415997709828,-4.771342220949904,1988,0.7947686116700201,0.57364185110664,1140.4000000000003,235,0.6936170212765957,-2.839855179396207,-667.3659671581086,-5.344984072056544,-1.9314870415536975,False
XF-A,UP,ETH,5m,180,6,5,0.8333333333333334,-8.797509183097398,-1.4662515305162331,2060,0.8203883495145631,0.624368932038835,1286.2000000000005,183,0.7213114754098361,0.7221856975103085,132.15998264438645,-2.0906204625550684,-2.1884372280265416,False
XF-A,DN,ETH,5m,180,3,2,0.6666666666666666,-15.846361797904915,-5.282120599301639,2060,0.8203883495145631,0.624368932038835,1286.2000000000005,183,0.7213114754098361,0.7221856975103085,132.15998264438645,-5.906489531340474,-6.004306296811948,False
XF-A,BOTH,ETH,5m,180,9,7,0.7777777777777778,-24.64387098100232,-2.738207886778035,2060,0.8203883495145631,0.624368932038835,1286.2000000000005,183,0.7213114754098361,0.7221856975103085,132.15998264438645,-3.36257681881687,-3.4603935842883438,False
XF-A,UP,ETH,5m,210,13,8,0.6153846153846154,35.27911544600036,2.713778111230797,2022,0.8249258160237388,0.6333531157270031,1280.6400000000003,200,0.68,4.595179042394642,919.0358084789284,2.080424995503794,-1.8814009311638453,False
XF-A,DN,ETH,5m,210,4,4,1.0,114.96446753873472,28.74111688468368,2022,0.8249258160237388,0.6333531157270031,1280.6400000000003,200,0.68,4.595179042394642,919.0358084789284,28.107763768956676,24.145937842289037,False
XF-A,BOTH,ETH,5m,210,17,12,0.7058823529411765,150.2435829847351,8.837857822631477,2022,0.8249258160237388,0.6333531157270031,1280.6400000000003,200,0.68,4.595179042394642,919.0358084789284,8.204504706904475,4.242678780236835,False
XF-A,UP,ETH,5m,240,3,3,1.0,17.53323364735911,5.84441121578637,2072,0.8204633204633205,0.6245173745173748,1294.0000000000005,162,0.6481481481481481,-4.16644205533963,-674.96361296502,5.219893841268996,10.010853271125999,False
